省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
上海市,长江流域,五效,04-01 04:00,Ⅱ,16.6,7.73,8.46,474.5,38.4,1.40,0.028,0.075,1.79,*,*,正常
上海市,长江流域,五效,04-01 08:00,Ⅱ,16.7,7.71,8.39,518.6,30.3,1.63,0.033,0.082,1.66,*,*,正常
上海市,长江流域,五效,04-01 12:00,Ⅱ,16.8,7.67,8.25,566.9,41.1,1.70,0.043,0.081,1.72,*,*,正常
上海市,长江流域,五效,04-01 16:00,Ⅱ,16.9,7.73,8.52,557.3,32.1,1.74,0.037,0.077,1.77,*,*,正常
上海市,长江流域,五效,04-01 20:00,Ⅱ,16.6,7.71,8.10,542.6,45.2,1.73,0.038,0.076,1.83,*,*,正常
上海市,长江流域,五效,04-01 20:00,Ⅱ,16.6,7.71,8.10,542.6,45.2,1.73,0.038,0.076,1.83,*,*,正常
上海市,长江流域,五效,04-02 04:00,Ⅱ,16.1,7.69,8.01,471.7,46.3,1.61,0.037,0.071,1.74,*,*,正常
上海市,长江流域,五效,04-02 08:00,Ⅱ,16.1,7.64,8.08,439.7,41.4,1.65,0.035,0.070,1.83,*,*,正常
上海市,长江流域,五效,04-02 12:00,Ⅱ,16.4,7.67,8.12,445.9,42.2,1.78,0.028,0.068,1.94,*,*,正常
上海市,长江流域,五效,04-02 16:00,Ⅱ,17.2,7.61,8.00,483.0,36.5,1.66,0.042,0.070,1.96,*,*,正常
上海市,长江流域,五效,04-02 20:00,Ⅱ,16.4,7.60,7.88,444.0,53.8,1.53,0.039,0.062,1.94,*,*,正常
上海市,长江流域,五效,04-02 20:00,Ⅱ,16.4,7.60,7.88,444.0,53.8,1.53,0.039,0.062,1.94,*,*,正常
上海市,长江流域,五效,04-03 04:00,Ⅱ,16.4,7.64,7.82,440.3,53.5,1.44,0.031,0.070,1.94,*,*,正常
上海市,长江流域,五效,04-03 08:00,Ⅱ,16.3,7.52,7.81,428.7,59.4,1.46,0.046,0.062,2.00,*,*,正常
上海市,长江流域,五效,04-03 12:00,Ⅱ,16.5,7.68,8.10,428.2,69.6,1.56,0.028,0.051,2.06,*,*,正常
上海市,长江流域,五效,04-03 16:00,Ⅱ,16.5,7.74,8.20,416.2,48.5,1.41,0.025,0.061,1.95,*,*,正常
上海市,长江流域,五效,04-03 20:00,Ⅱ,16.4,7.76,8.12,415.5,49.0,1.36,0.025,0.075,1.88,*,*,正常
上海市,长江流域,五效,04-03 20:00,Ⅱ,16.4,7.76,8.12,415.5,49.0,1.36,0.025,0.075,1.88,*,*,正常
上海市,长江流域,五效,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
上海市,长江流域,五效,04-04 08:00,Ⅱ,16.0,7.67,8.24,414.8,38.7,1.48,0.025,0.071,1.86,*,*,正常
上海市,长江流域,五效,04-04 12:00,Ⅱ,17.3,7.68,8.59,408.1,38.8,1.35,0.025,0.063,1.87,*,*,正常
