省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
上海市,长江流域,斜塘口,04-01 04:00,Ⅲ,17.8,7.36,7.22,309.3,116.4,4.33,0.105,0.049,3.21,*,*,正常
上海市,长江流域,斜塘口,04-01 12:00,Ⅲ,17.9,7.25,6.92,584.9,109.9,4.38,0.094,0.050,3.26,*,*,正常
上海市,长江流域,斜塘口,04-01 12:00,Ⅲ,17.9,7.25,6.92,584.9,109.9,4.38,0.094,0.050,3.26,*,*,正常
上海市,长江流域,斜塘口,04-01 16:00,Ⅲ,18.1,7.27,6.90,593.5,107.1,4.72,0.105,0.054,3.69,*,*,正常
上海市,长江流域,斜塘口,04-01 20:00,Ⅲ,17.9,7.27,6.89,578.5,106.3,4.22,0.089,0.052,3.19,*,*,正常
上海市,长江流域,斜塘口,04-01 20:00,Ⅲ,17.9,7.27,6.89,578.5,106.3,4.22,0.089,0.052,3.19,*,*,正常
上海市,长江流域,斜塘口,04-02 04:00,Ⅲ,17.9,7.22,6.52,608.0,114.3,4.96,0.110,0.083,3.97,*,*,正常
上海市,长江流域,斜塘口,04-02 08:00,Ⅲ,17.9,7.28,6.66,589.6,112.2,4.09,0.086,0.052,3.25,*,*,正常
上海市,长江流域,斜塘口,04-02 12:00,Ⅲ,18.1,7.28,6.59,589.8,107.2,4.48,0.088,0.036,3.32,*,*,正常
上海市,长江流域,斜塘口,04-02 16:00,Ⅲ,18.6,7.29,6.50,626.3,102.6,4.94,0.104,0.057,4.38,*,*,正常
上海市,长江流域,斜塘口,04-02 20:00,Ⅲ,18.2,7.29,6.55,576.8,105.2,4.12,0.084,0.059,3.12,*,*,正常
上海市,长江流域,斜塘口,04-02 20:00,Ⅲ,18.2,7.29,6.55,576.8,105.2,4.12,0.084,0.059,3.12,*,*,正常
上海市,长江流域,斜塘口,04-03 04:00,Ⅲ,18.2,7.22,5.90,634.1,110.4,5.05,0.111,0.077,4.66,*,*,正常
上海市,长江流域,斜塘口,04-03 08:00,Ⅲ,18.0,7.25,6.34,572.1,111.8,4.23,0.089,0.050,3.11,*,*,正常
上海市,长江流域,斜塘口,04-03 12:00,Ⅲ,18.0,7.28,6.56,572.0,110.0,4.07,0.089,0.048,3.10,*,*,正常
上海市,长江流域,斜塘口,04-03 16:00,Ⅲ,18.2,7.22,6.05,636.3,110.6,4.80,0.106,0.069,4.54,*,*,正常
