省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
云南省,滇池流域,灰湾中,04-01 08:00,Ⅳ,15.6,8.88,8.21,426.3,36.7,8.72,0.060,0.085,1.54,0.054,27098200,正常
云南省,滇池流域,灰湾中,04-01 12:00,Ⅴ,15.8,8.92,8.82,427.1,34.1,10.12,0.051,0.097,1.50,0.051,26544000,正常
云南省,滇池流域,灰湾中,04-01 16:00,Ⅴ,15.9,8.99,9.60,425.7,38.9,10.12,0.049,0.097,1.50,0.063,29822700,正常
云南省,滇池流域,灰湾中,04-01 20:00,Ⅴ,16.0,9.02,9.84,424.4,36.4,10.96,0.036,0.087,1.56,0.075,29770600,正常
云南省,滇池流域,灰湾中,04-02 00:00,Ⅴ,15.9,8.98,9.40,424.8,36.8,12.00,0.030,0.093,1.48,0.071,30169400,正常
云南省,滇池流域,灰湾中,04-02 00:00,Ⅴ,15.9,8.98,9.40,424.8,36.8,12.00,0.030,0.092,1.46,0.071,30169400,正常
云南省,滇池流域,灰湾中,04-02 08:00,Ⅴ,15.6,8.88,8.28,426.8,36.9,12.85,0.058,0.095,1.40,0.047,26615800,正常
云南省,滇池流域,灰湾中,04-02 12:00,Ⅴ,15.9,8.90,8.85,427.0,37.8,13.69,0.058,0.091,1.50,0.043,27553600,正常
云南省,滇池流域,灰湾中,04-02 16:00,劣Ⅴ,16.2,8.95,9.41,428.5,45.6,16.14,0.054,0.096,1.54,0.046,30785700,正常
云南省,滇池流域,灰湾中,04-02 20:00,Ⅴ,16.2,8.97,9.47,427.4,42.1,13.72,0.044,0.097,1.48,0.065,31601300,正常
云南省,滇池流域,灰湾中,04-03 00:00,劣Ⅴ,16.1,8.99,9.39,424.6,38.3,15.26,0.034,0.094,1.56,0.066,30358800,正常
云南省,滇池流域,灰湾中,04-03 00:00,劣Ⅴ,16.1,8.99,9.39,424.6,38.3,15.26,0.034,0.096,1.39,0.066,30358800,正常
云南省,滇池流域,灰湾中,04-03 08:00,Ⅴ,15.9,8.97,9.04,422.9,34.4,13.68,0.028,0.101,1.38,0.067,27313600,正常
