省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
云南省,滇池流域,罗家营(老),04-01 04:00,劣Ⅴ,17.0,8.52,6.79,494.5,120.4,10.29,0.050,0.228,7.58,0.0004,*,正常
云南省,滇池流域,罗家营(老),04-01 12:00,Ⅴ,20.2,8.83,8.18,503.9,64.7,9.62,0.060,0.180,6.09,0.0004,*,正常
云南省,滇池流域,罗家营(老),04-01 12:00,Ⅴ,20.2,8.83,8.18,503.9,64.7,9.62,0.060,0.180,6.09,0.0004,*,正常
云南省,滇池流域,罗家营(老),04-01 16:00,Ⅴ,20.3,8.94,7.34,467.7,83.7,10.29,0.080,0.191,6.11,0.0004,*,正常
云南省,滇池流域,罗家营(老),04-01 20:00,劣Ⅴ,19.6,8.88,7.21,459.4,167.9,11.83,0.270,0.266,6.31,0.0005,*,正常
云南省,滇池流域,罗家营(老),04-02 00:00,劣Ⅴ,18.8,8.74,6.95,472.7,79.6,10.43,0.270,0.208,5.23,0.0004,*,正常
云南省,滇池流域,罗家营(老),04-02 04:00,Ⅴ,17.8,8.47,6.77,537.6,60.3,9.30,0.210,0.178,5.34,0.0004,*,正常
云南省,滇池流域,罗家营(老),04-02 08:00,劣Ⅴ,17.6,8.54,7.06,475.4,64.1,9.59,0.210,0.205,6.32,0.0004,*,正常
云南省,滇池流域,罗家营(老),04-02 12:00,Ⅴ,20.8,8.89,7.50,466.2,65.2,10.02,0.200,0.155,4.93,0.0004,*,正常
云南省,滇池流域,罗家营(老),04-02 16:00,Ⅴ,21.0,8.94,7.14,466.8,78.0,10.39,0.250,0.166,5.20,0.0004,*,正常
云南省,滇池流域,罗家营(老),04-02 20:00,Ⅴ,19.2,8.80,7.36,500.8,77.4,10.51,0.230,0.183,5.80,0.001,*,正常
云南省,滇池流域,罗家营(老),04-03 00:00,Ⅴ,17.9,8.74,7.52,507.7,60.4,9.47,0.150,0.176,5.88,0.0005,*,正常
云南省,滇池流域,罗家营(老),04-03 04:00,劣Ⅴ,17.2,8.68,7.26,500.1,102.6,10.55,0.190,0.219,5.59,0.0004,*,正常
云南省,滇池流域,罗家营(老),04-03 08:00,Ⅴ,16.8,8.72,7.96,501.2,78.9,10.62,0.240,0.193,5.73,0.0004,*,正常
云南省,滇池流域,罗家营(老),04-03 12:00,Ⅳ,21.9,8.84,9.53,533.7,35.7,9.09,0.250,0.005,--,0.0004,*,维护
云南省,滇池流域,罗家营(老),04-03 16:00,Ⅴ,23.0,8.90,7.35,484.8,93.0,11.35,0.025,0.005,--,0.0005,*,维护
云南省,滇池流域,罗家营(老),04-03 20:00,Ⅴ,21.6,8.75,6.98,478.1,92.3,11.21,0.090,0.005,--,0.001,*,维护
云南省,滇池流域,罗家营(老),04-04 00:00,Ⅴ,20.4,8.54,8.50,489.7,131.3,11.22,0.240,0.306,7.00,0.001,*,正常
云南省,滇池流域,罗家营(老),*,*,--,--,--,--,--,--,--,--,--,--,*,维护
云南省,滇池流域,罗家营(老),04-04 04:00,Ⅴ,19.5,8.45,8.55,510.6,81.2,10.66,0.260,0.173,7.09,0.001,*,正常
云南省,滇池流域,罗家营(老),04-04 12:00,Ⅴ,19.0,8.73,7.94,552.1,103.8,11.01,0.230,0.155,7.11,0.0005,*,正常
云南省,滇池流域,罗家营(老),04-04 16:00,劣Ⅴ,20.1,8.90,8.14,545.8,118.7,11.48,0.240,0.206,5.59,0.0004,*,正常
云南省,滇池流域,罗家营(老),04-04 20:00,Ⅴ,19.2,8.81,7.08,513.8,79.1,10.35,0.280,0.181,5.30,0.0004,*,正常
云南省,滇池流域,罗家营(老),04-04 20:00,Ⅴ,19.2,8.81,7.08,513.8,79.1,10.35,0.280,0.181,5.30,0.0004,*,正常
云南省,滇池流域,罗家营(老),04-05 04:00,*,18.6,8.60,6.64,508.9,96.2,--,0.230,0.197,5.90,0.0004,*,维护
云南省,滇池流域,罗家营(老),04-05 08:00,*,18.1,8.45,6.58,536.1,76.8,--,0.250,0.164,5.25,0.0004,*,维护
