省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
云南省,珠江流域,孤山,04-01 04:00,Ⅱ,15.7,8.60,6.71,333.7,0.7,0.76,0.060,0.009,--,0.003,*,维护
云南省,珠江流域,孤山,04-01 12:00,Ⅱ,16.2,8.70,7.37,328.7,0.7,1.04,0.030,0.010,0.11,0.0004,*,正常
云南省,珠江流域,孤山,04-01 12:00,Ⅱ,16.2,8.70,7.37,328.7,0.7,1.04,0.030,0.010,0.11,0.0004,*,正常
云南省,珠江流域,孤山,04-01 16:00,Ⅱ,16.2,8.70,7.40,328.9,0.7,0.87,0.060,0.008,0.10,0.001,*,正常
云南省,珠江流域,孤山,04-01 20:00,Ⅱ,16.1,8.64,7.01,329.1,0.7,1.06,0.050,0.009,0.11,0.001,*,正常
云南省,珠江流域,孤山,04-01 20:00,Ⅱ,16.1,8.64,7.01,329.1,0.7,1.06,0.050,0.009,0.11,0.001,*,正常
云南省,珠江流域,孤山,04-02 04:00,Ⅱ,16.0,8.62,6.91,329.5,0.7,0.95,0.070,0.008,0.10,0.002,*,正常
云南省,珠江流域,孤山,04-02 08:00,Ⅱ,15.9,8.64,7.02,329.7,0.7,0.78,0.070,0.008,0.11,0.001,*,正常
云南省,珠江流域,孤山,04-02 12:00,Ⅰ,16.3,8.72,7.55,326.8,0.7,1.01,0.030,0.008,0.11,0.00009,*,正常
云南省,珠江流域,孤山,04-02 16:00,Ⅰ,16.5,8.74,7.62,328.7,0.8,0.95,0.080,0.008,0.11,0.0004,*,正常
云南省,珠江流域,孤山,04-02 20:00,Ⅱ,16.4,8.67,7.12,328.8,0.7,0.84,0.025,0.008,0.11,0.001,*,正常
云南省,珠江流域,孤山,04-02 20:00,Ⅱ,16.4,8.67,7.12,328.8,0.7,0.84,0.025,0.008,0.11,0.001,*,正常
云南省,珠江流域,孤山,04-03 04:00,Ⅱ,16.1,8.65,7.00,328.1,0.7,0.98,0.060,0.008,0.11,0.002,*,正常
云南省,珠江流域,孤山,04-03 08:00,Ⅱ,16.1,8.67,7.09,328.0,0.7,0.84,0.460,0.008,0.10,0.001,*,正常
云南省,珠江流域,孤山,04-03 12:00,Ⅰ,17.3,8.82,8.06,327.7,0.8,0.99,0.070,0.009,0.10,0.0001,*,正常
云南省,珠江流域,孤山,04-03 16:00,Ⅰ,16.9,8.75,7.57,329.1,0.8,0.82,0.090,0.008,0.11,0.0002,*,正常
云南省,珠江流域,孤山,04-03 20:00,Ⅱ,16.4,8.68,7.20,327.9,0.7,0.82,0.030,0.008,0.11,0.002,*,正常
云南省,珠江流域,孤山,04-03 20:00,Ⅱ,16.4,8.68,7.20,327.9,0.7,0.82,0.030,0.008,0.11,0.002,*,正常
云南省,珠江流域,孤山,*,*,--,--,--,--,--,--,--,--,--,--,*,维护
云南省,珠江流域,孤山,04-04 04:00,Ⅱ,16.3,8.66,7.06,329.8,0.9,0.82,0.060,0.008,0.11,0.002,*,正常
云南省,珠江流域,孤山,04-04 12:00,Ⅱ,16.3,8.71,7.29,328.4,0.8,1.01,0.025,0.009,0.11,0.0003,*,正常
云南省,珠江流域,孤山,04-04 16:00,Ⅱ,16.4,8.73,7.45,329.5,0.8,0.87,0.050,0.009,0.11,0.001,*,正常
云南省,珠江流域,孤山,04-04 20:00,Ⅱ,16.3,8.68,7.16,330.4,0.8,1.03,0.040,0.008,0.11,0.001,*,正常
云南省,珠江流域,孤山,04-04 20:00,Ⅱ,16.3,8.68,7.16,330.4,0.8,1.03,0.040,0.008,0.11,0.001,*,正常
云南省,珠江流域,孤山,04-05 04:00,Ⅱ,16.1,8.66,7.02,329.8,0.8,0.98,0.060,0.009,0.11,0.001,*,正常
