省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
云南省,珠江流域,设里桥,04-01 04:00,Ⅲ,18.8,7.91,5.84,460.3,12.7,0.85,0.025,0.047,2.47,*,*,正常
云南省,珠江流域,设里桥,04-01 12:00,Ⅱ,24.0,8.35,10.02,411.4,14.8,1.25,0.025,0.028,2.01,*,*,正常
云南省,珠江流域,设里桥,04-01 16:00,Ⅱ,22.1,8.23,7.23,550.8,14.3,1.25,0.025,0.028,2.01,*,*,正常
云南省,珠江流域,设里桥,04-01 20:00,Ⅱ,21.0,8.28,7.21,533.5,13.5,1.01,0.025,0.050,3.46,*,*,正常
云南省,珠江流域,设里桥,04-02 00:00,Ⅱ,19.9,8.21,6.68,539.2,13.1,1.13,0.025,0.042,3.13,*,*,正常
云南省,珠江流域,设里桥,04-02 00:00,Ⅱ,19.9,8.21,6.68,539.2,13.1,1.13,0.025,0.042,3.13,*,*,正常
云南省,珠江流域,设里桥,04-02 08:00,Ⅲ,17.8,8.04,5.78,528.7,13.4,1.01,0.025,0.035,3.32,*,*,正常
云南省,珠江流域,设里桥,04-02 12:00,Ⅱ,23.8,8.30,10.06,472.0,14.3,1.07,0.025,0.035,3.37,*,*,正常
云南省,珠江流域,设里桥,04-02 16:00,Ⅱ,27.4,8.49,11.04,414.1,14.3,1.19,0.025,0.031,2.84,*,*,正常
云南省,珠江流域,设里桥,04-02 20:00,Ⅱ,22.7,8.00,11.61,438.7,13.9,1.04,0.025,0.025,2.84,*,*,正常
云南省,珠江流域,设里桥,04-03 00:00,Ⅱ,20.0,7.71,7.13,465.4,13.1,1.14,0.025,0.023,2.49,*,*,正常
云南省,珠江流域,设里桥,04-03 00:00,Ⅱ,20.0,7.71,7.13,465.4,13.1,1.14,0.025,0.023,2.49,*,*,正常
云南省,珠江流域,设里桥,04-03 08:00,Ⅱ,18.7,7.64,6.85,454.6,13.3,0.94,0.025,0.025,2.38,*,*,正常
云南省,珠江流域,设里桥,04-03 12:00,Ⅱ,22.4,8.00,13.29,423.6,13.2,1.11,0.025,0.025,2.41,*,*,正常
云南省,珠江流域,设里桥,04-03 16:00,Ⅱ,27.6,8.34,18.10,373.1,13.1,1.26,0.025,0.026,2.06,*,*,正常
云南省,珠江流域,设里桥,04-03 20:00,Ⅱ,23.7,8.00,11.97,400.5,13.0,1.32,0.025,0.022,2.01,*,*,正常
云南省,珠江流域,设里桥,04-04 00:00,Ⅰ,22.0,7.73,7.49,425.7,12.7,1.22,0.025,0.019,2.00,*,*,正常
云南省,珠江流域,设里桥,04-04 00:00,Ⅱ,22.0,7.73,7.49,425.7,12.7,1.22,0.025,0.019,2.00,*,*,正常
云南省,珠江流域,设里桥,04-04 04:00,Ⅱ,21.5,7.63,6.16,433.7,12.8,0.90,0.025,0.018,1.79,*,*,正常
云南省,珠江流域,设里桥,04-04 08:00,Ⅲ,21.6,7.51,5.58,429.4,12.8,1.18,0.025,0.025,1.98,*,*,正常
云南省,珠江流域,设里桥,04-04 12:00,Ⅱ,22.7,8.14,12.73,385.1,13.2,1.12,0.025,0.023,1.73,*,*,正常
