省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
云南省,西南诸河,嘎旧,04-01 04:00,Ⅱ,17.1,8.12,7.44,395.7,3.7,1.03,0.025,0.013,0.55,*,*,正常
云南省,西南诸河,嘎旧,04-01 12:00,Ⅰ,17.8,8.15,7.55,397.0,4.3,0.94,0.025,0.014,0.57,*,*,正常
云南省,西南诸河,嘎旧,04-01 12:00,Ⅰ,17.8,8.15,7.55,397.0,4.3,0.94,0.025,0.014,0.57,*,*,正常
云南省,西南诸河,嘎旧,04-01 16:00,Ⅰ,17.9,8.17,7.71,396.8,7.4,1.08,0.025,0.014,0.57,*,*,正常
云南省,西南诸河,嘎旧,04-01 20:00,Ⅱ,17.4,8.13,7.32,397.9,6.4,1.01,0.025,0.014,0.60,*,*,正常
云南省,西南诸河,嘎旧,04-02 00:00,Ⅱ,17.2,8.13,7.31,398.1,4.0,0.90,0.025,0.013,0.57,*,*,正常
云南省,西南诸河,嘎旧,04-02 04:00,Ⅱ,17.0,8.12,7.34,398.4,4.4,0.98,0.025,0.013,0.56,*,*,正常
云南省,西南诸河,嘎旧,04-02 08:00,Ⅱ,17.0,8.13,7.49,398.2,3.8,1.18,0.025,0.013,0.58,*,*,正常
云南省,西南诸河,嘎旧,04-02 12:00,Ⅰ,17.6,8.14,7.51,398.0,4.4,0.82,0.025,0.013,0.58,*,*,正常
云南省,西南诸河,嘎旧,04-02 16:00,Ⅰ,17.9,8.15,7.61,397.6,4.3,1.01,0.025,0.013,0.57,*,*,正常
云南省,西南诸河,嘎旧,04-02 20:00,Ⅰ,17.5,8.13,7.56,396.5,4.7,0.90,0.025,0.013,0.59,*,*,正常
云南省,西南诸河,嘎旧,04-03 00:00,Ⅰ,17.2,8.11,7.33,396.6,4.6,1.00,0.025,0.013,0.57,*,*,正常
云南省,西南诸河,嘎旧,04-03 04:00,Ⅱ,17.1,8.11,7.41,397.1,4.0,0.90,0.025,0.013,0.56,*,*,正常
云南省,西南诸河,嘎旧,04-03 08:00,Ⅰ,17.0,8.11,7.59,397.6,4.6,1.17,0.025,0.013,0.59,*,*,正常
云南省,西南诸河,嘎旧,04-03 12:00,Ⅰ,17.8,8.14,7.62,398.6,6.3,0.97,0.025,0.013,0.55,*,*,正常
云南省,西南诸河,嘎旧,04-03 16:00,Ⅰ,18.2,8.15,7.74,398.2,4.3,1.03,0.025,0.013,0.53,*,*,正常
云南省,西南诸河,嘎旧,04-03 20:00,Ⅰ,17.4,8.13,7.60,398.7,4.6,0.57,0.025,0.013,0.55,*,*,正常
云南省,西南诸河,嘎旧,04-04 00:00,Ⅰ,17.2,8.13,7.51,399.4,7.5,0.67,0.025,0.013,0.57,*,*,正常
云南省,西南诸河,嘎旧,04-04 04:00,*,17.2,8.12,7.60,399.4,4.6,--,--,--,--,*,*,维护
云南省,西南诸河,嘎旧,04-04 04:00,Ⅰ,17.2,8.12,7.60,399.4,4.6,0.97,0.025,0.013,0.55,*,*,正常
云南省,西南诸河,嘎旧,04-04 12:00,Ⅰ,17.6,8.12,7.55,399.5,4.6,1.15,0.025,0.012,0.53,*,*,正常
云南省,西南诸河,嘎旧,04-04 16:00,Ⅰ,17.8,8.13,7.53,399.3,4.1,1.13,0.025,0.019,0.56,*,*,正常
