省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
云南省,西南诸河,小黑江检查站,04-01 04:00,Ⅱ,19.8,8.02,7.67,192.1,71.2,1.93,0.125,0.050,1.85,*,*,正常
云南省,西南诸河,小黑江检查站,04-01 12:00,Ⅱ,21.9,8.03,8.15,206.4,64.3,2.02,0.110,0.050,1.83,*,*,正常
云南省,西南诸河,小黑江检查站,04-01 12:00,Ⅱ,21.9,8.03,8.15,206.4,64.3,2.02,0.110,0.050,1.83,*,*,正常
云南省,西南诸河,小黑江检查站,04-01 16:00,Ⅱ,21.9,8.14,8.25,207.5,34.3,1.60,0.101,0.050,1.69,*,*,正常
云南省,西南诸河,小黑江检查站,04-01 20:00,Ⅱ,21.3,8.18,8.06,198.5,29.8,1.58,0.068,0.046,1.65,*,*,正常
云南省,西南诸河,小黑江检查站,04-02 00:00,Ⅱ,21.0,8.13,7.75,199.2,25.9,1.42,0.055,0.042,1.61,*,*,正常
云南省,西南诸河,小黑江检查站,04-02 04:00,Ⅱ,20.3,8.06,7.60,197.0,30.9,1.50,0.061,0.042,1.62,*,*,正常
云南省,西南诸河,小黑江检查站,04-02 08:00,Ⅱ,19.5,8.04,7.76,196.9,31.7,1.73,0.050,0.041,1.60,*,*,正常
云南省,西南诸河,小黑江检查站,04-02 12:00,Ⅱ,21.5,8.11,7.99,208.9,35.0,1.62,0.056,0.039,1.60,*,*,正常
云南省,西南诸河,小黑江检查站,04-02 16:00,Ⅱ,22.9,8.16,7.98,220.1,44.4,1.94,0.081,0.058,1.68,*,*,正常
云南省,西南诸河,小黑江检查站,04-02 20:00,Ⅱ,21.5,8.13,7.66,205.1,116.4,2.00,0.115,0.050,1.91,*,*,正常
云南省,西南诸河,小黑江检查站,04-03 00:00,Ⅱ,21.2,8.09,7.43,201.8,88.7,1.77,0.095,0.044,1.76,*,*,正常
云南省,西南诸河,小黑江检查站,04-03 04:00,Ⅱ,20.4,8.03,7.38,195.0,76.3,2.00,0.103,0.044,1.81,*,*,正常
云南省,西南诸河,小黑江检查站,04-03 08:00,Ⅱ,19.6,8.00,7.53,192.7,74.3,2.26,0.109,0.050,1.75,*,*,正常
云南省,西南诸河,小黑江检查站,04-03 12:00,Ⅱ,22.1,8.08,7.95,207.8,58.0,1.97,0.084,0.044,1.68,*,*,正常
云南省,西南诸河,小黑江检查站,04-03 16:00,Ⅱ,23.1,8.17,8.04,215.2,65.2,1.67,0.090,0.045,1.67,*,*,正常
云南省,西南诸河,小黑江检查站,04-03 20:00,Ⅱ,21.9,8.10,7.57,205.8,70.4,1.94,0.125,0.047,1.88,*,*,正常
