省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
云南省,西南诸河,思茅港,04-01 04:00,Ⅲ,18.6,7.54,5.75,323.4,4.7,0.64,0.025,0.007,0.54,*,*,正常
云南省,西南诸河,思茅港,04-01 12:00,Ⅱ,18.6,7.57,6.03,327.7,5.3,0.70,0.025,0.008,0.55,*,*,正常
云南省,西南诸河,思茅港,04-01 12:00,Ⅱ,18.6,7.57,6.03,327.7,5.3,0.70,0.025,0.008,0.55,*,*,正常
云南省,西南诸河,思茅港,04-01 16:00,Ⅱ,18.7,7.59,6.24,330.4,4.8,0.59,0.025,0.008,0.54,*,*,正常
云南省,西南诸河,思茅港,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
云南省,西南诸河,思茅港,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
云南省,西南诸河,思茅港,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
云南省,西南诸河,思茅港,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
云南省,西南诸河,思茅港,04-02 12:00,Ⅱ,18.6,7.58,6.22,329.8,6.8,0.54,0.025,0.009,0.54,*,*,正常
云南省,西南诸河,思茅港,04-02 16:00,*,22.3,7.32,6.32,380.9,9.9,--,--,--,--,*,*,维护
云南省,西南诸河,思茅港,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
云南省,西南诸河,思茅港,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
云南省,西南诸河,思茅港,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
云南省,西南诸河,思茅港,04-03 16:00,Ⅱ,20.5,7.45,6.35,347.5,5.3,0.66,0.025,0.009,0.58,*,*,正常
云南省,西南诸河,思茅港,04-03 20:00,Ⅱ,19.5,7.46,6.27,367.5,6.2,0.66,0.025,0.008,0.52,*,*,正常
云南省,西南诸河,思茅港,04-04 00:00,Ⅱ,20.7,7.45,6.26,415.5,5.5,0.52,0.025,0.007,0.53,*,*,正常
云南省,西南诸河,思茅港,04-04 04:00,*,19.0,7.44,6.21,415.3,5.3,--,--,--,--,*,*,维护
云南省,西南诸河,思茅港,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
云南省,西南诸河,思茅港,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
云南省,西南诸河,思茅港,04-04 16:00,-,21.1,7.49,9.93,410.8,14.2,0.54,0.025,0.008,0.56,*,*,正常
云南省,西南诸河,思茅港,04-04 20:00,Ⅰ,21.0,7.48,10.20,355.5,15.0,0.62,0.025,0.007,0.53,*,*,正常
云南省,西南诸河,思茅港,04-04 20:00,Ⅰ,21.0,7.48,10.20,355.5,15.0,0.62,0.025,0.007,0.53,*,*,正常
云南省,西南诸河,思茅港,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
云南省,西南诸河,思茅港,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
