省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
云南省,长江流域,金江桥,04-01 04:00,Ⅰ,15.8,8.35,7.87,620.6,2.7,0.49,0.025,0.005,0.51,*,*,正常
云南省,长江流域,金江桥,04-01 12:00,Ⅰ,15.8,8.34,7.94,619.7,2.8,0.44,0.025,0.005,0.52,*,*,正常
云南省,长江流域,金江桥,04-01 12:00,Ⅰ,15.8,8.34,7.94,619.7,2.8,0.44,0.025,0.005,0.52,*,*,正常
云南省,长江流域,金江桥,04-01 16:00,Ⅰ,17.3,8.35,7.91,622.0,2.8,0.51,0.025,0.005,0.51,*,*,正常
云南省,长江流域,金江桥,04-01 20:00,Ⅰ,15.6,8.33,8.01,618.3,2.9,0.33,0.025,0.005,0.53,*,*,正常
云南省,长江流域,金江桥,04-02 00:00,Ⅰ,15.9,8.36,7.91,620.4,2.8,0.27,0.025,0.005,0.52,*,*,正常
云南省,长江流域,金江桥,04-02 04:00,Ⅰ,15.6,8.35,7.94,619.9,2.9,0.55,0.025,0.005,0.53,*,*,正常
云南省,长江流域,金江桥,04-02 08:00,Ⅰ,14.9,8.33,7.99,618.5,3.1,0.71,0.025,0.005,0.52,*,*,正常
云南省,长江流域,金江桥,04-02 12:00,Ⅰ,16.7,8.32,8.05,620.4,3.1,0.54,0.025,0.005,0.52,*,*,正常
云南省,长江流域,金江桥,04-02 16:00,Ⅰ,17.5,8.32,8.09,622.1,3.4,0.44,0.025,0.005,0.53,*,*,正常
云南省,长江流域,金江桥,04-02 20:00,Ⅰ,16.4,8.35,7.94,621.5,3.1,0.48,0.025,0.005,0.51,*,*,正常
云南省,长江流域,金江桥,04-03 00:00,Ⅰ,15.9,8.35,7.95,620.8,3.0,0.48,0.025,0.005,0.51,*,*,正常
云南省,长江流域,金江桥,04-03 04:00,Ⅰ,15.3,8.35,7.91,620.2,2.9,0.48,0.025,0.005,0.52,*,*,正常
云南省,长江流域,金江桥,04-03 08:00,Ⅰ,14.6,8.32,7.96,619.0,3.2,0.76,0.025,0.005,0.53,*,*,正常
云南省,长江流域,金江桥,04-03 12:00,Ⅰ,18.6,8.32,8.03,624.2,3.1,0.31,0.025,0.005,0.51,*,*,正常
云南省,长江流域,金江桥,04-03 16:00,Ⅰ,18.6,8.34,7.94,624.7,3.1,0.47,0.025,0.005,0.52,*,*,正常
云南省,长江流域,金江桥,04-03 20:00,Ⅰ,16.8,8.34,7.93,622.8,3.0,0.46,0.025,0.005,0.51,*,*,正常
云南省,长江流域,金江桥,04-04 00:00,Ⅰ,16.1,8.34,7.92,621.9,2.9,0.42,0.025,0.005,0.52,*,*,正常
云南省,长江流域,金江桥,04-04 04:00,*,15.7,8.34,7.80,621.9,2.8,--,--,--,--,*,*,维护
云南省,长江流域,金江桥,04-04 04:00,Ⅰ,15.7,8.34,7.80,621.9,2.8,0.49,0.025,0.005,0.52,*,*,正常
