省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
内蒙古自治区,松花江流域,讷尔克气,04-01 08:00,Ⅴ,2.8,6.80,11.01,62.2,21.4,10.37,0.202,0.074,1.95,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-01 12:00,Ⅳ,2.4,6.81,11.10,60.8,23.7,10.00,0.155,0.066,1.44,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-01 16:00,Ⅳ,3.1,6.82,11.28,59.2,24.3,10.00,0.155,0.066,1.44,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-01 20:00,Ⅳ,4.0,6.84,11.45,58.1,22.7,9.93,0.146,0.071,1.45,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-02 00:00,Ⅳ,2.8,6.84,11.38,58.3,23.8,9.68,0.131,0.067,1.61,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-02 04:00,Ⅳ,2.8,6.81,11.25,57.8,23.5,9.68,0.131,0.067,1.61,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-02 08:00,Ⅳ,3.4,6.81,11.28,56.4,21.9,9.93,0.119,0.066,1.35,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-02 12:00,Ⅴ,2.0,6.81,11.21,55.5,20.1,10.01,0.117,0.064,1.33,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-02 16:00,Ⅳ,2.9,6.81,11.36,55.4,17.7,9.60,0.103,0.064,1.33,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-02 20:00,Ⅳ,3.8,6.82,11.67,54.6,20.2,8.86,0.108,0.058,1.15,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-03 00:00,Ⅳ,2.6,6.83,11.53,55.3,20.4,9.03,0.106,0.062,1.14,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-03 04:00,Ⅳ,3.4,6.82,11.63,54.8,16.5,9.03,0.106,0.062,1.14,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-03 08:00,Ⅳ,3.7,6.80,11.61,54.7,13.3,8.83,0.112,0.057,1.13,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-03 12:00,Ⅳ,2.1,6.82,11.46,53.7,13.9,8.29,0.113,0.052,1.13,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-03 16:00,Ⅳ,2.9,6.87,11.84,53.1,12.6,7.79,0.107,0.050,0.99,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-03 20:00,Ⅳ,3.8,6.88,11.96,53.4,15.9,7.62,0.105,0.050,1.01,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-04 00:00,Ⅳ,2.5,6.85,11.81,54.5,15.1,7.82,0.103,0.052,1.01,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-04 04:00,Ⅳ,2.4,6.82,11.52,53.7,13.6,7.82,0.103,0.052,1.01,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-04 04:00,*,2.4,6.82,11.52,53.7,13.6,--,0.106,0.053,1.01,*,*,维护
内蒙古自治区,松花江流域,讷尔克气,04-04 08:00,*,2.6,6.81,11.48,53.5,13.1,--,0.106,0.053,1.01,*,*,维护
内蒙古自治区,松花江流域,讷尔克气,04-04 12:00,Ⅳ,2.3,6.83,11.50,53.7,12.8,6.94,0.126,0.046,1.02,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-04 20:00,Ⅳ,4.0,6.85,11.73,52.5,12.1,6.64,0.139,0.045,1.00,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-04 20:00,Ⅳ,4.0,6.85,11.73,52.5,12.1,6.98,0.132,0.047,0.99,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-05 00:00,Ⅳ,2.6,6.85,11.66,52.9,14.5,6.98,0.132,0.047,0.99,*,*,正常
内蒙古自治区,松花江流域,讷尔克气,04-05 04:00,Ⅳ,3.5,6.81,11.53,51.5,15.0,6.92,0.109,0.049,0.90,*,*,正常
