省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
内蒙古自治区,黄河流域,三盛公,04-01 04:00,Ⅱ,9.1,8.46,9.18,764.1,160.0,2.15,0.142,0.042,2.94,*,*,正常
内蒙古自治区,黄河流域,三盛公,04-01 12:00,Ⅱ,9.6,8.46,9.27,777.9,122.7,2.53,0.125,0.045,2.96,*,*,正常
内蒙古自治区,黄河流域,三盛公,04-01 12:00,Ⅱ,9.6,8.46,9.27,777.9,122.7,2.53,0.125,0.045,2.96,*,*,正常
内蒙古自治区,黄河流域,三盛公,04-01 16:00,Ⅱ,10.5,8.43,9.28,790.2,110.4,1.93,0.117,0.045,2.93,*,*,正常
内蒙古自治区,黄河流域,三盛公,04-01 20:00,Ⅱ,10.4,8.44,9.28,764.1,102.2,2.31,0.134,0.067,2.84,*,*,正常
内蒙古自治区,黄河流域,三盛公,04-02 00:00,Ⅱ,10.4,8.45,9.25,745.4,99.7,1.93,0.098,0.050,2.70,*,*,正常
内蒙古自治区,黄河流域,三盛公,04-02 04:00,Ⅱ,10.3,8.43,9.23,743.3,110.5,1.66,0.101,0.047,2.65,*,*,正常
内蒙古自治区,黄河流域,三盛公,04-02 08:00,Ⅱ,10.0,8.43,9.24,751.7,110.2,2.45,0.102,0.045,2.63,*,*,正常
内蒙古自治区,黄河流域,三盛公,04-02 12:00,Ⅱ,10.5,8.44,9.36,752.3,109.4,1.75,0.106,0.042,2.66,*,*,正常
内蒙古自治区,黄河流域,三盛公,04-02 16:00,Ⅱ,11.0,8.46,9.42,750.7,102.8,1.66,0.114,0.046,2.62,*,*,正常
内蒙古自治区,黄河流域,三盛公,04-02 20:00,Ⅱ,10.6,8.46,9.40,719.3,113.0,1.48,0.111,0.045,2.60,*,*,正常
内蒙古自治区,黄河流域,三盛公,04-03 00:00,Ⅱ,10.1,8.47,9.38,720.4,94.1,1.48,0.103,0.041,2.57,*,*,正常
内蒙古自治区,黄河流域,三盛公,04-03 04:00,Ⅱ,9.6,8.46,9.37,723.7,89.2,1.57,0.102,0.042,2.58,*,*,正常
内蒙古自治区,黄河流域,三盛公,04-03 08:00,Ⅱ,9.1,8.46,9.42,712.0,87.5,2.51,0.099,0.039,2.56,*,*,正常
