省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
内蒙古自治区,黄河流域,画匠营子,04-01 04:00,Ⅲ,12.0,8.12,9.34,1449.3,596.3,4.00,0.060,*,*,*,*,正常
内蒙古自治区,黄河流域,画匠营子,04-01 12:00,Ⅲ,11.9,8.11,9.30,1425.9,675.3,4.15,0.059,*,*,*,*,正常
内蒙古自治区,黄河流域,画匠营子,04-01 12:00,Ⅲ,11.9,8.11,9.30,1425.9,675.3,4.15,0.059,*,*,*,*,正常
内蒙古自治区,黄河流域,画匠营子,04-01 16:00,Ⅲ,12.0,8.11,9.42,1450.5,654.3,4.10,0.062,*,*,*,*,正常
内蒙古自治区,黄河流域,画匠营子,04-01 20:00,Ⅲ,12.2,8.11,9.41,1393.6,677.2,4.12,0.055,*,*,*,*,正常
内蒙古自治区,黄河流域,画匠营子,04-01 20:00,Ⅲ,12.2,8.11,9.41,1393.6,677.2,4.12,0.055,*,*,*,*,正常
内蒙古自治区,黄河流域,画匠营子,04-02 04:00,Ⅲ,12.1,8.10,9.30,1358.6,795.7,4.32,0.062,*,*,*,*,正常
内蒙古自治区,黄河流域,画匠营子,04-02 08:00,Ⅱ,12.0,8.07,9.23,1383.8,720.8,3.93,0.057,*,*,*,*,正常
内蒙古自治区,黄河流域,画匠营子,04-02 12:00,Ⅲ,12.2,8.05,9.19,1360.3,1565.1,4.58,0.058,*,*,*,*,正常
内蒙古自治区,黄河流域,画匠营子,04-02 16:00,Ⅲ,12.2,8.00,8.99,1335.7,2345.4,4.71,0.060,*,*,*,*,正常
内蒙古自治区,黄河流域,画匠营子,04-02 20:00,Ⅲ,12.0,8.00,9.07,1330.9,2499.3,4.73,0.058,*,*,*,*,正常
内蒙古自治区,黄河流域,画匠营子,04-02 20:00,Ⅲ,12.0,8.00,9.07,1330.9,2499.3,4.73,0.058,*,*,*,*,正常
内蒙古自治区,黄河流域,画匠营子,04-03 04:00,Ⅲ,12.0,7.95,8.93,1315.4,3622.7,4.59,0.063,*,*,*,*,正常
内蒙古自治区,黄河流域,画匠营子,04-03 08:00,Ⅲ,12.0,7.95,8.91,1257.4,3292.5,4.64,0.065,*,*,*,*,正常
内蒙古自治区,黄河流域,画匠营子,04-03 12:00,Ⅲ,12.1,7.94,9.02,1285.1,2842.7,4.49,0.062,*,*,*,*,正常
内蒙古自治区,黄河流域,画匠营子,04-03 16:00,Ⅲ,12.4,7.94,9.12,1273.4,2801.7,4.55,0.062,*,*,*,*,正常
内蒙古自治区,黄河流域,画匠营子,04-03 20:00,Ⅲ,12.1,7.95,9.17,1253.8,2668.7,4.60,0.064,*,*,*,*,正常
内蒙古自治区,黄河流域,画匠营子,04-03 20:00,Ⅲ,12.1,7.95,9.17,1253.8,2668.7,4.60,0.064,*,*,*,*,正常
内蒙古自治区,黄河流域,画匠营子,04-04 04:00,Ⅰ,12.4,7.92,9.05,1231.6,2737.6,0.66,0.060,*,*,*,*,正常
