省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
内蒙古自治区,黄河流域,黑柳子,04-01 04:00,Ⅲ,10.0,8.42,11.20,951.6,22.2,4.29,0.025,0.013,1.70,*,*,正常
内蒙古自治区,黄河流域,黑柳子,04-01 12:00,Ⅱ,9.5,8.41,11.77,961.1,35.1,3.57,0.025,0.020,2.28,*,*,正常
内蒙古自治区,黄河流域,黑柳子,04-01 12:00,Ⅱ,9.5,8.41,11.77,961.1,35.1,3.57,0.025,0.020,2.28,*,*,正常
内蒙古自治区,黄河流域,黑柳子,04-01 16:00,Ⅱ,11.9,8.34,11.90,984.7,78.5,2.40,0.025,0.032,2.91,*,*,正常
内蒙古自治区,黄河流域,黑柳子,04-01 20:00,Ⅱ,10.9,8.29,11.22,982.9,72.1,1.92,0.025,0.031,3.16,*,*,正常
内蒙古自治区,黄河流域,黑柳子,04-02 00:00,Ⅱ,10.2,8.17,10.18,979.5,72.1,1.93,0.025,0.035,3.04,*,*,正常
内蒙古自治区,黄河流域,黑柳子,04-02 04:00,Ⅱ,9.9,8.12,10.06,970.0,89.4,1.65,0.025,0.039,3.06,*,*,正常
内蒙古自治区,黄河流域,黑柳子,04-02 08:00,Ⅱ,10.0,8.28,10.77,965.3,42.2,2.86,0.025,0.027,2.81,*,*,正常
内蒙古自治区,黄河流域,黑柳子,04-02 12:00,Ⅱ,10.5,8.31,11.37,967.3,41.1,2.56,0.025,0.022,3.07,*,*,正常
内蒙古自治区,黄河流域,黑柳子,04-02 16:00,*,11.8,8.46,12.21,983.1,27.5,--,0.025,0.070,--,*,*,维护
内蒙古自治区,黄河流域,黑柳子,04-02 20:00,*,11.8,8.36,11.92,977.4,35.6,--,--,--,--,*,*,维护
内蒙古自治区,黄河流域,黑柳子,04-03 00:00,*,10.8,8.31,11.10,974.7,30.0,4.14,0.025,0.011,--,*,*,维护
内蒙古自治区,黄河流域,黑柳子,04-03 04:00,Ⅱ,10.3,8.31,10.91,973.3,31.5,3.88,0.025,0.011,1.98,*,*,正常
内蒙古自治区,黄河流域,黑柳子,04-03 08:00,*,9.7,8.21,10.47,958.8,42.9,3.16,0.025,--,2.24,*,*,维护
内蒙古自治区,黄河流域,黑柳子,04-03 12:00,Ⅱ,10.2,8.26,11.01,955.0,36.8,3.35,0.025,0.022,2.26,*,*,正常
内蒙古自治区,黄河流域,黑柳子,04-03 16:00,Ⅱ,11.8,8.23,11.17,936.0,40.9,2.66,0.025,0.020,2.41,*,*,正常
内蒙古自治区,黄河流域,黑柳子,04-03 20:00,Ⅱ,11.9,8.25,11.29,938.7,35.6,2.93,0.025,0.013,2.40,*,*,正常
内蒙古自治区,黄河流域,黑柳子,04-04 00:00,Ⅱ,11.1,8.20,10.86,934.6,37.4,2.46,0.025,0.014,2.38,*,*,正常
内蒙古自治区,黄河流域,黑柳子,04-04 04:00,*,10.6,8.18,10.67,937.4,33.8,--,--,--,--,*,*,维护
内蒙古自治区,黄河流域,黑柳子,04-04 04:00,Ⅱ,10.6,8.18,10.67,937.4,33.8,2.40,0.025,0.014,2.38,*,*,正常
内蒙古自治区,黄河流域,黑柳子,04-04 12:00,Ⅱ,10.4,8.18,10.87,919.5,48.0,2.20,0.025,0.018,2.49,*,*,正常
内蒙古自治区,黄河流域,黑柳子,04-04 16:00,Ⅱ,11.9,8.18,10.93,904.7,52.7,2.00,0.025,0.016,2.56,*,*,正常
