省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
北京市,海河流域,后城,04-01 08:00,Ⅱ,7.3,7.45,8.84,611.0,3.9,1.33,0.025,0.031,11.29,*,*,正常
北京市,海河流域,后城,04-01 12:00,Ⅱ,8.4,8.02,10.94,576.0,3.7,2.26,0.025,0.038,12.31,*,*,正常
北京市,海河流域,后城,04-01 12:00,Ⅱ,8.4,8.02,10.94,576.0,3.7,2.26,0.025,0.038,12.31,*,*,正常
北京市,海河流域,后城,04-01 16:00,Ⅱ,8.7,8.37,10.07,511.9,6.3,1.81,0.025,0.043,9.86,*,*,正常
北京市,海河流域,后城,04-01 20:00,Ⅲ,8.0,7.75,7.78,584.0,6.2,2.44,0.641,0.051,12.84,*,*,正常
北京市,海河流域,后城,04-02 00:00,Ⅲ,7.5,7.40,7.46,598.7,2.8,1.33,0.315,0.033,12.53,*,*,正常
北京市,海河流域,后城,04-02 04:00,Ⅱ,7.0,7.60,8.17,555.5,7.5,1.83,0.207,0.042,11.35,*,*,正常
北京市,海河流域,后城,04-02 08:00,Ⅱ,7.1,7.46,8.93,595.2,4.0,1.78,0.156,0.035,12.46,*,*,正常
北京市,海河流域,后城,04-02 12:00,Ⅱ,8.7,7.87,11.62,571.4,3.6,1.79,0.025,0.034,11.94,*,*,正常
北京市,海河流域,后城,04-02 16:00,Ⅱ,10.0,8.68,11.14,470.7,6.5,1.81,0.025,0.051,9.00,*,*,正常
北京市,海河流域,后城,04-02 20:00,Ⅱ,8.9,7.97,7.90,555.0,5.7,1.69,0.187,0.054,12.05,*,*,正常
北京市,海河流域,后城,04-03 00:00,Ⅱ,7.9,7.46,7.57,588.2,3.2,1.53,0.159,0.031,12.17,*,*,正常
北京市,海河流域,后城,04-03 04:00,Ⅱ,7.2,7.67,8.38,538.9,10.9,1.60,0.098,0.052,10.82,*,*,正常
北京市,海河流域,后城,04-03 08:00,Ⅱ,7.0,7.53,9.53,586.5,5.8,1.70,0.091,0.038,11.88,*,*,正常
北京市,海河流域,后城,04-03 12:00,Ⅱ,10.0,7.95,12.11,566.6,3.8,2.23,0.025,0.036,12.00,*,*,正常
北京市,海河流域,后城,04-03 16:00,Ⅱ,10.8,8.74,11.70,465.7,8.2,1.80,0.025,0.047,9.38,*,*,正常
北京市,海河流域,后城,04-03 20:00,Ⅱ,8.9,8.17,8.11,545.9,8.9,2.25,0.278,0.067,11.96,*,*,正常
北京市,海河流域,后城,04-04 00:00,Ⅱ,6.9,7.46,7.79,589.2,3.0,1.56,0.211,0.041,12.08,*,*,正常
北京市,海河流域,后城,04-04 04:00,Ⅱ,5.5,7.71,8.78,540.1,11.9,1.95,0.169,0.066,10.31,*,*,正常
北京市,海河流域,后城,04-04 08:00,Ⅱ,6.3,7.58,9.63,565.8,7.5,2.08,0.156,0.055,11.34,*,*,正常
北京市,海河流域,后城,04-04 16:00,Ⅱ,10.5,8.65,11.54,498.9,10.7,1.79,0.025,0.041,11.54,*,*,正常
北京市,海河流域,后城,04-04 20:00,Ⅱ,8.7,8.00,8.12,531.6,5.5,2.29,0.025,0.072,10.60,*,*,正常
北京市,海河流域,后城,04-04 20:00,Ⅱ,8.7,8.00,8.12,531.6,5.5,1.83,0.025,0.054,11.05,*,*,正常
北京市,海河流域,后城,04-05 00:00,Ⅱ,6.8,7.74,8.30,551.4,9.5,1.83,0.025,0.054,11.05,*,*,正常
北京市,海河流域,后城,04-05 04:00,Ⅱ,6.1,7.59,8.28,559.2,6.7,2.04,0.479,0.057,11.38,*,*,正常
北京市,海河流域,后城,04-05 08:00,Ⅱ,6.0,7.58,9.75,583.9,5.3,1.99,0.445,0.044,12.06,*,*,正常
