省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
北京市,海河流域,沙窝,04-01 08:00,Ⅳ,16.9,7.29,15.05,1025.1,11.5,7.83,0.035,0.050,8.43,*,*,正常
北京市,海河流域,沙窝,04-01 12:00,Ⅳ,17.0,7.37,15.76,1030.4,11.7,7.99,0.036,0.048,8.16,*,*,正常
北京市,海河流域,沙窝,04-01 16:00,Ⅳ,17.3,7.44,16.84,1031.2,12.1,7.99,0.036,0.048,8.16,*,*,正常
北京市,海河流域,沙窝,04-01 20:00,Ⅳ,17.0,7.58,17.08,995.9,11.3,8.43,0.041,0.047,7.82,*,*,正常
北京市,海河流域,沙窝,04-02 00:00,Ⅳ,17.3,7.35,15.48,1036.0,11.0,7.18,0.045,0.048,6.89,*,*,正常
北京市,海河流域,沙窝,04-02 04:00,Ⅳ,17.3,7.25,14.09,1053.1,10.5,7.18,0.045,0.048,6.89,*,*,正常
北京市,海河流域,沙窝,04-02 08:00,Ⅳ,17.2,7.22,12.82,1066.9,11.2,7.94,0.052,0.049,7.22,*,*,正常
北京市,海河流域,沙窝,04-02 12:00,Ⅳ,17.2,7.28,13.29,1068.5,9.9,7.83,0.047,0.046,7.07,*,*,正常
北京市,海河流域,沙窝,04-02 16:00,Ⅳ,17.4,7.33,14.03,1068.5,11.6,7.78,0.044,0.044,7.09,*,*,正常
北京市,海河流域,沙窝,04-02 20:00,Ⅳ,17.3,7.40,10.77,1047.9,10.8,7.82,0.048,0.048,7.08,*,*,正常
北京市,海河流域,沙窝,04-03 00:00,Ⅳ,17.0,7.48,13.25,1029.9,11.0,6.82,0.059,0.046,7.04,*,*,正常
北京市,海河流域,沙窝,04-03 04:00,Ⅳ,17.6,7.21,10.27,1191.5,8.2,6.82,0.059,0.046,7.04,*,*,正常
北京市,海河流域,沙窝,04-03 08:00,Ⅳ,17.9,7.12,9.76,1243.9,6.2,6.40,0.053,0.050,7.84,*,*,正常
北京市,海河流域,沙窝,04-03 12:00,Ⅳ,18.6,7.17,10.60,1246.9,7.7,7.99,0.042,0.052,7.73,*,*,正常
北京市,海河流域,沙窝,04-03 16:00,Ⅳ,18.7,7.43,13.77,1126.5,9.8,8.00,0.042,0.054,7.52,*,*,正常
北京市,海河流域,沙窝,04-03 20:00,Ⅳ,18.0,7.86,15.01,1013.4,12.4,7.78,0.034,0.050,6.71,*,*,正常
