省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
吉林省,松花江流域,兰旗大桥,04-01 08:00,Ⅱ,3.8,7.31,10.47,183.7,4.8,3.94,0.025,0.031,2.60,*,*,正常
吉林省,松花江流域,兰旗大桥,04-01 12:00,Ⅱ,4.5,7.09,10.87,182.4,4.4,3.67,0.025,0.031,2.58,*,*,正常
吉林省,松花江流域,兰旗大桥,04-01 12:00,*,4.5,7.09,10.87,182.4,4.4,--,0.025,0.160,2.56,*,*,维护
吉林省,松花江流域,兰旗大桥,04-01 16:00,Ⅱ,5.1,7.25,11.35,181.1,4.4,3.78,0.025,0.030,2.52,*,*,正常
吉林省,松花江流域,兰旗大桥,04-01 20:00,Ⅱ,5.6,7.30,11.52,180.5,4.5,3.74,0.025,0.030,2.53,*,*,正常
吉林省,松花江流域,兰旗大桥,04-02 00:00,Ⅱ,5.2,7.27,11.06,181.2,4.4,3.74,0.025,0.030,2.53,*,*,正常
吉林省,松花江流域,兰旗大桥,04-02 04:00,Ⅱ,5.0,7.19,10.50,181.5,4.4,3.88,0.025,0.030,2.78,*,*,正常
吉林省,松花江流域,兰旗大桥,04-02 08:00,Ⅱ,4.8,7.18,10.52,181.3,4.5,3.76,0.025,0.030,2.80,*,*,正常
吉林省,松花江流域,兰旗大桥,04-02 12:00,Ⅱ,5.0,7.22,10.94,181.2,4.2,3.74,0.025,0.030,2.54,*,*,正常
吉林省,松花江流域,兰旗大桥,04-02 16:00,Ⅱ,5.2,7.28,11.25,181.0,6.2,3.77,0.025,0.031,2.56,*,*,正常
吉林省,松花江流域,兰旗大桥,04-02 20:00,Ⅱ,5.5,7.36,11.55,181.0,4.5,3.78,0.025,0.030,2.56,*,*,正常
吉林省,松花江流域,兰旗大桥,04-03 00:00,Ⅱ,5.4,7.31,11.15,181.2,4.4,3.78,0.025,0.030,2.56,*,*,正常
吉林省,松花江流域,兰旗大桥,04-03 04:00,Ⅱ,5.1,7.21,10.50,180.7,4.2,3.95,0.025,0.029,2.61,*,*,正常
吉林省,松花江流域,兰旗大桥,04-03 08:00,Ⅱ,4.9,7.19,10.50,180.4,5.0,3.81,0.025,0.030,2.60,*,*,正常
吉林省,松花江流域,兰旗大桥,04-03 12:00,Ⅱ,5.2,7.26,11.11,180.2,5.2,3.79,0.025,0.030,2.55,*,*,正常
吉林省,松花江流域,兰旗大桥,04-03 16:00,Ⅱ,5.4,7.37,11.68,179.3,4.7,3.78,0.025,0.030,2.68,*,*,正常
吉林省,松花江流域,兰旗大桥,04-03 20:00,Ⅱ,5.5,7.45,11.76,179.0,4.6,3.75,0.025,0.030,2.82,*,*,正常
吉林省,松花江流域,兰旗大桥,04-04 00:00,Ⅱ,5.2,7.42,11.38,180.0,5.0,3.75,0.025,0.030,2.82,*,*,正常
