省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
吉林省,松花江流域,榆树川,04-01 08:00,Ⅳ,2.5,6.92,10.66,168.9,64.2,6.92,0.359,0.224,1.09,*,*,正常
吉林省,松花江流域,榆树川,04-01 12:00,Ⅳ,4.0,6.92,11.38,145.0,58.2,6.21,0.358,0.193,1.14,*,*,正常
吉林省,松花江流域,榆树川,04-01 12:00,Ⅲ,4.0,6.92,11.38,145.0,58.2,5.38,0.288,0.190,1.14,*,*,正常
吉林省,松花江流域,榆树川,04-01 16:00,Ⅲ,4.5,6.81,10.91,140.5,52.7,4.98,0.279,0.168,1.02,*,*,正常
吉林省,松花江流域,榆树川,04-01 20:00,Ⅲ,4.8,6.89,10.49,138.8,50.8,4.90,0.267,0.182,1.06,*,*,正常
吉林省,松花江流域,榆树川,04-02 00:00,Ⅲ,6.2,6.96,10.14,138.7,60.3,4.90,0.267,0.182,1.06,*,*,正常
吉林省,松花江流域,榆树川,04-02 04:00,Ⅲ,5.5,6.97,10.18,160.8,71.4,5.12,0.278,0.177,0.81,*,*,正常
吉林省,松花江流域,榆树川,04-02 08:00,Ⅲ,4.8,6.98,10.77,142.1,62.2,5.20,0.293,0.170,0.95,*,*,正常
吉林省,松花江流域,榆树川,04-02 12:00,Ⅲ,6.0,6.96,11.36,135.9,59.4,4.90,0.230,0.164,0.87,*,*,正常
吉林省,松花江流域,榆树川,04-02 16:00,Ⅲ,6.8,6.92,11.15,134.1,50.6,4.54,0.217,0.157,0.99,*,*,正常
吉林省,松花江流域,榆树川,04-02 20:00,Ⅲ,6.8,6.92,10.57,133.3,55.4,4.58,0.229,0.160,0.78,*,*,正常
吉林省,松花江流域,榆树川,04-03 00:00,Ⅲ,7.5,6.94,10.16,134.0,70.9,4.58,0.229,0.160,0.78,*,*,正常
吉林省,松花江流域,榆树川,04-03 04:00,Ⅲ,6.6,6.94,10.28,135.7,79.6,5.17,0.244,0.185,0.49,*,*,正常
吉林省,松花江流域,榆树川,04-03 08:00,Ⅲ,5.7,6.92,10.43,138.5,58.5,4.65,0.276,0.154,0.84,*,*,正常
吉林省,松花江流域,榆树川,04-03 12:00,Ⅲ,5.8,7.00,11.12,136.9,48.2,4.50,0.244,0.132,1.20,*,*,正常
吉林省,松花江流域,榆树川,04-03 16:00,Ⅲ,6.0,7.03,11.27,134.6,43.5,4.17,0.209,0.134,1.20,*,*,正常
吉林省,松花江流域,榆树川,04-03 20:00,Ⅲ,5.5,7.02,10.90,135.7,54.0,4.15,0.221,0.141,0.92,*,*,正常
吉林省,松花江流域,榆树川,04-04 00:00,Ⅲ,5.2,6.94,10.54,136.3,64.0,4.15,0.221,0.141,0.92,*,*,正常
吉林省,松花江流域,榆树川,04-04 04:00,*,4.4,6.98,10.77,137.6,62.9,--,--,--,--,*,*,维护
吉林省,松花江流域,榆树川,04-04 08:00,Ⅲ,3.9,6.98,11.06,141.1,62.8,4.39,0.212,0.165,0.76,*,*,正常
吉林省,松花江流域,榆树川,04-04 12:00,Ⅲ,5.9,7.01,11.81,141.9,51.0,4.44,0.255,0.152,1.00,*,*,正常
吉林省,松花江流域,榆树川,04-04 16:00,Ⅲ,7.0,7.05,11.90,155.4,39.6,4.08,0.233,0.143,1.28,*,*,正常
吉林省,松花江流域,榆树川,04-04 20:00,Ⅲ,6.4,7.01,10.93,156.3,37.8,3.93,0.223,0.116,1.37,*,*,正常
