省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
吉林省,松花江流域,白山大桥,04-01 04:00,Ⅲ,2.5,7.09,8.97,128.1,2.0,5.01,0.025,0.020,1.32,*,*,正常
吉林省,松花江流域,白山大桥,04-01 12:00,Ⅲ,2.8,7.11,8.82,131.5,2.1,4.88,0.025,0.022,1.36,*,*,正常
吉林省,松花江流域,白山大桥,04-01 12:00,Ⅲ,2.8,7.11,8.82,131.5,2.1,4.88,0.025,0.022,1.36,*,*,正常
吉林省,松花江流域,白山大桥,04-01 16:00,Ⅲ,2.7,7.10,9.10,132.7,2.2,4.91,0.025,0.022,1.39,*,*,正常
吉林省,松花江流域,白山大桥,04-01 20:00,Ⅲ,2.5,7.10,8.68,134.5,2.1,4.81,0.025,0.022,1.38,*,*,正常
吉林省,松花江流域,白山大桥,04-02 00:00,Ⅲ,2.6,7.10,8.72,137.6,2.2,4.81,0.025,0.022,1.38,*,*,正常
吉林省,松花江流域,白山大桥,04-02 04:00,Ⅲ,2.6,7.10,9.30,133.1,2.1,5.06,0.025,0.021,1.35,*,*,正常
吉林省,松花江流域,白山大桥,04-02 08:00,Ⅲ,2.6,7.10,9.10,125.7,1.9,4.91,0.025,0.020,1.34,*,*,正常
吉林省,松花江流域,白山大桥,04-02 12:00,Ⅲ,2.8,7.12,8.85,131.8,2.1,4.76,0.025,0.021,1.37,*,*,正常
吉林省,松花江流域,白山大桥,04-02 16:00,Ⅲ,2.7,7.11,9.15,130.3,2.1,4.82,0.025,0.021,1.34,*,*,正常
吉林省,松花江流域,白山大桥,04-02 20:00,Ⅲ,2.6,7.10,8.76,131.2,2.2,4.80,0.025,0.021,1.37,*,*,正常
吉林省,松花江流域,白山大桥,04-03 00:00,Ⅲ,2.6,7.11,8.42,139.9,2.2,4.80,0.025,0.021,1.37,*,*,正常
吉林省,松花江流域,白山大桥,04-03 04:00,Ⅲ,2.7,7.10,9.30,131.2,2.1,4.92,0.025,0.021,1.33,*,*,正常
吉林省,松花江流域,白山大桥,04-03 08:00,Ⅲ,2.7,7.10,8.85,133.9,2.1,4.95,0.025,0.022,1.38,*,*,正常
吉林省,松花江流域,白山大桥,04-03 12:00,Ⅲ,2.6,7.13,9.36,135.7,2.2,4.78,0.025,0.022,1.41,*,*,正常
吉林省,松花江流域,白山大桥,04-03 16:00,Ⅲ,2.4,7.00,9.31,137.2,2.7,4.90,0.025,0.022,1.42,*,*,正常
吉林省,松花江流域,白山大桥,04-03 20:00,Ⅲ,2.4,7.04,8.74,140.9,2.7,4.92,0.025,0.023,1.44,*,*,正常
吉林省,松花江流域,白山大桥,04-04 00:00,Ⅲ,2.4,7.07,8.80,140.4,2.7,4.92,0.025,0.023,1.44,*,*,正常
吉林省,松花江流域,白山大桥,04-04 04:00,*,2.4,7.08,8.68,140.8,2.6,--,--,--,--,*,*,维护
吉林省,松花江流域,白山大桥,04-04 08:00,Ⅲ,2.4,7.08,8.89,138.4,2.5,5.06,0.025,0.023,1.42,*,*,正常
吉林省,松花江流域,白山大桥,04-04 12:00,Ⅲ,2.8,7.11,8.80,138.4,2.5,4.92,0.025,0.024,1.45,*,*,正常
吉林省,松花江流域,白山大桥,04-04 16:00,Ⅲ,2.7,7.11,8.76,136.7,2.5,4.90,0.025,0.024,1.42,*,*,正常
吉林省,松花江流域,白山大桥,04-04 20:00,Ⅲ,2.5,7.11,8.82,139.5,2.6,4.79,0.025,0.024,1.42,*,*,正常
吉林省,松花江流域,白山大桥,04-05 00:00,Ⅲ,2.5,7.11,8.75,140.5,2.5,4.79,0.025,0.024,1.42,*,*,正常
吉林省,松花江流域,白山大桥,04-05 04:00,Ⅲ,2.5,7.10,8.75,138.2,2.5,4.88,0.025,0.024,1.42,*,*,正常
吉林省,松花江流域,白山大桥,04-05 08:00,Ⅲ,2.5,7.09,8.88,134.7,2.5,4.98,0.025,0.024,1.41,*,*,正常
吉林省,松花江流域,白山大桥,04-05 12:00,Ⅲ,3.2,7.14,9.46,132.7,2.4,4.82,0.025,0.024,1.41,*,*,正常
吉林省,松花江流域,白山大桥,04-05 16:00,Ⅲ,3.0,7.11,9.09,131.1,2.5,4.76,0.025,0.023,1.38,*,*,正常
