省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
四川省,长江流域,大岗山,04-01 04:00,Ⅰ,10.6,8.04,10.09,274.0,3.8,0.47,0.025,0.006,0.58,*,*,正常
四川省,长江流域,大岗山,04-01 12:00,Ⅰ,10.8,8.07,10.27,273.1,2.8,0.60,0.025,0.006,0.60,*,*,正常
四川省,长江流域,大岗山,04-01 12:00,Ⅰ,10.8,8.07,10.27,273.1,2.8,0.60,0.025,0.006,0.60,*,*,正常
四川省,长江流域,大岗山,04-01 16:00,Ⅰ,10.6,8.09,10.31,274.0,4.2,0.56,0.025,0.006,0.59,*,*,正常
四川省,长江流域,大岗山,04-01 20:00,Ⅰ,10.8,8.07,10.17,274.0,3.4,0.46,0.025,0.006,0.52,*,*,正常
四川省,长江流域,大岗山,04-01 20:00,Ⅰ,10.8,8.07,10.17,274.0,3.4,0.46,0.025,0.006,0.52,*,*,正常
四川省,长江流域,大岗山,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
四川省,长江流域,大岗山,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
四川省,长江流域,大岗山,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
四川省,长江流域,大岗山,04-02 16:00,Ⅰ,12.3,8.23,9.79,275.2,38.9,0.79,0.025,0.013,0.71,*,*,正常
四川省,长江流域,大岗山,04-02 20:00,Ⅰ,11.1,8.24,10.22,275.0,30.5,0.67,0.025,0.013,0.72,*,*,正常
四川省,长江流域,大岗山,04-02 20:00,Ⅰ,11.1,8.24,10.22,275.0,30.5,0.67,0.025,0.013,0.72,*,*,正常
四川省,长江流域,大岗山,04-03 04:00,Ⅰ,11.2,8.22,10.15,274.9,39.9,0.71,0.025,0.015,0.65,*,*,正常
四川省,长江流域,大岗山,04-03 08:00,Ⅰ,11.2,8.23,10.23,274.8,32.5,0.71,0.025,0.014,0.69,*,*,正常
