省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
四川省,长江流域,大蹬沟,04-01 04:00,Ⅰ,17.1,8.39,10.08,303.9,11.4,1.71,0.025,0.019,0.93,*,*,正常
四川省,长江流域,大蹬沟,04-01 12:00,Ⅱ,17.0,8.43,10.30,302.8,12.2,1.91,0.025,0.023,0.94,*,*,正常
四川省,长江流域,大蹬沟,04-01 16:00,Ⅱ,16.9,8.39,10.17,303.8,12.6,1.91,0.025,0.023,0.94,*,*,正常
四川省,长江流域,大蹬沟,04-01 20:00,Ⅰ,16.8,8.42,10.27,304.5,18.9,1.70,0.025,0.019,0.94,*,*,正常
四川省,长江流域,大蹬沟,04-02 00:00,Ⅱ,16.8,8.39,10.09,307.3,24.4,1.87,0.025,0.021,0.94,*,*,正常
四川省,长江流域,大蹬沟,04-02 00:00,Ⅱ,16.8,8.39,10.09,307.3,24.4,1.87,0.025,0.021,0.94,*,*,正常
四川省,长江流域,大蹬沟,04-02 08:00,Ⅱ,16.5,8.38,10.05,305.8,18.0,1.67,0.025,0.021,0.92,*,*,正常
四川省,长江流域,大蹬沟,04-02 12:00,Ⅱ,16.6,8.39,10.18,305.9,15.2,1.78,0.025,0.021,0.91,*,*,正常
四川省,长江流域,大蹬沟,04-02 16:00,Ⅱ,16.7,8.39,10.10,306.3,13.7,1.82,0.025,0.022,0.97,*,*,正常
四川省,长江流域,大蹬沟,04-02 20:00,Ⅱ,16.5,8.38,10.11,307.9,13.4,1.81,0.025,0.021,1.02,*,*,正常
四川省,长江流域,大蹬沟,04-03 00:00,Ⅱ,16.4,8.36,9.94,308.0,12.9,1.84,0.030,0.023,1.06,*,*,正常
四川省,长江流域,大蹬沟,04-03 00:00,Ⅱ,16.4,8.36,9.94,308.0,12.9,1.84,0.030,0.023,1.06,*,*,正常
四川省,长江流域,大蹬沟,04-03 08:00,Ⅱ,16.4,8.33,9.80,309.2,12.3,1.74,0.028,0.020,0.98,*,*,正常
四川省,长江流域,大蹬沟,04-03 12:00,Ⅱ,16.5,8.36,10.03,308.8,12.3,1.65,0.031,0.020,0.98,*,*,正常
四川省,长江流域,大蹬沟,04-03 16:00,Ⅱ,16.5,8.39,10.16,309.1,11.5,1.86,0.028,0.022,1.02,*,*,正常
四川省,长江流域,大蹬沟,04-03 20:00,Ⅱ,16.4,8.37,10.01,309.7,16.1,1.76,0.025,0.020,1.02,*,*,正常
四川省,长江流域,大蹬沟,04-04 00:00,Ⅱ,16.3,8.35,9.98,310.7,23.1,1.75,0.025,0.022,0.95,*,*,正常
四川省,长江流域,大蹬沟,04-04 00:00,Ⅱ,16.3,8.35,9.98,310.7,23.1,1.75,0.025,0.022,0.95,*,*,正常
四川省,长江流域,大蹬沟,04-04 04:00,*,16.1,8.34,9.89,312.1,25.0,--,0.033,0.028,--,*,*,维护
