省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
四川省,长江流域,小水沟,04-01 04:00,Ⅰ,8.2,8.39,8.48,249.7,78.8,1.53,0.090,0.015,1.21,*,*,正常
四川省,长江流域,小水沟,04-01 12:00,Ⅱ,9.0,8.83,8.67,245.2,84.7,1.51,0.121,0.025,1.50,*,*,正常
四川省,长江流域,小水沟,04-01 12:00,Ⅱ,9.0,8.83,8.67,245.2,84.7,1.51,0.121,0.025,1.50,*,*,正常
四川省,长江流域,小水沟,04-01 16:00,Ⅱ,10.2,8.44,8.01,246.2,153.5,2.05,0.198,0.008,2.32,*,*,正常
四川省,长江流域,小水沟,04-01 20:00,Ⅱ,9.8,8.48,7.99,245.4,73.2,1.37,0.101,0.020,1.07,*,*,正常
四川省,长江流域,小水沟,04-01 20:00,Ⅱ,9.8,8.48,7.99,245.4,73.2,1.37,0.101,0.020,1.07,*,*,正常
四川省,长江流域,小水沟,04-02 04:00,Ⅰ,8.1,8.40,8.52,243.3,65.4,1.42,0.080,0.014,0.92,*,*,正常
四川省,长江流域,小水沟,04-02 08:00,Ⅰ,7.2,8.39,8.81,243.7,56.3,1.23,0.081,0.017,0.87,*,*,正常
四川省,长江流域,小水沟,04-02 12:00,Ⅰ,8.3,8.62,8.85,242.7,60.2,1.30,0.076,0.017,0.95,*,*,正常
四川省,长江流域,小水沟,04-02 16:00,Ⅱ,9.5,8.51,8.32,241.5,91.9,1.79,0.117,0.022,1.20,*,*,正常
四川省,长江流域,小水沟,04-02 20:00,Ⅱ,9.3,8.41,8.14,241.2,156.1,2.06,0.203,0.013,1.32,*,*,正常
四川省,长江流域,小水沟,04-02 20:00,Ⅱ,9.3,8.41,8.14,241.2,156.1,2.06,0.203,0.013,1.32,*,*,正常
四川省,长江流域,小水沟,04-03 04:00,Ⅰ,7.6,8.37,8.77,240.1,79.7,1.62,0.106,0.015,1.14,*,*,正常
四川省,长江流域,小水沟,04-03 08:00,Ⅰ,6.8,8.37,9.02,240.9,59.5,1.38,0.084,0.017,1.01,*,*,正常
