省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
四川省,长江流域,彭山岷江大桥,04-01 04:00,Ⅲ,19.6,7.70,8.03,559.8,83.4,2.51,0.166,0.124,4.16,*,*,正常
四川省,长江流域,彭山岷江大桥,04-01 12:00,*,19.3,7.73,8.06,553.8,66.4,--,0.147,0.119,3.89,*,*,维护
四川省,长江流域,彭山岷江大桥,04-01 12:00,*,19.3,7.73,8.06,553.8,66.4,--,0.147,0.119,3.89,*,*,维护
四川省,长江流域,彭山岷江大桥,04-01 16:00,Ⅲ,19.3,7.69,8.09,565.9,117.0,2.88,0.256,0.137,4.22,*,*,正常
四川省,长江流域,彭山岷江大桥,04-01 20:00,Ⅲ,18.7,7.65,7.93,554.1,125.7,2.96,0.309,0.144,4.23,*,*,正常
四川省,长江流域,彭山岷江大桥,04-01 20:00,Ⅲ,18.7,7.65,7.93,554.1,125.7,2.96,0.309,0.144,4.23,*,*,正常
四川省,长江流域,彭山岷江大桥,04-02 04:00,Ⅲ,18.0,7.60,7.78,521.9,74.2,2.92,0.282,0.142,3.95,*,*,正常
四川省,长江流域,彭山岷江大桥,04-02 08:00,Ⅲ,17.6,7.55,7.78,506.9,79.6,2.94,0.347,0.139,4.08,*,*,正常
四川省,长江流域,彭山岷江大桥,04-02 12:00,Ⅲ,18.0,7.55,7.47,510.2,73.1,3.43,0.426,0.147,4.10,*,*,正常
四川省,长江流域,彭山岷江大桥,04-02 16:00,Ⅲ,18.4,7.59,7.71,510.5,104.3,3.34,0.393,0.144,4.05,*,*,正常
四川省,长江流域,彭山岷江大桥,04-02 20:00,Ⅲ,17.8,7.60,8.02,497.4,69.4,2.84,0.332,0.141,3.83,*,*,正常
四川省,长江流域,彭山岷江大桥,04-02 20:00,Ⅲ,17.8,7.60,8.02,497.4,69.4,2.84,0.332,0.141,3.83,*,*,正常
四川省,长江流域,彭山岷江大桥,04-03 04:00,Ⅲ,17.2,7.60,8.06,478.8,62.2,3.02,0.273,0.134,3.68,*,*,正常
四川省,长江流域,彭山岷江大桥,04-03 08:00,Ⅲ,17.1,7.64,8.23,475.9,74.4,2.62,0.225,0.126,3.58,*,*,正常
四川省,长江流域,彭山岷江大桥,04-03 12:00,Ⅲ,18.7,7.70,8.47,493.2,63.9,2.56,0.104,0.126,3.61,*,*,正常
四川省,长江流域,彭山岷江大桥,04-03 16:00,*,19.5,7.37,8.76,505.1,103.9,--,0.175,0.124,3.65,*,*,维护
四川省,长江流域,彭山岷江大桥,04-03 20:00,Ⅲ,18.4,7.51,8.75,483.9,76.0,2.54,0.162,0.124,3.57,*,*,正常
四川省,长江流域,彭山岷江大桥,04-03 20:00,Ⅲ,18.4,7.51,8.75,483.9,76.0,2.54,0.162,0.124,3.57,*,*,正常
