省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
四川省,长江流域,李码头,04-01 04:00,Ⅱ,16.0,8.21,9.78,269.5,19.9,1.07,0.034,0.037,1.59,*,*,正常
四川省,长江流域,李码头,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
四川省,长江流域,李码头,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
四川省,长江流域,李码头,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
四川省,长江流域,李码头,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
四川省,长江流域,李码头,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
四川省,长江流域,李码头,04-02 04:00,*,18.7,7.31,9.82,288.1,16.4,--,--,--,--,*,*,维护
四川省,长江流域,李码头,04-02 08:00,*,19.0,7.46,9.50,289.7,14.2,--,--,--,--,*,*,维护
四川省,长江流域,李码头,04-02 12:00,*,18.9,7.57,9.39,290.4,12.6,--,--,--,--,*,*,维护
四川省,长江流域,李码头,04-02 16:00,*,19.1,7.67,9.08,291.1,12.1,--,--,--,--,*,*,维护
四川省,长江流域,李码头,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
四川省,长江流域,李码头,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
