省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
四川省,长江流域,龟都府,04-01 04:00,Ⅱ,13.8,7.80,9.25,261.1,130.1,1.76,0.336,0.078,2.41,*,*,正常
四川省,长江流域,龟都府,04-01 12:00,Ⅱ,13.5,7.88,9.55,252.8,110.9,1.38,0.211,0.077,1.89,*,*,正常
四川省,长江流域,龟都府,04-01 12:00,Ⅱ,13.5,7.88,9.55,252.8,110.9,1.38,0.211,0.077,1.89,*,*,正常
四川省,长江流域,龟都府,04-01 16:00,Ⅱ,13.7,7.89,9.58,268.5,167.5,1.56,0.310,0.080,2.38,*,*,正常
四川省,长江流域,龟都府,04-02 00:00,Ⅱ,13.5,7.94,9.53,256.7,75.0,1.99,0.282,0.096,2.44,*,*,正常
四川省,长江流域,龟都府,04-02 00:00,Ⅱ,13.5,7.94,9.53,256.7,75.0,1.99,0.282,0.096,2.44,*,*,正常
四川省,长江流域,龟都府,04-02 04:00,Ⅱ,13.4,7.92,9.62,262.2,98.1,1.50,0.240,0.084,1.89,*,*,正常
四川省,长江流域,龟都府,04-02 08:00,Ⅱ,13.4,7.99,9.70,254.3,67.1,1.42,0.177,0.076,1.67,*,*,正常
四川省,长江流域,龟都府,04-02 12:00,Ⅱ,13.4,7.99,9.75,255.6,86.3,1.31,0.165,0.072,1.59,*,*,正常
四川省,长江流域,龟都府,04-02 16:00,Ⅱ,13.6,7.98,9.74,264.6,68.2,1.40,0.194,0.067,1.70,*,*,正常
四川省,长江流域,龟都府,04-03 00:00,Ⅱ,13.6,8.09,9.79,254.9,91.6,1.85,0.214,0.093,1.90,*,*,正常
四川省,长江流域,龟都府,04-03 00:00,Ⅱ,13.6,8.09,9.79,254.9,91.6,1.85,0.214,0.093,1.90,*,*,正常
四川省,长江流域,龟都府,04-03 04:00,Ⅱ,13.5,8.09,9.76,253.8,71.8,1.79,0.159,0.075,1.53,*,*,正常
四川省,长江流域,龟都府,04-03 08:00,Ⅱ,13.5,8.10,9.74,250.9,82.6,1.65,0.146,0.071,1.53,*,*,正常
四川省,长江流域,龟都府,04-03 12:00,Ⅱ,13.7,8.10,9.73,252.3,52.5,1.28,0.141,0.070,1.44,*,*,正常
四川省,长江流域,龟都府,04-03 16:00,Ⅱ,14.4,8.10,9.80,257.5,47.8,1.35,0.145,0.070,1.46,*,*,正常
四川省,长江流域,龟都府,04-03 20:00,Ⅱ,14.4,8.13,9.76,258.7,60.4,1.15,0.141,0.067,1.41,*,*,正常
四川省,长江流域,龟都府,04-04 00:00,Ⅱ,14.2,8.14,9.70,263.4,51.7,1.15,0.141,0.067,1.41,*,*,正常
四川省,长江流域,龟都府,04-04 04:00,*,14.1,8.13,9.77,266.0,60.7,--,--,--,--,*,*,维护
四川省,长江流域,龟都府,04-04 08:00,Ⅱ,14.0,8.16,9.81,261.8,100.2,1.27,0.149,0.069,1.45,*,*,正常
四川省,长江流域,龟都府,04-04 12:00,Ⅱ,13.9,8.15,9.76,256.7,55.2,1.33,0.146,0.064,1.43,*,*,正常
四川省,长江流域,龟都府,04-04 16:00,Ⅱ,13.8,8.14,9.71,259.7,70.5,1.37,0.194,0.075,1.62,*,*,正常
四川省,长江流域,龟都府,04-04 20:00,Ⅱ,13.7,8.16,9.68,262.5,53.7,1.36,0.182,0.075,1.67,*,*,正常
四川省,长江流域,龟都府,04-05 00:00,Ⅱ,13.4,8.18,9.76,262.0,64.5,1.36,0.182,0.075,1.67,*,*,正常
四川省,长江流域,龟都府,04-05 04:00,Ⅱ,13.3,8.18,9.90,255.6,66.3,1.56,0.153,0.078,1.63,*,*,正常
