省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
天津市,海河流域,塘汉公路桥,04-01 08:00,Ⅲ,12.4,8.37,10.56,1292.7,13.6,5.23,0.025,0.079,5.35,*,*,正常
天津市,海河流域,塘汉公路桥,04-01 12:00,Ⅲ,13.3,8.28,10.22,1283.2,40.3,5.28,0.025,0.096,5.44,*,*,正常
天津市,海河流域,塘汉公路桥,04-01 12:00,Ⅲ,13.3,8.28,10.22,1283.2,40.3,5.37,0.025,0.096,5.44,*,*,正常
天津市,海河流域,塘汉公路桥,04-01 12:00,Ⅲ,13.3,8.28,10.22,1283.2,40.3,5.37,0.025,0.096,5.44,*,*,正常
天津市,海河流域,塘汉公路桥,04-01 12:00,Ⅲ,13.3,8.28,10.22,1283.2,40.3,5.37,0.025,0.096,5.44,*,*,正常
天津市,海河流域,塘汉公路桥,04-01 12:00,Ⅲ,13.3,8.28,10.22,1283.2,40.3,5.37,0.025,0.096,5.44,*,*,正常
天津市,海河流域,塘汉公路桥,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
天津市,海河流域,塘汉公路桥,04-02 08:00,Ⅲ,12.4,8.27,9.61,1211.9,12.1,5.32,0.025,0.070,5.37,*,*,正常
天津市,海河流域,塘汉公路桥,04-02 12:00,Ⅲ,12.8,8.38,11.23,1207.8,12.9,5.34,0.025,0.087,5.51,*,*,正常
天津市,海河流域,塘汉公路桥,04-02 16:00,Ⅲ,12.8,8.58,13.65,1206.3,14.4,5.89,0.025,0.117,5.55,*,*,正常
天津市,海河流域,塘汉公路桥,04-02 20:00,Ⅲ,12.6,8.41,11.26,1216.5,14.8,5.38,0.025,0.100,5.38,*,*,正常
天津市,海河流域,塘汉公路桥,04-03 00:00,Ⅲ,12.5,8.37,10.82,1217.2,14.1,5.18,0.025,0.086,5.36,*,*,正常
天津市,海河流域,塘汉公路桥,04-03 04:00,Ⅲ,12.4,8.34,10.28,1219.9,10.6,5.15,0.025,0.079,5.28,*,*,正常
天津市,海河流域,塘汉公路桥,04-03 08:00,Ⅲ,12.2,8.27,9.46,1252.6,12.2,5.12,0.025,0.071,5.10,*,*,正常
天津市,海河流域,塘汉公路桥,04-03 12:00,Ⅲ,13.0,8.36,10.40,1254.0,11.2,5.22,0.025,0.068,5.08,*,*,正常
天津市,海河流域,塘汉公路桥,04-03 16:00,Ⅲ,13.6,8.46,11.33,1254.4,13.8,5.36,0.025,0.071,5.26,*,*,正常
天津市,海河流域,塘汉公路桥,04-03 20:00,Ⅲ,12.8,8.36,10.27,1321.6,15.2,5.32,0.025,0.071,4.94,*,*,正常
天津市,海河流域,塘汉公路桥,04-04 00:00,Ⅲ,12.4,8.34,10.22,1307.0,9.1,5.22,0.025,0.063,4.87,*,*,正常
天津市,海河流域,塘汉公路桥,04-04 04:00,*,12.2,8.29,9.67,1302.2,10.6,--,0.025,0.078,4.89,*,*,维护
天津市,海河流域,塘汉公路桥,04-04 08:00,Ⅲ,12.5,8.29,9.87,1309.6,8.4,5.13,0.025,0.078,4.89,*,*,正常
天津市,海河流域,塘汉公路桥,04-04 12:00,Ⅲ,14.0,8.32,10.20,1287.6,8.7,5.28,0.025,0.065,4.84,*,*,正常
天津市,海河流域,塘汉公路桥,04-04 16:00,Ⅲ,14.6,8.50,12.20,1263.3,8.8,5.51,0.025,0.078,4.96,*,*,正常
天津市,海河流域,塘汉公路桥,04-04 20:00,Ⅲ,13.6,8.54,13.01,1264.5,10.1,5.58,0.025,0.089,5.10,*,*,正常
天津市,海河流域,塘汉公路桥,04-05 00:00,Ⅲ,13.2,8.47,12.03,1277.6,10.1,5.50,0.025,0.087,5.18,*,*,正常
天津市,海河流域,塘汉公路桥,04-05 04:00,Ⅲ,13.0,8.46,11.58,1275.8,9.0,5.37,0.025,0.085,5.17,*,*,正常
天津市,海河流域,塘汉公路桥,04-05 08:00,Ⅲ,13.1,8.49,11.97,1288.0,10.2,5.44,0.025,0.086,4.95,*,*,正常
天津市,海河流域,塘汉公路桥,04-05 12:00,Ⅲ,13.6,8.56,12.87,1314.1,11.0,5.78,0.025,0.089,4.90,*,*,正常
