省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
天津市,海河流域,蓟运河防潮闸,04-01 08:00,Ⅳ,12.5,8.31,9.52,1835.5,8.5,7.88,0.045,0.060,2.44,*,*,正常
天津市,海河流域,蓟运河防潮闸,04-01 12:00,Ⅳ,13.3,8.38,10.39,1906.5,25.5,9.01,0.043,0.075,2.68,*,*,正常
天津市,海河流域,蓟运河防潮闸,04-01 16:00,Ⅳ,13.5,8.34,9.84,1798.1,12.1,9.01,0.043,0.075,2.68,*,*,正常
天津市,海河流域,蓟运河防潮闸,04-01 20:00,Ⅳ,13.3,8.32,10.03,1773.7,5.1,9.00,0.030,0.069,3.03,*,*,正常
天津市,海河流域,蓟运河防潮闸,04-02 00:00,Ⅳ,13.2,8.29,10.05,1777.1,9.7,8.58,0.046,0.069,3.15,*,*,正常
天津市,海河流域,蓟运河防潮闸,04-02 04:00,Ⅳ,13.2,8.27,9.93,1766.5,8.7,8.58,0.046,0.069,3.15,*,*,正常
天津市,海河流域,蓟运河防潮闸,04-02 08:00,Ⅳ,13.2,8.26,9.88,1775.8,9.5,8.56,0.043,0.071,3.12,*,*,正常
天津市,海河流域,蓟运河防潮闸,04-02 12:00,Ⅳ,13.4,8.42,11.56,1773.3,15.9,8.98,0.049,0.071,3.14,*,*,正常
天津市,海河流域,蓟运河防潮闸,04-02 16:00,Ⅴ,13.4,8.44,11.93,1769.4,12.7,10.86,0.025,0.092,3.37,*,*,正常
天津市,海河流域,蓟运河防潮闸,04-02 20:00,Ⅴ,13.3,8.42,11.67,1761.8,6.3,10.20,0.025,0.090,3.27,*,*,正常
天津市,海河流域,蓟运河防潮闸,04-03 00:00,Ⅳ,13.2,8.37,11.28,1772.3,9.4,9.41,0.030,0.076,3.08,*,*,正常
天津市,海河流域,蓟运河防潮闸,04-03 04:00,Ⅳ,13.2,8.35,10.52,1768.4,9.0,9.41,0.030,0.076,3.08,*,*,正常
天津市,海河流域,蓟运河防潮闸,04-03 08:00,Ⅳ,13.1,8.35,10.89,1764.6,6.9,8.92,0.025,0.074,3.16,*,*,正常
天津市,海河流域,蓟运河防潮闸,04-03 12:00,Ⅳ,13.4,8.42,11.95,1754.8,15.7,9.31,0.025,0.078,3.24,*,*,正常
天津市,海河流域,蓟运河防潮闸,04-03 16:00,Ⅴ,14.2,8.45,12.02,1740.3,17.0,10.65,0.025,0.092,3.48,*,*,正常
天津市,海河流域,蓟运河防潮闸,04-03 20:00,Ⅴ,14.3,8.43,11.31,1745.0,12.3,10.22,0.029,0.087,3.39,*,*,正常
天津市,海河流域,蓟运河防潮闸,04-04 00:00,Ⅳ,14.0,8.39,10.35,1738.8,13.5,9.84,0.032,0.086,3.35,*,*,正常
天津市,海河流域,蓟运河防潮闸,04-04 04:00,Ⅳ,13.9,8.35,10.32,1735.1,12.1,9.84,0.032,0.086,3.35,*,*,正常
天津市,海河流域,蓟运河防潮闸,04-04 04:00,*,13.9,8.35,10.32,1735.1,12.1,--,0.040,--,--,*,*,维护
天津市,海河流域,蓟运河防潮闸,04-04 08:00,*,14.0,8.41,11.30,1746.2,12.8,--,0.040,--,--,*,*,维护
