省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
宁夏回族自治区,黄河流域,弹筝峡,04-01 08:00,Ⅲ,6.0,8.46,10.09,905.1,28.2,2.79,0.446,0.101,3.63,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-01 12:00,Ⅱ,7.2,8.56,10.28,891.5,29.5,1.82,0.496,0.005,3.45,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-01 16:00,Ⅱ,8.4,8.55,9.89,867.7,26.6,1.82,0.496,0.005,3.45,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-01 20:00,Ⅱ,7.4,8.46,9.75,865.1,24.6,1.61,0.430,0.007,3.28,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-02 00:00,Ⅱ,6.7,8.44,9.89,877.5,23.2,1.67,0.278,0.006,3.34,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-02 04:00,Ⅱ,6.4,8.44,9.95,881.6,24.1,1.67,0.278,0.006,3.34,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-02 08:00,Ⅱ,6.0,8.45,10.15,877.9,33.2,1.45,0.211,0.005,3.32,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-02 12:00,Ⅱ,8.2,8.57,10.21,873.0,31.3,1.56,0.243,0.005,3.40,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-02 16:00,Ⅱ,10.1,8.58,9.70,851.8,29.3,2.49,0.367,0.036,3.47,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-02 20:00,Ⅱ,8.3,8.47,9.64,851.7,28.4,1.72,0.368,0.005,3.27,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-03 00:00,Ⅱ,6.8,8.44,9.90,861.4,31.0,1.53,0.270,0.010,3.24,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-03 04:00,Ⅱ,6.4,8.43,9.96,864.6,33.9,1.53,0.270,0.010,3.24,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-03 08:00,Ⅱ,6.1,8.44,10.17,861.2,52.1,1.74,0.450,0.006,3.46,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-03 12:00,Ⅱ,7.2,8.54,10.14,653.7,47.5,1.73,0.377,0.016,3.39,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-03 16:00,Ⅱ,7.6,8.54,10.05,647.8,35.2,1.77,0.463,0.013,3.40,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-03 20:00,Ⅱ,6.9,8.46,9.87,652.2,28.4,1.56,0.367,0.008,3.40,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-04 00:00,Ⅱ,6.4,8.44,10.01,656.4,30.7,1.32,0.287,0.005,3.37,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-04 04:00,Ⅱ,6.2,8.44,10.01,661.0,30.0,1.32,0.287,0.005,3.37,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-04 04:00,Ⅱ,6.2,8.44,10.01,661.0,30.0,1.39,0.318,0.005,--,*,*,维护
宁夏回族自治区,黄河流域,弹筝峡,04-04 08:00,Ⅱ,6.0,8.45,10.15,665.4,33.5,1.39,0.318,0.005,0.05,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-04 12:00,Ⅱ,7.0,8.54,10.30,655.7,31.4,1.63,0.360,0.008,3.38,*,*,正常
宁夏回族自治区,黄河流域,弹筝峡,04-04 16:00,Ⅱ,7.4,8.50,9.94,666.9,190.3,2.35,0.283,0.093,3.61,*,*,正常
