省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
宁夏回族自治区,黄河流域,金沙湾,04-01 04:00,Ⅱ,8.9,8.37,7.67,707.1,19.8,1.92,0.025,0.026,2.68,*,*,正常
宁夏回族自治区,黄河流域,金沙湾,04-01 12:00,Ⅱ,9.1,8.37,7.76,693.5,23.9,2.05,0.025,0.029,2.70,*,*,正常
宁夏回族自治区,黄河流域,金沙湾,04-01 12:00,Ⅱ,9.1,8.37,7.76,693.5,23.9,2.05,0.025,0.029,2.70,*,*,正常
宁夏回族自治区,黄河流域,金沙湾,04-01 16:00,Ⅱ,9.1,8.34,7.71,695.9,23.8,2.28,0.033,0.029,2.58,*,*,正常
宁夏回族自治区,黄河流域,金沙湾,04-01 20:00,Ⅱ,9.0,8.32,7.68,695.9,20.1,1.92,0.039,0.027,2.65,*,*,正常
宁夏回族自治区,黄河流域,金沙湾,04-02 00:00,Ⅱ,9.1,8.32,7.73,695.4,19.3,1.90,0.045,0.026,2.63,*,*,正常
宁夏回族自治区,黄河流域,金沙湾,04-02 04:00,Ⅱ,9.2,8.34,7.76,690.3,18.2,1.89,0.041,0.025,2.69,*,*,正常
宁夏回族自治区,黄河流域,金沙湾,04-02 08:00,Ⅱ,9.0,8.35,7.71,681.3,18.4,1.94,0.043,0.028,2.66,*,*,正常
宁夏回族自治区,黄河流域,金沙湾,04-02 12:00,Ⅱ,9.1,8.34,7.84,700.6,21.6,1.92,0.045,0.028,2.66,*,*,正常
宁夏回族自治区,黄河流域,金沙湾,04-02 16:00,Ⅱ,9.0,8.31,7.80,713.8,22.1,1.92,0.056,0.028,2.69,*,*,正常
宁夏回族自治区,黄河流域,金沙湾,04-02 20:00,Ⅱ,8.8,8.32,7.83,691.0,28.0,1.89,0.052,0.029,2.65,*,*,正常
宁夏回族自治区,黄河流域,金沙湾,04-03 00:00,Ⅱ,8.9,8.32,7.86,698.6,50.1,1.90,0.049,0.037,2.83,*,*,正常
宁夏回族自治区,黄河流域,金沙湾,04-03 04:00,Ⅱ,8.8,8.27,7.69,689.3,71.4,2.33,0.064,0.049,2.75,*,*,正常
