省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
安徽省,巢湖流域,三河镇大桥,04-01 04:00,Ⅳ,19.1,7.07,4.39,269.9,33.2,4.46,0.418,0.137,2.08,*,*,正常
安徽省,巢湖流域,三河镇大桥,04-01 12:00,Ⅳ,19.2,7.06,4.86,247.6,43.8,4.58,0.401,0.136,2.18,*,*,正常
安徽省,巢湖流域,三河镇大桥,04-01 12:00,Ⅳ,19.2,7.06,4.86,247.6,43.8,4.58,0.401,0.136,2.18,*,*,正常
安徽省,巢湖流域,三河镇大桥,04-01 16:00,Ⅳ,19.4,7.05,4.62,245.9,56.2,4.50,0.395,0.139,2.26,*,*,正常
安徽省,巢湖流域,三河镇大桥,04-01 20:00,Ⅳ,19.0,7.07,4.81,253.5,57.4,4.70,0.406,0.142,2.31,*,*,正常
安徽省,巢湖流域,三河镇大桥,04-02 00:00,Ⅳ,18.7,7.07,5.02,248.4,69.0,5.06,0.430,0.150,2.48,*,*,正常
安徽省,巢湖流域,三河镇大桥,04-02 04:00,Ⅳ,18.1,7.06,4.03,256.2,77.4,5.39,0.550,0.184,2.74,*,*,正常
安徽省,巢湖流域,三河镇大桥,04-02 08:00,Ⅳ,17.5,7.07,5.29,241.8,110.3,6.80,0.657,0.230,3.30,*,*,正常
安徽省,巢湖流域,三河镇大桥,04-02 12:00,Ⅳ,17.2,7.07,5.73,224.6,119.4,6.58,0.582,0.205,3.02,*,*,正常
安徽省,巢湖流域,三河镇大桥,04-02 16:00,Ⅳ,17.2,7.07,6.31,207.8,145.8,6.51,0.567,0.191,3.09,*,*,正常
安徽省,巢湖流域,三河镇大桥,04-02 20:00,Ⅳ,16.7,7.03,6.62,187.4,169.2,6.21,0.599,0.176,3.31,*,*,正常
安徽省,巢湖流域,三河镇大桥,04-03 00:00,Ⅳ,16.3,7.00,6.73,175.1,176.4,6.36,0.737,0.153,3.36,*,*,正常
安徽省,巢湖流域,三河镇大桥,04-03 04:00,Ⅳ,16.2,7.00,6.84,178.9,148.6,6.38,0.757,0.146,3.02,*,*,正常
安徽省,巢湖流域,三河镇大桥,04-03 08:00,Ⅳ,16.2,7.00,6.67,178.1,118.0,7.17,0.725,0.184,3.13,*,*,正常
安徽省,巢湖流域,三河镇大桥,04-03 12:00,Ⅳ,16.1,7.01,6.80,178.0,97.8,6.36,0.673,0.173,2.69,*,*,正常
安徽省,巢湖流域,三河镇大桥,04-03 16:00,Ⅲ,16.1,7.02,6.91,179.3,87.3,5.94,0.607,0.157,2.50,*,*,正常
安徽省,巢湖流域,三河镇大桥,04-03 20:00,Ⅲ,16.0,7.01,6.88,180.3,75.0,5.79,0.546,0.154,2.49,*,*,正常
