省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
安徽省,巢湖流域,北闸渡口(杭埠河),04-01 04:00,Ⅱ,16.4,7.36,9.65,164.0,19.1,3.01,0.080,0.074,0.62,*,*,正常
安徽省,巢湖流域,北闸渡口(杭埠河),04-01 12:00,Ⅱ,16.8,7.35,9.03,217.0,20.5,3.66,0.170,0.071,1.03,*,*,正常
安徽省,巢湖流域,北闸渡口(杭埠河),04-01 12:00,Ⅱ,16.8,7.35,9.03,217.0,20.5,3.66,0.170,0.071,1.03,*,*,正常
安徽省,巢湖流域,北闸渡口(杭埠河),04-01 16:00,Ⅱ,16.9,7.31,8.54,228.0,19.4,3.91,0.190,0.076,0.82,*,*,正常
安徽省,巢湖流域,北闸渡口(杭埠河),04-01 20:00,Ⅲ,17.0,7.27,8.12,250.0,23.5,4.21,0.260,0.085,1.01,*,*,正常
安徽省,巢湖流域,北闸渡口(杭埠河),04-02 00:00,Ⅲ,17.0,7.28,7.95,243.0,25.7,4.16,0.290,0.096,0.85,*,*,正常
安徽省,巢湖流域,北闸渡口(杭埠河),04-02 04:00,Ⅱ,17.0,7.26,8.17,224.0,26.9,3.91,0.230,0.092,0.72,*,*,正常
安徽省,巢湖流域,北闸渡口(杭埠河),04-02 08:00,Ⅱ,16.7,7.26,8.53,211.0,28.8,3.91,0.180,0.092,0.81,*,*,正常
安徽省,巢湖流域,北闸渡口(杭埠河),04-02 12:00,Ⅱ,16.6,7.26,8.70,196.0,29.0,3.72,0.180,0.094,0.95,*,*,正常
安徽省,巢湖流域,北闸渡口(杭埠河),04-02 16:00,Ⅱ,16.5,7.28,9.53,180.0,31.9,3.61,0.140,0.096,0.68,*,*,正常
安徽省,巢湖流域,北闸渡口(杭埠河),04-02 20:00,Ⅱ,16.2,7.25,9.09,181.0,31.3,3.53,0.140,0.096,0.72,*,*,正常
安徽省,巢湖流域,北闸渡口(杭埠河),04-03 00:00,Ⅱ,16.0,7.25,9.45,172.0,33.1,3.79,0.140,0.095,0.50,*,*,正常
安徽省,巢湖流域,北闸渡口(杭埠河),04-03 04:00,Ⅲ,15.8,7.26,9.23,167.0,41.0,3.85,0.130,0.104,0.17,*,*,正常
安徽省,巢湖流域,北闸渡口(杭埠河),04-03 08:00,Ⅲ,15.6,7.25,9.44,168.0,45.5,4.14,0.130,0.111,--,*,*,维护
