省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
安徽省,巢湖流域,希望桥,04-01 08:00,Ⅳ,17.6,6.96,4.12,505.3,35.8,4.56,0.982,0.134,4.01,*,*,正常
安徽省,巢湖流域,希望桥,04-01 12:00,Ⅳ,17.9,6.97,4.46,505.6,40.3,4.98,1.126,0.145,--,*,*,维护
安徽省,巢湖流域,希望桥,04-01 16:00,Ⅳ,17.9,6.91,5.08,502.0,9.7,4.98,1.126,0.145,--,*,*,维护
安徽省,巢湖流域,希望桥,04-01 20:00,Ⅳ,17.9,6.92,5.02,499.4,9.0,5.02,1.031,0.139,4.25,*,*,正常
安徽省,巢湖流域,希望桥,04-02 00:00,Ⅲ,17.9,6.93,5.08,496.4,9.3,4.81,0.941,0.129,4.07,*,*,正常
安徽省,巢湖流域,希望桥,04-02 04:00,Ⅲ,17.9,6.94,4.81,492.6,9.0,4.81,0.941,0.129,4.07,*,*,正常
安徽省,巢湖流域,希望桥,04-02 08:00,Ⅳ,17.8,6.95,4.83,490.5,9.6,4.81,0.893,0.126,4.23,*,*,正常
安徽省,巢湖流域,希望桥,04-02 12:00,Ⅴ,17.9,6.99,5.84,492.0,10.3,11.97,0.928,0.132,4.23,*,*,正常
安徽省,巢湖流域,希望桥,04-02 16:00,Ⅲ,17.9,7.00,6.60,493.1,10.2,5.15,0.862,0.134,4.33,*,*,正常
安徽省,巢湖流域,希望桥,04-02 20:00,Ⅲ,17.9,6.99,6.40,494.6,10.3,5.25,0.735,0.130,4.30,*,*,正常
安徽省,巢湖流域,希望桥,04-03 00:00,Ⅲ,17.8,6.97,6.07,494.4,9.4,4.96,0.642,0.119,4.18,*,*,正常
安徽省,巢湖流域,希望桥,04-03 04:00,Ⅲ,17.6,6.95,5.54,494.9,9.4,4.96,0.642,0.119,4.18,*,*,正常
安徽省,巢湖流域,希望桥,04-03 08:00,Ⅲ,17.5,6.96,5.52,496.3,9.9,4.93,0.521,0.113,3.95,*,*,正常
