省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
安徽省,巢湖流域,裕溪口(老),04-01 04:00,Ⅳ,16.1,7.42,6.44,261.3,96.4,3.42,0.150,0.053,0.05,0.037,*,正常
安徽省,巢湖流域,裕溪口(老),04-01 12:00,Ⅲ,16.0,7.40,6.50,261.8,75.2,3.80,0.160,0.046,3.15,0.020,*,正常
安徽省,巢湖流域,裕溪口(老),04-01 12:00,Ⅲ,16.0,7.40,6.50,261.8,75.2,3.80,0.160,0.046,3.15,0.020,*,正常
安徽省,巢湖流域,裕溪口(老),04-01 16:00,Ⅲ,16.0,7.46,7.59,281.3,76.9,3.07,0.120,0.043,2.97,0.018,*,正常
安徽省,巢湖流域,裕溪口(老),04-01 20:00,Ⅲ,16.1,7.46,7.52,277.4,82.5,3.32,0.130,0.040,2.77,0.022,*,正常
安徽省,巢湖流域,裕溪口(老),04-01 20:00,Ⅲ,16.1,7.46,7.52,277.4,82.5,3.32,0.130,0.040,2.77,0.022,*,正常
安徽省,巢湖流域,裕溪口(老),04-02 04:00,Ⅲ,15.9,7.43,7.65,293.6,146.0,3.27,0.150,0.044,3.13,0.037,*,正常
安徽省,巢湖流域,裕溪口(老),04-02 08:00,Ⅲ,15.9,7.39,7.62,302.1,83.1,3.45,0.160,0.042,3.08,0.045,*,正常
安徽省,巢湖流域,裕溪口(老),04-02 12:00,Ⅲ,16.0,7.40,7.57,302.6,105.7,3.32,0.160,0.042,3.09,0.025,*,正常
安徽省,巢湖流域,裕溪口(老),04-02 16:00,Ⅲ,16.1,7.41,7.67,301.2,75.1,2.92,0.160,0.042,3.08,0.018,*,正常
安徽省,巢湖流域,裕溪口(老),04-02 20:00,Ⅲ,16.1,7.43,7.83,302.1,71.0,3.09,0.160,0.044,2.98,0.020,*,正常
安徽省,巢湖流域,裕溪口(老),04-02 20:00,Ⅲ,16.1,7.43,7.83,302.1,71.0,3.09,0.160,0.044,2.98,0.020,*,正常
