省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
安徽省,巢湖流域,西半湖湖心,04-01 08:00,Ⅴ,16.7,8.36,8.86,434.0,54.9,5.89,0.179,0.121,2.89,0.045,13156050,正常
安徽省,巢湖流域,西半湖湖心,04-01 08:00,Ⅴ,16.7,8.36,8.86,434.0,54.9,5.79,0.179,0.121,2.89,0.045,13156050,正常
安徽省,巢湖流域,西半湖湖心,04-01 08:00,Ⅴ,16.7,8.36,8.86,434.0,54.9,5.79,0.179,0.121,2.89,0.045,13156050,正常
安徽省,巢湖流域,西半湖湖心,04-01 16:00,Ⅴ,16.8,8.47,9.47,432.1,52.4,6.21,0.146,0.111,2.95,0.051,13509820,正常
安徽省,巢湖流域,西半湖湖心,04-01 20:00,Ⅴ,16.7,8.44,9.28,427.0,52.5,5.82,0.117,0.115,2.94,0.055,13470810,正常
安徽省,巢湖流域,西半湖湖心,04-02 04:00,Ⅴ,16.4,8.42,9.07,418.2,46.3,5.82,0.056,0.115,2.94,0.051,12280230,正常
安徽省,巢湖流域,西半湖湖心,04-02 08:00,Ⅴ,16.4,8.21,8.57,446.6,44.6,5.40,0.056,0.105,3.03,0.039,12230530,正常
安徽省,巢湖流域,西半湖湖心,04-02 08:00,Ⅴ,16.4,8.21,8.57,446.6,44.6,5.62,0.212,0.111,3.10,0.039,12230530,正常
安徽省,巢湖流域,西半湖湖心,04-02 16:00,Ⅴ,16.4,8.63,10.24,430.1,43.4,5.70,0.215,0.110,3.06,0.043,4664060,正常
安徽省,巢湖流域,西半湖湖心,04-02 20:00,Ⅴ,16.3,8.59,10.25,443.8,45.4,5.95,0.098,0.103,2.72,0.051,11123680,正常
安徽省,巢湖流域,西半湖湖心,04-03 00:00,Ⅴ,16.3,8.39,9.70,464.5,45.8,5.87,0.118,0.108,2.88,0.045,11045830,正常
安徽省,巢湖流域,西半湖湖心,04-03 04:00,Ⅴ,16.2,8.29,9.33,458.1,51.1,5.87,0.246,0.108,2.88,0.041,10385660,正常
安徽省,巢湖流域,西半湖湖心,04-03 08:00,Ⅴ,16.0,8.23,9.02,446.1,58.4,5.89,0.300,0.113,3.19,0.034,9211493,正常
安徽省,巢湖流域,西半湖湖心,04-03 12:00,Ⅴ,15.9,8.28,9.26,445.3,65.7,5.87,0.272,0.115,2.93,0.035,9913197,正常
安徽省,巢湖流域,西半湖湖心,04-03 12:00,Ⅴ,15.9,8.28,9.26,445.3,65.7,5.95,0.270,0.122,3.19,0.035,9913197,正常
安徽省,巢湖流域,西半湖湖心,04-03 20:00,Ⅴ,15.5,8.59,9.69,368.4,67.9,5.98,0.100,0.118,2.42,0.040,9532833,正常
安徽省,巢湖流域,西半湖湖心,04-04 00:00,Ⅴ,15.2,8.56,9.62,371.3,77.6,5.54,0.025,0.107,2.08,0.039,8854127,正常
安徽省,巢湖流域,西半湖湖心,04-04 00:00,Ⅴ,15.2,8.56,9.62,371.3,77.6,5.46,0.025,0.109,2.19,0.039,8854127,正常
安徽省,巢湖流域,西半湖湖心,04-04 04:00,Ⅴ,15.0,8.49,9.47,371.1,81.5,5.54,0.025,0.119,2.17,0.038,9408663,正常
安徽省,巢湖流域,西半湖湖心,04-04 08:00,Ⅴ,14.7,8.46,9.54,374.7,77.7,5.54,0.025,0.115,2.14,0.033,9050641,正常
安徽省,巢湖流域,西半湖湖心,04-04 12:00,Ⅳ,15.1,8.60,10.30,374.6,74.3,5.33,0.025,0.100,2.35,0.032,9388476,正常
安徽省,巢湖流域,西半湖湖心,04-04 16:00,Ⅳ,15.8,8.83,11.15,369.7,64.4,5.33,0.025,0.098,2.27,0.033,7845289,正常
安徽省,巢湖流域,西半湖湖心,04-04 20:00,Ⅴ,15.4,8.72,10.85,367.0,71.6,5.49,0.025,0.101,2.13,0.035,9145425,正常
安徽省,巢湖流域,西半湖湖心,04-05 00:00,Ⅴ,15.2,8.70,10.57,367.2,67.3,5.47,0.025,0.104,2.08,0.037,9074458,正常
安徽省,巢湖流域,西半湖湖心,04-05 04:00,Ⅳ,15.0,8.65,10.34,367.2,59.4,5.33,0.025,0.093,2.04,0.036,8890603,正常
安徽省,巢湖流域,西半湖湖心,04-05 08:00,Ⅳ,14.8,8.64,10.31,371.4,55.4,5.12,0.025,0.098,2.04,0.032,8177969,正常
安徽省,巢湖流域,西半湖湖心,04-05 12:00,Ⅳ,15.2,8.67,11.01,406.0,50.8,5.32,0.067,0.094,2.04,0.034,9382821,正常
