省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
安徽省,巢湖流域,青台山大桥,04-01 04:00,*,16.4,--,4.82,384.7,37.2,5.03,0.204,0.081,2.22,*,*,维护
安徽省,巢湖流域,青台山大桥,04-01 12:00,Ⅲ,16.4,7.07,5.01,383.4,36.5,5.18,0.185,0.127,2.27,*,*,正常
安徽省,巢湖流域,青台山大桥,04-01 12:00,Ⅲ,16.4,7.07,5.01,383.4,36.5,5.18,0.185,0.127,2.27,*,*,正常
安徽省,巢湖流域,青台山大桥,04-01 16:00,Ⅳ,16.3,7.01,5.00,382.7,38.9,5.00,0.211,0.092,2.21,*,*,正常
安徽省,巢湖流域,青台山大桥,04-01 20:00,Ⅳ,16.2,7.42,4.83,382.2,35.6,4.93,0.199,0.081,2.11,*,*,正常
安徽省,巢湖流域,青台山大桥,04-01 20:00,Ⅳ,16.2,7.42,4.83,382.2,35.6,4.93,0.199,0.081,2.11,*,*,正常
安徽省,巢湖流域,青台山大桥,04-02 04:00,Ⅳ,16.0,7.40,4.92,379.4,33.9,4.78,0.220,0.083,2.06,*,*,正常
安徽省,巢湖流域,青台山大桥,04-02 08:00,Ⅳ,16.0,7.40,4.92,377.0,35.0,4.64,0.211,0.086,2.05,*,*,正常
安徽省,巢湖流域,青台山大桥,04-02 12:00,Ⅲ,16.2,7.40,5.21,368.5,33.4,4.57,0.172,0.082,1.92,*,*,正常
安徽省,巢湖流域,青台山大桥,04-02 16:00,Ⅲ,16.3,7.39,5.41,365.9,34.5,4.78,0.160,0.083,1.86,*,*,正常
安徽省,巢湖流域,青台山大桥,04-02 20:00,Ⅲ,16.2,7.37,5.31,371.2,32.1,4.89,0.192,0.078,1.88,*,*,正常
安徽省,巢湖流域,青台山大桥,04-02 20:00,Ⅲ,16.2,7.37,5.31,371.2,32.1,4.89,0.192,0.078,1.88,*,*,正常
安徽省,巢湖流域,青台山大桥,04-03 04:00,Ⅳ,15.9,7.34,4.94,374.8,32.9,4.89,0.237,0.078,1.92,*,*,正常
安徽省,巢湖流域,青台山大桥,04-03 08:00,Ⅳ,15.8,7.35,4.93,372.6,33.1,4.60,0.211,0.081,1.86,*,*,正常
