省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
安徽省,浙闽片河流,篁墩,04-01 04:00,Ⅱ,17.8,7.21,7.63,126.2,9.6,1.97,0.054,0.070,1.76,*,*,正常
安徽省,浙闽片河流,篁墩,04-01 12:00,*,18.3,7.42,8.20,167.8,36.6,--,--,--,--,*,*,维护
安徽省,浙闽片河流,篁墩,04-01 12:00,*,18.3,7.42,8.20,167.8,36.6,--,--,--,--,*,*,维护
安徽省,浙闽片河流,篁墩,04-01 16:00,*,18.2,7.45,8.45,216.1,48.6,--,--,--,--,*,*,维护
安徽省,浙闽片河流,篁墩,04-01 20:00,*,18.2,7.44,8.55,149.0,83.8,--,--,--,--,*,*,维护
安徽省,浙闽片河流,篁墩,04-02 00:00,*,17.4,7.44,9.41,133.6,97.5,2.91,0.085,0.099,2.26,*,*,维护
安徽省,浙闽片河流,篁墩,04-02 04:00,Ⅱ,17.2,7.39,9.26,129.8,54.3,3.41,0.098,0.100,2.31,*,*,正常
安徽省,浙闽片河流,篁墩,04-02 08:00,Ⅱ,17.2,7.35,9.11,125.6,49.8,3.34,0.094,0.097,2.36,*,*,正常
安徽省,浙闽片河流,篁墩,04-02 12:00,Ⅱ,17.9,7.38,9.28,126.7,38.4,3.25,0.079,0.096,2.42,*,*,正常
安徽省,浙闽片河流,篁墩,04-02 16:00,Ⅱ,17.8,7.37,9.01,120.4,33.5,2.96,0.044,0.089,2.34,*,*,正常
安徽省,浙闽片河流,篁墩,04-02 20:00,Ⅱ,17.4,7.29,8.65,119.3,30.8,2.79,0.035,0.086,2.32,*,*,正常
安徽省,浙闽片河流,篁墩,04-03 00:00,Ⅱ,17.3,7.29,8.60,120.2,27.4,2.92,0.025,0.081,2.30,*,*,正常
安徽省,浙闽片河流,篁墩,04-03 04:00,Ⅱ,17.3,7.30,8.63,118.4,24.6,2.57,0.025,0.079,2.24,*,*,正常
安徽省,浙闽片河流,篁墩,04-03 08:00,Ⅱ,17.4,7.29,8.69,114.1,19.5,2.50,0.025,0.075,2.22,*,*,正常
安徽省,浙闽片河流,篁墩,04-03 12:00,Ⅱ,17.9,7.44,9.46,115.6,20.5,2.61,0.025,0.075,2.20,*,*,正常
安徽省,浙闽片河流,篁墩,04-03 16:00,Ⅱ,17.5,7.33,8.89,113.6,16.9,2.30,0.025,0.074,2.17,*,*,正常
安徽省,浙闽片河流,篁墩,04-03 20:00,Ⅱ,17.2,7.27,8.56,116.3,16.0,2.02,0.025,0.075,2.18,*,*,正常
安徽省,浙闽片河流,篁墩,04-04 00:00,Ⅱ,16.9,7.24,8.53,114.7,13.4,2.25,0.025,0.072,2.10,*,*,正常
安徽省,浙闽片河流,篁墩,04-04 04:00,*,16.8,7.31,8.71,118.8,13.3,--,--,--,--,*,*,维护
安徽省,浙闽片河流,篁墩,04-04 04:00,Ⅱ,16.8,7.31,8.71,118.8,13.3,2.47,0.025,0.075,2.15,*,*,正常
安徽省,浙闽片河流,篁墩,04-04 12:00,Ⅱ,17.1,7.44,9.92,111.0,11.5,2.05,0.025,0.069,1.93,*,*,正常
安徽省,浙闽片河流,篁墩,04-04 16:00,Ⅱ,16.9,7.48,9.98,105.8,11.4,2.15,0.025,0.066,1.83,*,*,正常
