省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
安徽省,淮河流域,东湖闸,04-01 04:00,Ⅱ,16.3,7.45,8.35,183.3,22.6,3.51,0.047,0.067,1.23,*,*,正常
安徽省,淮河流域,东湖闸,04-01 12:00,Ⅱ,16.1,7.46,8.62,182.7,23.4,3.31,0.051,0.073,1.26,*,*,正常
安徽省,淮河流域,东湖闸,04-01 12:00,Ⅱ,16.1,7.46,8.62,182.7,23.4,3.31,0.051,0.073,1.26,*,*,正常
安徽省,淮河流域,东湖闸,04-01 16:00,Ⅱ,16.0,7.45,8.62,184.0,24.3,2.68,0.065,0.078,1.32,*,*,正常
安徽省,淮河流域,东湖闸,04-01 20:00,*,15.4,7.50,8.89,180.1,26.1,--,--,--,--,*,*,维护
安徽省,淮河流域,东湖闸,04-02 00:00,*,15.3,7.49,8.86,183.7,35.1,2.95,0.111,0.083,1.57,*,*,维护
安徽省,淮河流域,东湖闸,04-02 04:00,Ⅱ,15.2,7.46,8.79,184.7,33.1,3.10,0.105,0.070,1.57,*,*,正常
安徽省,淮河流域,东湖闸,04-02 08:00,Ⅱ,15.2,7.45,8.75,184.2,31.7,2.87,0.103,0.061,1.56,*,*,正常
安徽省,淮河流域,东湖闸,04-02 12:00,*,15.2,7.48,8.91,183.9,28.9,--,0.110,0.047,1.59,*,*,维护
安徽省,淮河流域,东湖闸,04-02 16:00,Ⅱ,15.2,7.53,9.09,182.8,32.9,2.33,0.062,0.079,1.47,*,*,正常
安徽省,淮河流域,东湖闸,04-02 20:00,Ⅱ,15.0,7.50,9.00,178.2,33.2,2.39,0.061,0.091,1.35,*,*,正常
安徽省,淮河流域,东湖闸,04-03 00:00,Ⅱ,15.0,7.48,8.99,177.0,29.3,2.57,0.060,0.082,1.34,*,*,正常
安徽省,淮河流域,东湖闸,04-03 04:00,Ⅱ,14.9,7.50,9.01,177.0,33.9,2.57,0.059,0.079,1.33,*,*,正常
安徽省,淮河流域,东湖闸,04-03 08:00,Ⅱ,14.7,7.50,9.03,176.5,27.5,2.44,0.058,0.079,--,*,*,维护
安徽省,淮河流域,东湖闸,04-03 12:00,Ⅱ,14.6,7.51,9.21,175.4,29.1,2.47,0.059,0.079,1.37,*,*,正常
安徽省,淮河流域,东湖闸,04-03 16:00,Ⅱ,14.6,7.52,9.28,175.4,28.5,3.04,0.070,0.083,0.85,*,*,正常
安徽省,淮河流域,东湖闸,04-03 20:00,Ⅱ,14.5,7.49,9.26,174.7,30.6,2.94,0.071,0.081,--,*,*,维护
