省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
安徽省,长江流域,五步沟,04-01 04:00,Ⅱ,15.7,7.69,7.56,298.6,28.6,1.66,0.082,0.065,1.92,*,*,正常
安徽省,长江流域,五步沟,04-01 12:00,Ⅱ,15.7,7.76,9.05,264.4,22.2,1.82,0.091,0.065,1.95,*,*,正常
安徽省,长江流域,五步沟,04-01 12:00,Ⅱ,15.7,7.76,9.05,264.4,22.2,1.82,0.091,0.065,1.95,*,*,正常
安徽省,长江流域,五步沟,04-01 16:00,Ⅱ,15.8,7.74,8.83,260.4,30.5,1.92,0.093,0.066,1.98,*,*,正常
安徽省,长江流域,五步沟,04-01 20:00,Ⅱ,15.7,7.73,8.89,256.7,36.6,2.00,0.104,0.069,1.97,*,*,正常
安徽省,长江流域,五步沟,04-02 00:00,Ⅱ,15.7,7.74,8.72,255.7,41.5,1.95,0.105,0.067,1.96,*,*,正常
安徽省,长江流域,五步沟,04-02 04:00,Ⅱ,15.8,7.74,8.58,252.1,44.5,1.86,0.110,0.064,1.91,*,*,正常
安徽省,长江流域,五步沟,04-02 08:00,Ⅱ,15.8,7.74,8.68,252.0,50.3,1.85,0.116,0.063,1.90,*,*,正常
安徽省,长江流域,五步沟,04-02 12:00,Ⅱ,15.9,7.74,8.46,251.1,49.6,1.96,0.121,0.062,1.88,*,*,正常
安徽省,长江流域,五步沟,04-02 16:00,Ⅱ,15.8,7.73,8.62,253.2,41.8,1.98,0.115,0.063,1.91,*,*,正常
安徽省,长江流域,五步沟,04-02 20:00,Ⅱ,15.8,7.75,8.37,254.6,36.7,1.94,0.103,0.064,1.97,*,*,正常
安徽省,长江流域,五步沟,04-03 00:00,Ⅱ,15.8,7.75,8.69,257.2,46.7,1.89,0.100,0.066,1.91,*,*,正常
安徽省,长江流域,五步沟,04-03 04:00,Ⅱ,15.8,7.76,8.49,258.1,69.3,1.79,0.082,0.062,1.95,*,*,正常
安徽省,长江流域,五步沟,04-03 08:00,Ⅱ,15.8,7.74,8.79,259.3,26.3,1.75,0.075,0.061,1.97,*,*,正常
