省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
安徽省,长江流域,华阳河入江口,04-01 04:00,Ⅳ,18.9,7.54,6.31,225.4,64.3,3.11,0.127,0.231,0.81,*,*,正常
安徽省,长江流域,华阳河入江口,04-01 12:00,Ⅴ,18.5,7.47,6.14,247.4,57.3,3.21,0.232,0.302,0.97,*,*,正常
安徽省,长江流域,华阳河入江口,04-01 12:00,Ⅴ,18.5,7.47,6.14,247.4,57.3,3.21,0.232,0.302,0.97,*,*,正常
安徽省,长江流域,华阳河入江口,04-01 16:00,Ⅴ,18.4,7.43,5.86,262.4,55.3,3.49,0.302,0.307,1.10,*,*,正常
安徽省,长江流域,华阳河入江口,04-01 20:00,Ⅳ,18.3,7.39,5.46,280.0,55.5,3.41,0.433,0.298,1.29,*,*,正常
安徽省,长江流域,华阳河入江口,04-02 00:00,Ⅳ,18.2,7.39,5.36,284.6,53.9,3.72,0.483,0.246,1.36,*,*,正常
安徽省,长江流域,华阳河入江口,04-02 04:00,Ⅳ,18.0,7.38,5.17,292.0,52.9,3.66,0.599,0.237,1.53,*,*,正常
安徽省,长江流域,华阳河入江口,04-02 08:00,Ⅳ,17.9,7.39,4.82,311.1,49.3,4.39,0.786,0.240,1.76,*,*,正常
安徽省,长江流域,华阳河入江口,04-02 12:00,Ⅳ,17.8,7.38,4.43,330.5,41.8,4.01,1.037,0.172,2.21,*,*,正常
安徽省,长江流域,华阳河入江口,04-02 16:00,Ⅳ,17.5,7.36,4.20,333.7,49.3,4.44,1.097,0.156,2.48,*,*,正常
安徽省,长江流域,华阳河入江口,04-02 20:00,Ⅳ,17.3,7.31,3.79,342.9,49.4,4.77,1.132,0.158,2.55,*,*,正常
安徽省,长江流域,华阳河入江口,04-03 00:00,Ⅳ,17.2,7.33,3.88,342.2,48.5,4.44,1.037,0.138,2.50,*,*,正常
安徽省,长江流域,华阳河入江口,04-03 04:00,Ⅳ,17.1,7.34,4.02,334.8,46.5,4.46,0.898,0.119,2.40,*,*,正常
安徽省,长江流域,华阳河入江口,04-03 08:00,Ⅳ,17.0,7.36,4.18,324.3,44.4,4.56,0.723,0.115,2.18,*,*,正常
安徽省,长江流域,华阳河入江口,04-03 12:00,Ⅳ,17.1,7.32,4.39,326.2,48.0,4.43,0.616,0.200,2.07,*,*,正常
安徽省,长江流域,华阳河入江口,04-03 16:00,Ⅳ,17.1,7.36,4.66,321.6,47.8,4.41,0.493,0.168,1.85,*,*,正常
安徽省,长江流域,华阳河入江口,04-03 20:00,Ⅲ,17.1,7.39,5.21,331.2,50.7,4.46,0.434,0.149,1.75,*,*,正常
安徽省,长江流域,华阳河入江口,04-04 00:00,Ⅲ,17.0,7.42,5.29,340.6,50.1,4.79,0.410,0.120,1.76,*,*,正常
安徽省,长江流域,华阳河入江口,04-04 04:00,*,16.8,7.43,5.20,351.3,48.8,--,--,--,--,*,*,维护
安徽省,长江流域,华阳河入江口,04-04 04:00,Ⅲ,16.8,7.43,5.20,351.3,48.8,4.70,0.409,0.097,1.76,*,*,正常
安徽省,长江流域,华阳河入江口,04-04 12:00,Ⅲ,16.8,7.44,5.28,368.8,43.8,4.86,0.437,0.099,1.84,*,*,正常
安徽省,长江流域,华阳河入江口,04-04 16:00,Ⅲ,16.9,7.44,5.28,377.5,47.2,4.99,0.447,0.102,1.78,*,*,正常
安徽省,长江流域,华阳河入江口,04-04 20:00,Ⅲ,16.8,7.45,5.55,366.6,46.0,4.97,0.433,0.101,1.75,*,*,正常
安徽省,长江流域,华阳河入江口,04-04 20:00,Ⅲ,16.8,7.45,5.55,366.6,46.0,4.97,0.433,0.101,1.75,*,*,正常
安徽省,长江流域,华阳河入江口,04-05 04:00,Ⅲ,16.6,7.47,5.80,339.3,48.0,4.84,0.336,0.096,1.65,*,*,正常
安徽省,长江流域,华阳河入江口,04-05 08:00,Ⅲ,16.5,7.47,5.78,328.3,47.7,5.11,0.291,0.084,1.61,*,*,正常
安徽省,长江流域,华阳河入江口,04-05 12:00,Ⅲ,16.6,7.48,6.02,314.5,45.6,4.82,0.253,0.076,1.49,*,*,正常
