省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
安徽省,长江流域,当涂查湾,04-01 04:00,Ⅱ,16.2,7.41,7.16,219.0,49.8,2.09,0.058,0.044,2.21,*,*,正常
安徽省,长江流域,当涂查湾,04-01 12:00,Ⅱ,16.4,7.40,7.09,196.0,41.9,1.88,0.048,0.044,2.18,*,*,正常
安徽省,长江流域,当涂查湾,04-01 12:00,Ⅱ,16.4,7.40,7.09,196.0,41.9,1.88,0.048,0.044,2.18,*,*,正常
安徽省,长江流域,当涂查湾,04-01 16:00,Ⅱ,16.5,7.35,6.82,216.2,45.9,2.04,0.092,0.046,2.29,*,*,正常
安徽省,长江流域,当涂查湾,04-01 20:00,Ⅱ,16.4,7.40,7.20,175.5,48.4,1.84,0.055,0.047,2.18,*,*,正常
安徽省,长江流域,当涂查湾,04-02 00:00,Ⅱ,16.2,7.40,7.13,210.4,52.9,1.88,0.033,0.050,2.23,*,*,正常
安徽省,长江流域,当涂查湾,04-02 04:00,Ⅱ,16.2,7.40,6.90,208.4,44.6,2.05,0.074,0.048,2.33,*,*,正常
安徽省,长江流域,当涂查湾,04-02 08:00,Ⅱ,16.3,7.43,7.51,142.6,40.2,1.63,0.025,0.043,1.87,*,*,正常
安徽省,长江流域,当涂查湾,04-02 12:00,Ⅱ,16.9,7.39,7.08,184.6,42.0,1.66,0.025,0.042,1.91,*,*,正常
安徽省,长江流域,当涂查湾,04-02 16:00,Ⅱ,16.9,7.36,6.75,207.7,36.6,1.86,0.025,0.040,2.11,*,*,正常
安徽省,长江流域,当涂查湾,04-02 20:00,Ⅱ,16.4,7.41,7.29,171.7,40.4,1.66,0.025,0.042,1.97,*,*,正常
安徽省,长江流域,当涂查湾,04-03 00:00,Ⅱ,16.3,7.40,7.00,207.8,47.2,1.81,0.033,0.045,2.10,*,*,正常
安徽省,长江流域,当涂查湾,04-03 04:00,Ⅱ,16.1,7.40,7.03,202.4,45.2,1.87,0.041,0.045,2.16,*,*,正常
安徽省,长江流域,当涂查湾,04-03 08:00,Ⅱ,16.1,7.44,7.54,162.3,40.4,1.67,0.025,0.040,1.83,*,*,正常
安徽省,长江流域,当涂查湾,04-03 12:00,Ⅱ,16.5,7.41,7.30,195.8,42.7,1.65,0.034,0.038,1.96,*,*,正常
安徽省,长江流域,当涂查湾,04-03 16:00,Ⅱ,16.0,7.33,7.57,195.5,40.0,1.63,0.025,0.027,1.99,*,*,正常
安徽省,长江流域,当涂查湾,04-03 20:00,Ⅱ,16.0,7.44,7.69,154.8,40.5,1.44,0.025,0.031,1.92,*,*,正常
安徽省,长江流域,当涂查湾,04-04 00:00,Ⅱ,15.7,7.45,7.57,182.0,42.3,1.82,0.054,0.037,2.09,*,*,正常
安徽省,长江流域,当涂查湾,04-04 04:00,Ⅱ,15.5,7.41,7.60,202.0,41.5,1.85,0.086,0.043,2.25,*,*,正常
安徽省,长江流域,当涂查湾,04-04 08:00,Ⅱ,15.5,7.41,7.60,202.0,41.5,1.85,0.029,0.045,2.25,*,*,正常
安徽省,长江流域,当涂查湾,04-04 12:00,Ⅱ,17.2,7.45,7.49,172.3,50.0,1.66,0.025,0.043,1.91,*,*,正常
安徽省,长江流域,当涂查湾,04-04 16:00,Ⅱ,17.7,7.43,6.90,204.3,52.8,1.83,0.049,0.048,2.26,*,*,正常
安徽省,长江流域,当涂查湾,04-04 20:00,Ⅱ,16.3,7.42,7.61,178.7,48.4,1.68,0.025,0.044,2.14,*,*,正常
安徽省,长江流域,当涂查湾,04-05 00:00,Ⅱ,16.0,7.43,7.41,176.1,45.5,1.68,0.025,0.044,2.14,*,*,正常
安徽省,长江流域,当涂查湾,04-05 04:00,Ⅱ,15.7,7.41,7.09,200.6,48.7,1.88,0.113,0.047,2.12,*,*,正常
