省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
安徽省,长江流域,湖心,04-01 08:00,Ⅰ,16.3,7.94,10.48,105.8,2.3,1.48,0.025,0.008,0.88,0.002,761738,正常
安徽省,长江流域,湖心,04-01 12:00,Ⅰ,16.5,7.99,10.57,106.2,2.4,1.32,0.025,0.009,0.88,0.002,888448,正常
安徽省,长江流域,湖心,04-01 16:00,Ⅰ,16.1,7.96,10.64,105.5,2.5,1.32,0.025,0.009,0.88,0.002,758225,正常
安徽省,长江流域,湖心,04-01 20:00,Ⅰ,16.3,7.99,10.56,106.6,2.3,1.27,0.025,0.008,0.86,0.003,902700,正常
安徽省,长江流域,湖心,04-02 00:00,Ⅱ,16.2,7.95,10.50,106.7,2.3,1.17,0.025,0.010,0.89,0.002,759803,正常
安徽省,长江流域,湖心,04-02 04:00,Ⅰ,16.0,7.90,10.48,105.8,2.3,1.17,0.025,0.009,0.90,0.002,801276,正常
安徽省,长江流域,湖心,04-02 08:00,Ⅰ,16.0,7.89,10.43,105.8,2.3,1.28,0.025,0.009,0.88,0.002,846818,正常
安徽省,长江流域,湖心,04-02 12:00,*,16.3,7.95,10.46,106.0,2.3,--,0.025,0.008,0.89,0.002,806932,维护
安徽省,长江流域,湖心,04-02 16:00,Ⅰ,16.1,7.97,10.55,105.1,2.4,1.25,0.025,0.009,0.87,0.002,848243,正常
安徽省,长江流域,湖心,04-02 20:00,Ⅰ,16.1,7.94,10.46,104.8,2.3,1.31,0.025,0.008,0.85,0.002,727601,正常
安徽省,长江流域,湖心,04-03 00:00,Ⅰ,16.1,7.96,10.39,104.8,2.5,1.25,0.025,0.009,0.86,0.003,865565,正常
安徽省,长江流域,湖心,04-03 04:00,Ⅰ,16.1,7.90,10.37,105.0,2.4,1.25,0.025,0.009,0.88,0.002,868128,正常
安徽省,长江流域,湖心,04-03 08:00,Ⅰ,15.9,7.88,10.42,104.9,2.3,1.16,0.025,0.009,0.89,0.002,865565,正常
安徽省,长江流域,湖心,04-03 12:00,Ⅰ,16.1,7.96,10.47,104.9,2.3,1.40,0.025,0.008,0.88,0.002,823926,正常
安徽省,长江流域,湖心,04-03 16:00,Ⅰ,15.8,7.94,10.53,104.9,2.4,1.24,0.025,0.010,0.83,0.002,1005048,正常
安徽省,长江流域,湖心,04-03 20:00,Ⅰ,15.7,7.90,10.45,104.8,2.3,1.28,0.025,0.009,0.88,0.002,1000370,正常
