省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
山东省,海河流域,油坊桥,04-01 04:00,Ⅱ,16.5,7.63,9.04,2615.9,5.7,3.95,0.259,0.041,3.07,*,*,正常
山东省,海河流域,油坊桥,04-01 12:00,Ⅲ,16.9,7.65,10.55,2730.0,5.3,4.90,0.382,0.040,3.22,*,*,正常
山东省,海河流域,油坊桥,04-01 12:00,Ⅲ,16.9,7.65,10.55,2730.0,5.3,4.90,0.382,0.040,3.22,*,*,正常
山东省,海河流域,油坊桥,04-01 16:00,Ⅲ,17.8,7.76,12.75,--,5.9,5.52,0.372,0.037,2.96,*,*,维护
山东省,海河流域,油坊桥,04-01 20:00,Ⅲ,17.6,7.76,11.59,2726.8,7.0,4.59,0.261,0.032,3.04,*,*,正常
山东省,海河流域,油坊桥,04-02 00:00,Ⅲ,16.8,7.70,9.90,2331.0,6.2,3.67,0.217,0.031,2.92,*,*,正常
山东省,海河流域,油坊桥,04-02 04:00,Ⅱ,16.5,7.62,8.50,2225.0,7.2,3.70,0.261,0.036,2.97,*,*,正常
山东省,海河流域,油坊桥,04-02 08:00,Ⅲ,16.1,7.53,7.71,2326.7,7.4,4.13,0.358,0.040,3.10,*,*,正常
山东省,海河流域,油坊桥,04-02 12:00,Ⅲ,15.8,7.55,8.64,2525.8,7.3,5.18,0.458,0.039,2.83,*,*,正常
山东省,海河流域,油坊桥,04-02 16:00,Ⅲ,15.7,7.65,10.40,2691.5,7.6,4.04,0.514,0.035,2.76,*,*,正常
山东省,海河流域,油坊桥,04-02 20:00,Ⅲ,15.2,7.68,9.98,2824.4,7.5,4.59,0.553,0.038,2.82,*,*,正常
山东省,海河流域,油坊桥,04-03 00:00,Ⅲ,14.7,7.60,8.68,2778.2,6.9,5.09,0.563,0.034,2.94,*,*,正常
山东省,海河流域,油坊桥,04-03 04:00,Ⅲ,14.2,7.54,8.03,2545.9,8.7,4.44,0.526,0.029,3.03,*,*,正常
山东省,海河流域,油坊桥,04-03 08:00,Ⅲ,14.0,7.56,8.18,2355.2,7.5,4.13,0.477,0.035,3.21,*,*,正常
山东省,海河流域,油坊桥,04-03 12:00,Ⅲ,13.7,7.66,9.68,2271.0,6.4,4.53,0.438,0.033,3.16,*,*,正常
山东省,海河流域,油坊桥,04-03 16:00,Ⅲ,14.3,7.96,11.58,2210.0,6.1,4.07,0.409,0.033,3.03,*,*,正常
山东省,海河流域,油坊桥,04-03 20:00,Ⅱ,14.1,8.06,12.35,2285.1,5.8,3.85,0.436,0.032,3.16,*,*,正常
山东省,海河流域,油坊桥,04-03 20:00,Ⅱ,14.1,8.06,12.35,2285.1,5.8,3.85,0.436,0.032,3.16,*,*,正常
山东省,海河流域,油坊桥,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
山东省,海河流域,油坊桥,04-04 04:00,Ⅲ,12.8,7.65,8.78,2561.3,6.4,4.84,0.678,0.031,3.13,*,*,正常
山东省,海河流域,油坊桥,04-04 12:00,Ⅲ,14.8,7.77,11.53,2708.4,5.0,4.07,0.580,0.035,3.08,*,*,正常
山东省,海河流域,油坊桥,04-04 16:00,Ⅲ,16.8,8.20,16.37,2757.8,5.2,5.27,0.426,0.030,2.93,*,*,正常
山东省,海河流域,油坊桥,04-04 20:00,Ⅲ,16.6,8.33,15.92,2782.6,5.8,4.69,0.392,0.033,2.88,*,*,正常
山东省,海河流域,油坊桥,04-04 20:00,Ⅲ,16.6,8.33,15.92,2782.6,5.8,4.69,0.392,0.033,2.88,*,*,正常
山东省,海河流域,油坊桥,04-05 04:00,Ⅲ,14.9,7.77,9.68,2899.5,5.9,4.87,0.530,0.032,2.81,*,*,正常
山东省,海河流域,油坊桥,04-05 08:00,Ⅲ,14.1,7.64,8.27,2958.9,5.7,5.73,0.572,0.033,2.90,*,*,正常
山东省,海河流域,油坊桥,04-05 12:00,Ⅲ,15.2,7.83,11.83,--,5.1,5.15,0.456,0.031,2.80,*,*,维护
