省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
山东省,淮河流域,二级坝,04-01 04:00,Ⅲ,13.6,8.58,9.95,1258.8,9.0,5.34,0.050,0.013,0.78,0.025,191250000,正常
山东省,淮河流域,二级坝,04-01 12:00,Ⅲ,13.5,8.48,9.24,1249.1,9.2,5.50,0.050,0.016,0.80,0.020,258750000,正常
山东省,淮河流域,二级坝,04-01 12:00,Ⅲ,13.5,8.48,9.24,1249.1,9.2,5.50,0.050,0.016,0.80,0.020,258750000,正常
山东省,淮河流域,二级坝,04-01 16:00,Ⅲ,13.6,8.51,9.62,1251.5,8.8,5.26,0.030,0.018,0.79,0.018,3457031,正常
山东省,淮河流域,二级坝,04-01 20:00,Ⅲ,13.5,8.50,9.28,1258.2,8.9,5.53,0.030,0.013,0.80,0.018,5234375,正常
山东省,淮河流域,二级坝,04-02 00:00,Ⅲ,13.5,8.44,8.38,1243.5,9.4,5.32,0.040,0.015,0.83,0.020,8281250,正常
山东省,淮河流域,二级坝,04-02 04:00,Ⅲ,13.4,8.42,8.18,1244.8,8.9,5.27,0.040,0.015,0.84,0.020,9804688,正常
山东省,淮河流域,二级坝,04-02 08:00,Ⅲ,13.4,8.46,8.23,1251.5,9.1,5.17,0.040,0.011,0.85,0.021,12578130,正常
山东省,淮河流域,二级坝,04-02 12:00,*,13.4,8.42,7.98,1233.8,9.2,4.98,0.040,--,--,0.021,13671880,维护
山东省,淮河流域,二级坝,04-02 16:00,Ⅲ,13.4,8.45,8.22,1229.6,9.3,5.16,0.040,0.018,0.96,0.021,14296880,正常
山东省,淮河流域,二级坝,04-02 20:00,Ⅲ,13.4,8.45,8.19,1225.2,9.1,5.06,0.050,0.016,0.90,0.020,16953120,正常
山东省,淮河流域,二级坝,04-03 00:00,Ⅲ,13.4,8.45,8.13,1226.5,9.0,5.30,0.050,0.012,0.89,0.021,18515620,正常
山东省,淮河流域,二级坝,04-03 04:00,Ⅲ,13.3,8.44,7.87,1223.1,9.2,4.79,0.040,0.015,0.90,0.018,19843750,正常
山东省,淮河流域,二级坝,04-03 08:00,Ⅲ,13.3,8.43,7.83,1223.2,9.9,4.89,0.060,0.015,0.89,0.018,19375000,正常
山东省,淮河流域,二级坝,04-03 12:00,Ⅲ,13.3,8.44,7.87,1219.1,10.7,5.23,0.050,0.012,0.88,0.018,21718750,正常
山东省,淮河流域,二级坝,04-03 16:00,Ⅲ,13.3,8.48,8.21,1215.7,11.7,5.12,0.050,0.016,0.94,0.017,21562500,正常
山东省,淮河流域,二级坝,04-03 20:00,Ⅲ,13.1,8.52,8.39,1212.4,13.1,5.28,0.060,0.016,0.90,0.016,25156250,正常
山东省,淮河流域,二级坝,04-04 00:00,Ⅲ,12.8,8.51,8.21,1212.9,12.6,5.10,0.050,0.013,0.90,0.014,25625000,正常
山东省,淮河流域,二级坝,*,*,--,--,--,--,--,--,--,--,--,--,--,维护
山东省,淮河流域,二级坝,04-04 08:00,Ⅲ,12.2,8.49,8.02,1215.5,12.7,4.83,0.060,0.012,0.79,0.011,24062500,正常
山东省,淮河流域,二级坝,04-04 12:00,Ⅲ,12.7,8.50,8.60,1216.6,11.6,4.98,0.060,0.032,0.81,0.006,27343750,正常
山东省,淮河流域,二级坝,04-04 16:00,Ⅲ,13.5,8.56,9.43,1219.0,11.1,5.10,0.060,0.016,0.97,0.007,31250000,正常
山东省,淮河流域,二级坝,04-04 20:00,Ⅲ,13.7,8.59,9.66,1220.9,10.8,4.95,0.050,0.014,0.95,0.008,30937500,正常
山东省,淮河流域,二级坝,04-04 20:00,Ⅲ,13.7,8.59,9.66,1220.9,10.8,4.95,0.050,0.014,0.95,0.008,30937500,正常
