省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
山东省,淮河流域,吉利河水库出口,04-01 04:00,Ⅲ,12.8,8.38,12.63,500.1,6.2,4.46,0.025,0.020,--,*,*,维护
山东省,淮河流域,吉利河水库出口,04-01 12:00,Ⅲ,12.7,8.21,11.87,489.4,6.6,4.41,0.025,0.020,--,*,*,维护
山东省,淮河流域,吉利河水库出口,04-01 12:00,Ⅲ,12.7,8.21,11.87,489.4,6.6,4.41,0.025,0.020,--,*,*,维护
山东省,淮河流域,吉利河水库出口,04-01 16:00,Ⅲ,13.0,8.44,13.07,498.7,6.7,4.63,0.025,0.022,--,*,*,维护
山东省,淮河流域,吉利河水库出口,04-01 20:00,Ⅲ,12.7,8.19,12.88,492.4,4.7,4.16,0.025,0.020,2.41,*,*,正常
山东省,淮河流域,吉利河水库出口,04-02 00:00,Ⅲ,12.6,8.07,12.29,494.1,4.5,4.46,0.025,0.021,2.14,*,*,正常
山东省,淮河流域,吉利河水库出口,04-02 04:00,Ⅱ,12.6,7.94,12.04,492.8,4.6,3.94,0.025,0.020,2.09,*,*,正常
山东省,淮河流域,吉利河水库出口,04-02 08:00,Ⅲ,12.6,7.89,11.92,494.4,4.5,4.02,0.025,0.019,2.03,*,*,正常
山东省,淮河流域,吉利河水库出口,04-02 12:00,Ⅱ,12.5,7.88,11.92,494.8,4.5,3.57,0.025,0.019,2.09,*,*,正常
山东省,淮河流域,吉利河水库出口,04-02 16:00,Ⅱ,12.6,7.98,12.11,494.4,4.1,3.52,0.025,0.020,2.34,*,*,正常
山东省,淮河流域,吉利河水库出口,04-02 20:00,Ⅱ,12.7,8.06,12.07,493.1,3.9,3.87,0.025,0.021,2.06,*,*,正常
山东省,淮河流域,吉利河水库出口,04-03 00:00,Ⅱ,12.8,8.08,12.05,504.3,4.7,3.49,0.025,0.020,2.18,*,*,正常
山东省,淮河流域,吉利河水库出口,04-03 04:00,Ⅱ,12.7,8.03,11.69,504.9,4.5,3.63,0.025,0.020,2.08,*,*,正常
山东省,淮河流域,吉利河水库出口,04-03 08:00,Ⅱ,12.6,8.02,11.69,494.8,5.3,3.83,0.025,0.020,2.52,*,*,正常
山东省,淮河流域,吉利河水库出口,04-03 12:00,Ⅱ,12.4,8.00,11.71,497.3,6.7,3.85,0.025,0.021,2.12,*,*,正常
山东省,淮河流域,吉利河水库出口,04-03 16:00,Ⅱ,12.4,8.00,11.70,498.1,7.6,3.79,0.026,0.021,2.13,*,*,正常
山东省,淮河流域,吉利河水库出口,04-03 20:00,Ⅲ,12.4,7.98,11.28,496.4,10.3,4.36,0.042,0.028,2.22,*,*,正常
山东省,淮河流域,吉利河水库出口,04-04 00:00,Ⅲ,12.3,7.92,11.30,499.3,9.2,4.11,0.042,0.030,2.24,*,*,正常
山东省,淮河流域,吉利河水库出口,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
