省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
山东省,淮河流域,峡山水库库中,04-01 08:00,Ⅲ,10.5,8.30,11.35,740.6,20.4,3.86,0.025,0.028,3.16,0.004,1971140.00,正常
山东省,淮河流域,峡山水库库中,04-01 12:00,Ⅲ,11.6,8.36,11.79,734.7,20.1,3.96,0.025,0.029,3.18,0.002,1293470.00,正常
山东省,淮河流域,峡山水库库中,04-01 16:00,Ⅲ,12.6,8.44,12.32,738.8,20.7,3.96,0.025,0.029,3.18,0.004,1814740.00,正常
山东省,淮河流域,峡山水库库中,04-01 20:00,Ⅲ,12.2,8.36,11.77,737.2,22.1,4.12,0.025,0.029,3.19,0.005,1380080.00,正常
山东省,淮河流域,峡山水库库中,04-02 00:00,Ⅲ,11.6,8.32,11.50,736.2,16.1,3.99,0.025,0.026,3.15,0.005,1343390.00,正常
山东省,淮河流域,峡山水库库中,04-02 04:00,Ⅲ,11.4,8.29,11.32,737.4,16.9,3.99,0.025,0.032,3.21,0.005,1339530.00,正常
山东省,淮河流域,峡山水库库中,04-02 08:00,Ⅲ,11.7,8.31,11.22,737.1,16.9,3.82,0.025,0.029,3.12,0.005,1612810.00,正常
山东省,淮河流域,峡山水库库中,04-02 12:00,Ⅲ,11.9,8.34,11.49,734.4,17.3,4.15,0.025,0.023,3.17,0.006,1665210.00,正常
山东省,淮河流域,峡山水库库中,04-02 16:00,Ⅲ,12.0,8.32,11.39,735.5,17.8,3.91,0.025,0.027,3.15,0.005,1302110.00,正常
山东省,淮河流域,峡山水库库中,04-02 20:00,Ⅲ,12.0,8.31,11.30,734.6,17.6,3.84,0.025,0.026,3.11,0.006,1058770.00,正常
山东省,淮河流域,峡山水库库中,04-03 00:00,Ⅱ,12.0,8.30,11.04,735.4,19.1,3.77,0.025,0.025,3.20,0.006,1720050.00,正常
