省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
山东省,淮河流域,羊口,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
山东省,淮河流域,羊口,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
山东省,淮河流域,羊口,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
山东省,淮河流域,羊口,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
山东省,淮河流域,羊口,04-01 20:00,Ⅳ,15.8,7.66,6.63,12071.2,97.2,9.86,0.960,0.137,16.64,*,*,正常
山东省,淮河流域,羊口,04-01 20:00,Ⅳ,15.8,7.66,6.63,12071.2,97.2,9.86,0.960,0.137,16.64,*,*,正常
山东省,淮河流域,羊口,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
山东省,淮河流域,羊口,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
山东省,淮河流域,羊口,04-02 12:00,Ⅳ,15.7,7.59,6.43,9335.0,116.1,8.00,1.051,0.107,12.54,*,*,正常
山东省,淮河流域,羊口,04-02 16:00,Ⅳ,15.6,7.60,6.35,14248.3,98.5,9.32,0.939,0.120,16.40,*,*,正常
山东省,淮河流域,羊口,04-02 20:00,Ⅳ,15.3,7.61,6.58,13824.4,79.1,9.35,0.882,0.110,15.97,*,*,正常
山东省,淮河流域,羊口,04-03 00:00,Ⅳ,15.6,7.56,6.38,10525.6,88.8,7.90,1.015,0.122,12.83,*,*,正常
山东省,淮河流域,羊口,04-03 04:00,Ⅴ,15.0,7.62,7.12,21215.2,85.6,11.14,0.760,0.107,--,*,*,维护
山东省,淮河流域,羊口,04-03 04:00,Ⅴ,15.0,7.62,7.12,21215.2,85.6,11.14,0.760,0.107,--,*,*,维护
山东省,淮河流域,羊口,04-03 04:00,Ⅴ,15.0,7.62,7.12,21215.2,85.6,11.14,0.760,0.107,--,*,*,维护
山东省,淮河流域,羊口,04-03 04:00,Ⅴ,15.0,7.62,7.12,21215.2,85.6,11.14,0.760,0.107,--,*,*,维护
山东省,淮河流域,羊口,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
山东省,淮河流域,羊口,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
山东省,淮河流域,羊口,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
