省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
山东省,淮河流域,范李,04-01 04:00,Ⅲ,15.8,7.99,7.06,1906.4,21.8,5.42,0.509,0.050,7.34,*,*,正常
山东省,淮河流域,范李,04-01 12:00,Ⅲ,16.3,8.06,6.98,1873.3,21.9,4.90,0.370,0.048,7.08,*,*,正常
山东省,淮河流域,范李,04-01 12:00,Ⅲ,16.3,8.06,6.98,1873.3,21.9,4.90,0.370,0.048,7.08,*,*,正常
山东省,淮河流域,范李,04-01 16:00,Ⅲ,16.6,8.11,7.90,1878.4,19.7,5.60,0.378,0.049,7.12,*,*,正常
山东省,淮河流域,范李,04-01 20:00,Ⅲ,15.8,8.11,8.31,1835.2,20.6,5.20,0.453,0.049,6.70,*,*,正常
山东省,淮河流域,范李,04-02 00:00,Ⅲ,15.9,8.12,8.52,1846.6,24.3,4.93,0.580,0.055,7.00,*,*,正常
山东省,淮河流域,范李,04-02 04:00,Ⅲ,15.6,8.10,8.35,1809.5,23.7,4.22,0.662,0.055,7.02,*,*,正常
山东省,淮河流域,范李,04-02 08:00,Ⅲ,15.4,8.07,7.90,1812.8,25.1,4.41,0.780,0.056,7.28,*,*,正常
山东省,淮河流域,范李,04-02 12:00,Ⅲ,15.3,8.07,7.80,1799.9,26.1,4.68,0.787,0.059,7.20,*,*,正常
山东省,淮河流域,范李,04-02 16:00,Ⅲ,15.6,8.05,7.38,1852.1,25.8,4.65,0.829,0.061,7.62,*,*,正常
山东省,淮河流域,范李,04-02 20:00,Ⅲ,15.3,7.99,6.55,1873.4,27.4,4.79,0.831,0.059,7.50,*,*,正常
山东省,淮河流域,范李,04-03 00:00,Ⅲ,15.1,7.99,6.67,1884.9,28.0,4.54,0.881,0.062,7.28,*,*,正常
山东省,淮河流域,范李,04-03 04:00,Ⅳ,15.0,8.02,7.05,1886.0,30.3,4.86,1.003,0.068,7.13,*,*,正常
山东省,淮河流域,范李,04-03 08:00,Ⅳ,14.9,8.03,7.12,1899.3,37.2,4.65,1.150,0.077,7.47,*,*,正常
山东省,淮河流域,范李,04-03 12:00,Ⅳ,14.6,8.02,6.52,1905.4,42.7,4.60,1.094,0.079,6.90,*,*,正常
山东省,淮河流域,范李,04-03 16:00,Ⅳ,14.7,8.02,6.15,1848.4,44.3,7.54,1.033,0.080,6.58,*,*,正常
山东省,淮河流域,范李,04-03 20:00,Ⅳ,14.3,8.05,7.38,1756.9,44.4,5.37,1.247,0.091,7.80,*,*,正常
山东省,淮河流域,范李,04-03 20:00,Ⅳ,14.3,8.05,7.38,1756.9,44.4,5.37,1.247,0.091,7.80,*,*,正常
山东省,淮河流域,范李,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
