省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
山东省,黄河流域,张秋,04-01 08:00,Ⅴ,14.5,8.96,11.45,1355.9,9.8,11.16,0.025,0.107,0.47,*,*,正常
山东省,黄河流域,张秋,04-01 12:00,劣Ⅴ,14.4,9.05,13.33,1359.3,12.9,11.80,0.025,0.115,0.58,*,*,正常
山东省,黄河流域,张秋,04-01 12:00,劣Ⅴ,14.4,9.05,13.33,1359.3,12.9,11.80,0.025,0.115,0.58,*,*,正常
山东省,黄河流域,张秋,04-01 16:00,劣Ⅴ,14.5,9.09,13.14,1358.4,11.8,11.36,0.026,0.109,0.60,*,*,正常
山东省,黄河流域,张秋,04-01 20:00,劣Ⅴ,14.8,9.11,12.47,1353.6,12.7,11.34,0.025,0.109,0.53,*,*,正常
山东省,黄河流域,张秋,04-02 00:00,劣Ⅴ,14.8,9.06,13.28,1360.7,10.3,10.84,0.025,0.101,0.50,*,*,正常
山东省,黄河流域,张秋,04-02 04:00,劣Ⅴ,14.6,9.02,12.34,1358.6,10.6,11.09,0.025,0.100,0.70,*,*,正常
山东省,黄河流域,张秋,04-02 08:00,Ⅴ,14.8,8.99,11.59,1359.2,11.2,11.57,0.025,0.109,0.49,*,*,正常
山东省,黄河流域,张秋,04-02 12:00,劣Ⅴ,14.6,9.03,12.44,1356.3,12.5,11.80,0.025,0.131,0.56,*,*,正常
山东省,黄河流域,张秋,04-02 16:00,劣Ⅴ,14.6,9.05,12.24,1356.3,13.2,12.74,0.025,0.132,0.60,*,*,正常
山东省,黄河流域,张秋,04-02 20:00,Ⅴ,14.5,8.96,11.14,1364.4,11.9,11.25,0.025,0.130,0.51,*,*,正常
山东省,黄河流域,张秋,04-03 00:00,Ⅴ,14.4,8.91,10.25,1344.2,11.8,11.05,0.027,0.122,0.51,*,*,正常
山东省,黄河流域,张秋,04-03 04:00,Ⅴ,14.3,8.86,9.69,1362.8,13.1,11.47,0.029,0.124,0.51,*,*,正常
山东省,黄河流域,张秋,04-03 08:00,Ⅴ,14.1,8.83,9.28,1359.4,12.6,11.78,0.039,0.135,--,*,*,维护
山东省,黄河流域,张秋,04-03 12:00,Ⅴ,13.9,8.88,9.91,1356.4,13.4,12.16,0.028,0.136,--,*,*,维护
山东省,黄河流域,张秋,04-03 16:00,*,14.0,8.95,10.77,1358.7,15.1,--,0.025,0.127,--,*,*,维护
山东省,黄河流域,张秋,04-03 20:00,Ⅴ,13.9,8.88,10.04,1349.7,13.2,10.67,0.029,0.116,1.96,*,*,正常
山东省,黄河流域,张秋,04-04 00:00,Ⅴ,13.8,8.83,9.54,1360.1,12.8,10.67,0.029,0.116,1.96,*,*,正常
山东省,黄河流域,张秋,04-04 04:00,*,13.6,8.80,9.17,1360.7,12.3,--,0.027,0.115,--,*,*,维护
山东省,黄河流域,张秋,04-04 08:00,*,13.6,8.80,9.16,1359.0,12.3,--,0.027,0.115,--,*,*,维护
山东省,黄河流域,张秋,04-04 12:00,*,13.6,8.97,11.06,1361.8,12.3,--,0.027,0.117,1.88,*,*,维护
