省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
山东省,黄河流域,徐家汶,04-03 16:00,Ⅲ,13.9,8.12,10.82,1940.5,53.0,4.54,0.345,0.143,33.97,*,*,正常
山东省,黄河流域,徐家汶,04-03 20:00,Ⅲ,13.6,8.11,10.72,1939.4,23.3,4.26,0.322,0.136,32.73,*,*,正常
山东省,黄河流域,徐家汶,04-04 00:00,Ⅲ,13.3,8.08,10.68,1953.5,22.1,4.10,0.313,0.125,31.36,*,*,正常
山东省,黄河流域,徐家汶,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
山东省,黄河流域,徐家汶,04-04 08:00,Ⅲ,12.8,8.09,11.03,1930.8,21.4,4.29,0.328,0.126,30.38,*,*,正常
山东省,黄河流域,徐家汶,04-04 12:00,Ⅲ,13.4,8.21,11.04,1931.6,20.2,4.29,0.441,0.122,32.96,*,*,正常
山东省,黄河流域,徐家汶,04-04 16:00,Ⅲ,13.7,8.29,11.00,1892.9,18.1,4.13,0.724,0.135,29.64,*,*,正常
山东省,黄河流域,徐家汶,04-04 20:00,Ⅲ,13.7,8.19,10.80,1859.4,20.0,4.61,0.989,0.147,28.19,*,*,正常
山东省,黄河流域,徐家汶,04-04 20:00,Ⅲ,13.7,8.19,10.80,1859.4,20.0,4.61,0.989,0.147,28.19,*,*,正常
山东省,黄河流域,徐家汶,04-05 04:00,*,13.5,8.10,10.59,1901.3,18.6,4.21,--,0.096,20.28,*,*,维护
山东省,黄河流域,徐家汶,04-05 08:00,*,13.3,8.14,10.80,1924.8,19.3,4.43,--,0.090,23.95,*,*,维护
山东省,黄河流域,徐家汶,04-05 12:00,Ⅳ,13.7,8.30,10.96,1942.1,19.2,4.65,1.429,0.092,17.11,*,*,正常
山东省,黄河流域,徐家汶,04-05 16:00,Ⅳ,13.9,8.38,10.87,1933.4,21.3,4.18,1.285,0.090,16.72,*,*,正常
