省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
山西省,海河流域,固定桥,04-01 08:00,Ⅲ,10.0,8.45,9.20,967.3,61.8,5.39,0.025,0.088,3.43,*,*,正常
山西省,海河流域,固定桥,04-01 12:00,Ⅲ,10.2,8.55,10.82,963.1,55.1,5.59,0.025,0.083,3.40,*,*,正常
山西省,海河流域,固定桥,04-01 16:00,Ⅲ,10.8,8.64,11.87,960.7,55.1,5.59,0.025,0.083,3.40,*,*,正常
山西省,海河流域,固定桥,04-01 20:00,Ⅳ,10.7,8.63,11.05,957.2,58.7,6.08,0.025,0.078,3.43,*,*,正常
山西省,海河流域,固定桥,04-02 00:00,Ⅳ,10.2,8.54,9.72,954.6,66.9,6.14,0.025,0.085,3.41,*,*,正常
山西省,海河流域,固定桥,04-02 04:00,Ⅳ,9.6,8.45,9.21,962.5,66.6,6.14,0.025,0.085,3.41,*,*,正常
山西省,海河流域,固定桥,04-02 08:00,Ⅲ,9.1,8.44,9.51,975.9,65.2,5.46,0.025,0.076,3.47,*,*,正常
山西省,海河流域,固定桥,04-02 12:00,Ⅲ,10.3,8.57,11.57,972.8,69.7,5.32,0.025,0.080,3.53,*,*,正常
山西省,海河流域,固定桥,04-02 16:00,Ⅲ,11.9,8.62,12.01,965.2,61.8,5.75,0.025,0.077,3.62,*,*,正常
山西省,海河流域,固定桥,04-02 20:00,Ⅳ,11.6,8.60,10.76,967.6,72.3,6.13,0.026,0.078,3.54,*,*,正常
山西省,海河流域,固定桥,04-03 00:00,Ⅳ,10.4,8.53,9.66,992.9,67.2,6.01,0.025,0.079,3.52,*,*,正常
山西省,海河流域,固定桥,04-03 04:00,Ⅳ,8.8,8.49,9.33,1060.7,63.7,6.01,0.025,0.079,3.52,*,*,正常
山西省,海河流域,固定桥,04-03 08:00,Ⅲ,7.3,8.50,9.92,1182.7,54.4,5.89,0.027,0.080,3.51,*,*,正常
山西省,海河流域,固定桥,04-03 12:00,Ⅲ,9.3,8.59,11.69,1058.1,60.8,5.95,0.025,0.074,3.47,*,*,正常
山西省,海河流域,固定桥,04-03 16:00,Ⅳ,12.3,8.62,12.23,1010.2,56.7,6.32,0.025,0.077,3.48,*,*,正常
山西省,海河流域,固定桥,04-03 20:00,Ⅳ,12.2,8.60,10.97,999.3,55.4,6.59,0.025,0.071,3.48,*,*,正常
山西省,海河流域,固定桥,04-04 00:00,Ⅳ,10.5,8.52,9.59,1009.1,61.3,6.52,0.025,0.076,3.35,*,*,正常
山西省,海河流域,固定桥,04-04 04:00,Ⅳ,8.3,8.48,9.44,1022.0,75.2,6.52,0.025,0.076,3.35,*,*,正常
山西省,海河流域,固定桥,04-04 04:00,*,8.3,8.48,9.44,1022.0,75.2,--,0.025,--,--,*,*,维护
