省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
山西省,海河流域,堡子湾,04-01 08:00,Ⅱ,8.0,8.04,8.01,1138.9,15.1,2.95,0.359,0.096,8.21,*,*,正常
山西省,海河流域,堡子湾,04-01 12:00,Ⅲ,8.9,8.20,10.29,1164.2,17.3,3.24,0.288,0.114,8.34,*,*,正常
山西省,海河流域,堡子湾,04-01 12:00,Ⅲ,8.9,8.20,10.29,1164.2,17.3,3.24,0.288,0.114,8.34,*,*,正常
山西省,海河流域,堡子湾,04-01 16:00,Ⅱ,8.4,8.30,10.58,1105.5,10.5,3.07,0.287,0.095,8.44,*,*,正常
山西省,海河流域,堡子湾,04-01 20:00,Ⅱ,7.8,8.23,9.35,1102.8,14.6,3.32,0.351,0.092,8.42,*,*,正常
山西省,海河流域,堡子湾,04-02 00:00,Ⅱ,7.3,8.10,8.43,1137.1,15.4,3.48,0.396,0.103,8.45,*,*,正常
山西省,海河流域,堡子湾,04-02 04:00,Ⅲ,7.0,8.03,8.17,1142.5,16.5,3.45,0.406,0.105,8.56,*,*,正常
山西省,海河流域,堡子湾,04-02 08:00,Ⅲ,7.2,8.03,8.73,1122.1,12.9,3.38,0.382,0.112,8.17,*,*,正常
山西省,海河流域,堡子湾,04-02 12:00,Ⅲ,10.6,8.23,11.54,1138.9,15.3,3.49,0.296,0.117,8.23,*,*,正常
山西省,海河流域,堡子湾,04-02 16:00,Ⅲ,12.5,8.46,13.01,1116.8,11.4,3.67,0.361,0.117,8.20,*,*,正常
山西省,海河流域,堡子湾,04-02 20:00,Ⅲ,9.4,8.41,9.85,1069.2,15.2,3.81,0.848,0.136,8.89,*,*,正常
山西省,海河流域,堡子湾,04-03 00:00,Ⅲ,7.0,8.25,8.45,1068.4,14.6,4.11,1.448,0.151,8.97,*,*,正常
山西省,海河流域,堡子湾,04-03 04:00,Ⅲ,5.4,8.12,8.32,1115.0,13.1,3.84,0.993,0.131,8.41,*,*,正常
山西省,海河流域,堡子湾,04-03 08:00,Ⅲ,4.7,8.09,8.99,1158.5,15.8,3.71,0.543,0.124,8.53,*,*,正常
山西省,海河流域,堡子湾,04-03 12:00,Ⅲ,10.1,8.22,11.81,1153.0,14.8,3.67,0.309,0.127,8.61,*,*,正常
山西省,海河流域,堡子湾,04-03 16:00,Ⅲ,12.4,8.49,13.80,1115.8,14.7,3.55,0.185,0.116,8.45,*,*,正常
山西省,海河流域,堡子湾,04-03 20:00,Ⅲ,9.5,8.48,10.94,1121.1,16.6,3.48,0.179,0.104,8.29,*,*,正常
山西省,海河流域,堡子湾,04-04 00:00,Ⅲ,6.2,8.32,9.11,1166.5,12.8,3.30,0.160,0.088,8.09,*,*,正常
山西省,海河流域,堡子湾,04-04 04:00,Ⅱ,4.1,8.13,8.52,1212.1,10.6,3.20,0.193,0.081,8.54,*,*,正常
山西省,海河流域,堡子湾,04-04 08:00,Ⅲ,3.9,8.10,9.20,1214.2,13.2,3.20,0.193,0.102,8.65,*,*,正常
山西省,海河流域,堡子湾,04-04 16:00,Ⅲ,14.5,8.53,15.28,1137.5,12.3,3.68,0.152,0.118,8.53,*,*,正常
山西省,海河流域,堡子湾,04-04 20:00,Ⅲ,11.8,8.52,11.24,1110.5,14.7,3.66,0.025,0.116,8.78,*,*,正常
山西省,海河流域,堡子湾,04-04 20:00,Ⅱ,11.8,8.52,11.24,1110.5,14.7,3.57,0.025,0.094,8.60,*,*,正常
