省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
山西省,黄河流域,上兰,04-01 08:00,Ⅰ,5.4,8.26,9.97,790.6,3.9,1.53,0.081,0.005,2.59,*,*,正常
山西省,黄河流域,上兰,04-01 12:00,Ⅰ,5.9,8.32,10.14,780.8,4.2,1.53,0.025,0.005,2.57,*,*,正常
山西省,黄河流域,上兰,04-01 12:00,Ⅰ,5.9,8.32,10.14,780.8,4.2,1.53,0.025,0.005,2.57,*,*,正常
山西省,黄河流域,上兰,04-01 16:00,Ⅰ,6.1,8.37,10.21,778.6,3.5,1.54,0.089,0.005,2.58,*,*,正常
山西省,黄河流域,上兰,04-01 20:00,Ⅰ,6.0,8.33,9.97,780.9,3.2,1.59,0.092,0.005,2.59,*,*,正常
山西省,黄河流域,上兰,04-02 00:00,Ⅰ,5.8,8.30,9.86,780.9,5.0,1.53,0.087,0.005,2.58,*,*,正常
山西省,黄河流域,上兰,04-02 04:00,Ⅰ,5.7,8.29,9.91,781.4,2.6,1.54,0.083,0.005,2.55,*,*,正常
山西省,黄河流域,上兰,04-02 08:00,Ⅱ,5.6,8.30,10.05,783.8,3.0,2.08,0.082,0.005,2.55,*,*,正常
山西省,黄河流域,上兰,04-02 12:00,Ⅰ,5.9,8.35,10.42,783.3,3.1,1.78,0.025,0.005,2.54,*,*,正常
山西省,黄河流域,上兰,04-02 16:00,Ⅰ,6.3,8.38,10.34,777.4,2.8,1.55,0.025,0.005,2.52,*,*,正常
