省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
山西省,黄河流域,后寨,04-01 08:00,Ⅰ,11.2,7.97,10.17,966.3,1.9,1.18,0.092,0.011,6.45,*,*,正常
山西省,黄河流域,后寨,04-01 12:00,Ⅰ,11.4,8.00,10.25,966.0,2.7,0.57,0.099,0.013,6.49,*,*,正常
山西省,黄河流域,后寨,04-01 12:00,Ⅰ,11.4,8.00,10.25,966.0,2.7,1.20,0.099,0.013,6.49,*,*,正常
山西省,黄河流域,后寨,04-01 16:00,Ⅰ,11.4,8.00,10.18,966.1,1.7,1.29,0.100,0.011,6.47,*,*,正常
山西省,黄河流域,后寨,04-01 20:00,Ⅰ,11.3,7.98,10.12,966.9,1.7,1.35,0.094,0.012,6.47,*,*,正常
山西省,黄河流域,后寨,04-02 00:00,Ⅰ,11.4,7.99,10.17,965.4,2.4,1.40,0.105,0.011,6.39,*,*,正常
山西省,黄河流域,后寨,04-02 04:00,Ⅰ,11.4,7.98,10.16,964.6,1.4,1.31,0.092,0.010,6.53,*,*,正常
山西省,黄河流域,后寨,04-02 08:00,Ⅰ,11.3,7.99,10.23,968.8,2.4,1.40,0.091,0.015,6.43,*,*,正常
山西省,黄河流域,后寨,04-02 12:00,Ⅰ,11.0,7.90,10.05,966.0,2.0,1.26,0.094,0.013,6.42,*,*,正常
山西省,黄河流域,后寨,04-02 16:00,Ⅰ,11.0,7.89,10.12,970.1,1.5,1.32,0.090,0.012,6.42,*,*,正常
山西省,黄河流域,后寨,04-02 20:00,Ⅰ,11.0,7.88,9.99,966.8,1.5,1.75,0.091,0.011,6.53,*,*,正常
山西省,黄河流域,后寨,04-03 00:00,Ⅰ,11.0,7.88,10.05,973.1,1.4,1.58,0.093,0.011,6.38,*,*,正常
山西省,黄河流域,后寨,04-03 04:00,Ⅰ,11.0,7.88,10.06,968.9,1.5,1.84,0.086,0.010,6.37,*,*,正常
