省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
广东省,珠江流域,公庄河口（泰美）,--,Ⅲ,25.6,7.33,6.48,222.6,17.4,3.35,0.035,0.100,2.01,*,*,正常
广东省,珠江流域,公庄河口（泰美）,--,Ⅱ,28.2,7.55,8.10,224.1,12.6,3.30,0.025,0.087,2.08,*,*,正常
广东省,珠江流域,公庄河口（泰美）,--,Ⅱ,28.2,7.55,8.10,224.1,12.6,3.30,0.025,0.087,2.08,*,*,正常
广东省,珠江流域,公庄河口（泰美）,--,Ⅱ,29.3,7.74,8.43,225.0,12.8,3.43,0.025,0.087,1.83,*,*,正常
广东省,珠江流域,公庄河口（泰美）,--,Ⅱ,27.3,7.51,6.58,224.7,14.8,3.37,0.025,0.087,1.89,*,*,正常
广东省,珠江流域,公庄河口（泰美）,--,Ⅱ,25.9,7.35,6.19,221.5,14.9,3.37,0.025,0.087,1.89,*,*,正常
广东省,珠江流域,公庄河口（泰美）,--,Ⅲ,25.3,7.32,6.11,218.8,16.6,3.27,0.044,0.107,2.06,*,*,正常
广东省,珠江流域,公庄河口（泰美）,--,Ⅲ,25.8,7.33,6.52,218.3,14.1,3.24,0.031,0.102,2.04,*,*,正常
广东省,珠江流域,公庄河口（泰美）,--,Ⅱ,29.1,7.52,7.94,219.7,10.6,3.23,0.025,0.086,1.75,*,*,正常
广东省,珠江流域,公庄河口（泰美）,--,Ⅱ,29.4,7.65,8.66,221.4,11.4,3.51,0.025,0.086,1.56,*,*,正常
广东省,珠江流域,公庄河口（泰美）,--,Ⅱ,27.8,7.47,6.85,222.4,12.1,3.42,0.025,0.087,1.78,*,*,正常
广东省,珠江流域,公庄河口（泰美）,--,Ⅱ,26.5,7.36,6.35,220.5,13.2,3.42,0.025,0.087,1.78,*,*,正常
广东省,珠江流域,公庄河口（泰美）,--,Ⅱ,26.1,7.31,6.07,218.5,12.6,3.14,0.040,0.099,1.87,*,*,正常
广东省,珠江流域,公庄河口（泰美）,--,Ⅱ,26.2,7.29,6.19,218.0,12.2,3.09,0.025,0.094,1.75,*,*,正常
广东省,珠江流域,公庄河口（泰美）,--,Ⅱ,29.6,7.45,7.67,219.7,10.8,3.19,0.025,0.082,1.55,*,*,正常
广东省,珠江流域,公庄河口（泰美）,--,Ⅱ,30.5,7.58,8.40,218.1,9.4,3.27,0.025,0.078,1.58,*,*,正常
广东省,珠江流域,公庄河口（泰美）,--,Ⅱ,28.6,7.44,6.87,215.8,11.7,3.24,0.025,0.080,1.58,*,*,正常
广东省,珠江流域,公庄河口（泰美）,--,Ⅱ,27.4,7.33,6.24,209.5,12.1,3.24,0.025,0.080,1.58,*,*,正常
