省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
广东省,珠江流域,古封,04-01 08:00,Ⅰ,21.5,7.13,8.32,269.5,56.9,0.98,0.025,0.016,1.96,*,*,正常
广东省,珠江流域,古封,04-01 12:00,Ⅰ,24.1,7.19,8.06,271.2,90.1,0.73,0.025,0.015,1.87,*,*,正常
广东省,珠江流域,古封,04-01 16:00,Ⅰ,24.8,7.24,8.02,271.4,120.3,0.73,0.025,0.015,1.87,*,*,正常
广东省,珠江流域,古封,04-01 20:00,Ⅰ,23.4,7.24,8.16,271.0,86.2,0.79,0.025,0.014,1.85,*,*,正常
广东省,珠江流域,古封,04-02 00:00,Ⅰ,22.7,7.21,8.17,271.4,28.8,0.85,0.025,0.013,1.84,*,*,正常
广东省,珠江流域,古封,04-02 00:00,Ⅰ,22.7,7.21,8.17,271.4,28.8,0.85,0.025,0.015,1.84,*,*,正常
广东省,珠江流域,古封,04-02 08:00,Ⅰ,22.4,7.20,8.29,270.5,53.5,0.79,0.025,0.015,1.89,*,*,正常
广东省,珠江流域,古封,04-02 12:00,Ⅰ,24.1,7.10,8.06,270.5,28.1,0.87,0.025,0.017,1.92,*,*,正常
广东省,珠江流域,古封,04-02 16:00,Ⅰ,24.4,7.23,8.14,269.7,42.2,0.77,0.025,0.014,1.89,*,*,正常
广东省,珠江流域,古封,04-02 20:00,Ⅰ,23.2,7.22,8.22,269.3,37.9,0.79,0.025,0.011,1.90,*,*,正常
广东省,珠江流域,古封,04-03 00:00,*,22.8,7.18,8.19,270.1,38.5,0.96,0.025,--,1.92,*,*,维护
广东省,珠江流域,古封,04-03 00:00,*,22.8,7.18,8.19,270.1,38.5,0.96,0.025,--,1.92,*,*,维护
广东省,珠江流域,古封,04-03 08:00,*,22.4,7.13,8.25,270.0,86.0,0.78,0.025,--,1.90,*,*,维护
广东省,珠江流域,古封,04-03 12:00,Ⅰ,24.3,7.19,8.09,269.8,30.8,0.96,0.025,0.015,1.88,*,*,正常
广东省,珠江流域,古封,04-03 16:00,Ⅰ,23.9,7.24,8.17,269.1,44.1,0.82,0.025,0.015,1.88,*,*,正常
广东省,珠江流域,古封,04-03 20:00,Ⅰ,23.0,7.21,8.27,270.0,37.1,0.78,0.025,0.017,1.84,*,*,正常
广东省,珠江流域,古封,04-04 00:00,Ⅰ,22.0,7.19,8.38,270.3,42.8,0.83,0.025,0.015,1.86,*,*,正常
广东省,珠江流域,古封,04-04 00:00,Ⅰ,22.0,7.19,8.38,270.3,42.8,0.83,0.025,0.015,1.86,*,*,正常
广东省,珠江流域,古封,04-04 04:00,Ⅰ,20.6,7.19,8.59,270.3,45.6,0.72,0.025,0.014,1.86,*,*,正常
广东省,珠江流域,古封,04-04 08:00,Ⅰ,20.6,7.18,8.56,270.4,93.8,0.72,0.025,0.016,1.86,*,*,正常
广东省,珠江流域,古封,04-04 12:00,Ⅰ,21.0,7.18,8.67,271.5,46.6,0.70,0.025,0.014,1.90,*,*,正常
广东省,珠江流域,古封,04-04 16:00,Ⅰ,21.0,7.17,8.68,271.9,68.4,0.75,0.025,0.014,1.90,*,*,正常
广东省,珠江流域,古封,04-04 20:00,Ⅱ,20.6,7.14,8.65,270.0,70.9,0.99,0.025,0.026,2.61,*,*,正常
广东省,珠江流域,古封,04-05 00:00,Ⅰ,20.6,7.14,8.63,272.4,80.5,0.84,0.025,0.016,2.61,*,*,正常
广东省,珠江流域,古封,04-05 04:00,Ⅰ,20.4,7.12,8.61,273.6,54.6,0.71,0.025,0.016,2.08,*,*,正常
广东省,珠江流域,古封,04-05 08:00,Ⅰ,20.5,7.14,8.60,274.3,42.0,0.93,0.025,0.017,2.10,*,*,正常
广东省,珠江流域,古封,04-05 12:00,Ⅰ,21.5,7.18,8.62,276.8,57.6,0.77,0.025,0.015,2.04,*,*,正常
