省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
广东省,珠江流域,吉隆商贸城前,04-01 04:00,Ⅱ,23.2,7.16,8.29,1354.4,5.3,3.90,0.240,0.090,1.66,*,*,正常
广东省,珠江流域,吉隆商贸城前,04-01 12:00,Ⅴ,26.8,7.48,7.96,1415.8,6.3,6.29,1.605,0.128,1.90,*,*,正常
广东省,珠江流域,吉隆商贸城前,04-01 12:00,Ⅴ,26.8,7.48,7.96,1415.8,6.3,6.29,1.605,0.128,1.90,*,*,正常
广东省,珠江流域,吉隆商贸城前,04-01 16:00,Ⅳ,25.7,7.50,7.56,1430.6,5.5,6.69,0.208,0.104,1.65,*,*,正常
广东省,珠江流域,吉隆商贸城前,04-01 20:00,Ⅲ,27.6,7.48,7.72,1464.6,4.3,5.37,0.209,0.090,1.65,*,*,正常
广东省,珠江流域,吉隆商贸城前,04-01 20:00,Ⅲ,27.6,7.48,7.72,1464.6,4.3,5.37,0.209,0.090,1.65,*,*,正常
广东省,珠江流域,吉隆商贸城前,04-02 04:00,Ⅲ,26.4,7.18,7.46,1495.2,6.2,4.57,0.305,0.100,1.68,*,*,正常
广东省,珠江流域,吉隆商贸城前,04-02 08:00,Ⅲ,25.9,7.12,7.92,1553.3,7.6,4.59,0.359,0.114,1.83,*,*,正常
广东省,珠江流域,吉隆商贸城前,04-02 12:00,Ⅲ,27.5,7.19,7.93,1508.2,4.6,5.18,0.256,0.111,1.77,*,*,正常
广东省,珠江流域,吉隆商贸城前,04-02 16:00,Ⅳ,26.9,7.50,7.68,1591.6,3.5,6.38,0.188,0.104,1.66,*,*,正常
广东省,珠江流域,吉隆商贸城前,04-02 20:00,Ⅳ,27.6,7.47,7.82,1676.8,4.9,6.07,0.223,0.100,1.59,*,*,正常
广东省,珠江流域,吉隆商贸城前,04-02 20:00,Ⅳ,27.6,7.47,7.82,1676.8,4.9,6.07,0.223,0.100,1.59,*,*,正常
广东省,珠江流域,吉隆商贸城前,04-03 04:00,Ⅲ,25.9,7.18,7.69,1689.1,5.9,4.67,0.315,0.108,1.69,*,*,正常
广东省,珠江流域,吉隆商贸城前,04-03 08:00,Ⅲ,25.7,7.13,7.81,1722.3,7.4,4.59,0.335,0.118,1.91,*,*,正常
