省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
广东省,珠江流域,埠场,04-01 08:00,Ⅲ,25.6,6.95,5.73,475.9,41.7,3.66,0.243,0.126,2.68,*,*,正常
广东省,珠江流域,埠场,04-01 12:00,Ⅳ,25.9,6.73,4.67,1948.0,70.9,4.17,0.212,0.152,2.84,*,*,正常
广东省,珠江流域,埠场,04-01 16:00,Ⅳ,26.2,6.87,4.69,3845.0,67.0,4.17,0.212,0.152,2.84,*,*,正常
广东省,珠江流域,埠场,04-01 20:00,Ⅳ,26.4,7.05,5.84,804.0,46.9,3.92,0.191,0.138,2.44,*,*,正常
广东省,珠江流域,埠场,04-02 00:00,Ⅲ,26.1,7.02,6.35,570.9,28.2,4.04,0.171,0.133,2.49,*,*,正常
广东省,珠江流域,埠场,04-02 00:00,Ⅲ,26.1,7.02,6.35,570.9,28.2,4.04,0.171,0.133,2.49,*,*,正常
广东省,珠江流域,埠场,04-02 08:00,Ⅲ,26.0,6.94,5.71,498.0,29.7,3.49,0.229,0.112,3.18,*,*,正常
广东省,珠江流域,埠场,04-02 12:00,Ⅲ,26.5,6.84,5.22,1372.6,54.8,3.87,0.189,0.111,2.59,*,*,正常
广东省,珠江流域,埠场,04-02 16:00,Ⅳ,26.7,6.88,4.87,5091.8,31.7,3.98,0.187,0.138,2.72,*,*,正常
广东省,珠江流域,埠场,04-02 20:00,Ⅲ,26.7,6.99,5.21,1372.7,55.3,3.02,0.299,0.109,2.41,*,*,正常
广东省,珠江流域,埠场,04-03 00:00,Ⅲ,26.5,6.98,6.41,520.0,17.7,4.07,0.218,0.140,2.63,*,*,正常
广东省,珠江流域,埠场,04-03 00:00,Ⅲ,26.5,6.98,6.41,520.0,17.7,4.07,0.218,0.140,2.63,*,*,正常
广东省,珠江流域,埠场,04-03 08:00,Ⅲ,26.4,6.97,5.63,666.1,22.4,3.50,0.181,0.102,2.58,*,*,正常
广东省,珠江流域,埠场,04-03 12:00,Ⅲ,26.9,6.96,5.36,998.4,34.7,3.53,0.195,0.097,2.35,*,*,正常
广东省,珠江流域,埠场,04-03 16:00,Ⅳ,27.2,6.88,4.97,5509.2,24.0,4.04,0.204,0.120,10.32,*,*,正常
广东省,珠江流域,埠场,04-03 20:00,Ⅳ,27.2,6.95,4.57,2307.2,71.6,2.92,0.202,0.096,1.70,*,*,正常
广东省,珠江流域,埠场,04-04 00:00,Ⅳ,26.8,6.98,5.99,573.3,27.1,4.30,0.315,0.150,15.16,*,*,正常
广东省,珠江流域,埠场,04-04 00:00,Ⅲ,26.8,6.98,5.99,573.3,27.1,4.30,0.315,0.150,15.16,*,*,正常
广东省,珠江流域,埠场,04-04 04:00,*,26.7,6.98,5.62,693.7,17.2,--,0.334,0.105,2.94,*,*,维护
广东省,珠江流域,埠场,04-04 08:00,*,26.7,6.90,4.87,945.5,16.9,--,0.334,0.105,2.94,*,*,维护
广东省,珠江流域,埠场,04-04 12:00,Ⅲ,27.5,6.92,5.60,1235.6,24.5,3.86,0.193,0.107,--,*,*,维护
广东省,珠江流域,埠场,04-04 16:00,Ⅲ,27.7,6.88,5.08,5473.7,21.8,3.00,0.277,0.099,2.36,*,*,正常
广东省,珠江流域,埠场,04-04 20:00,Ⅳ,27.7,6.90,4.53,3573.8,31.6,3.73,0.248,0.113,2.28,*,*,正常
广东省,珠江流域,埠场,04-05 00:00,Ⅲ,27.3,7.00,5.65,850.1,30.2,3.73,0.248,0.113,2.28,*,*,正常
广东省,珠江流域,埠场,04-05 04:00,Ⅱ,27.0,6.91,6.02,546.7,12.9,3.39,0.203,0.082,--,*,*,维护
