省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
广东省,珠江流域,官坦,04-01 04:00,Ⅱ,24.2,7.55,6.29,--,35.6,2.64,0.178,0.066,3.95,*,*,维护
广东省,珠江流域,官坦,04-01 12:00,Ⅳ,23.9,7.49,4.81,638.6,304.7,5.91,0.025,0.179,6.75,*,*,正常
广东省,珠江流域,官坦,04-01 12:00,Ⅳ,23.9,7.49,4.81,638.6,304.7,5.91,0.025,0.179,6.75,*,*,正常
广东省,珠江流域,官坦,04-01 16:00,Ⅲ,24.5,7.56,5.85,--,37.4,2.85,0.225,0.071,4.06,*,*,维护
广东省,珠江流域,官坦,04-01 20:00,Ⅳ,24.3,7.80,3.96,1601.5,521.0,7.73,0.106,0.216,9.26,*,*,正常
广东省,珠江流域,官坦,04-01 20:00,Ⅳ,24.3,7.80,3.96,1601.5,521.0,7.73,0.106,0.216,9.26,*,*,正常
广东省,珠江流域,官坦,04-02 04:00,Ⅲ,24.1,7.52,5.10,2558.8,32.8,2.65,0.049,0.057,3.93,*,*,正常
广东省,珠江流域,官坦,04-02 08:00,Ⅳ,24.0,7.52,4.46,463.2,124.1,3.79,0.025,0.111,4.55,*,*,正常
广东省,珠江流域,官坦,04-02 12:00,Ⅳ,24.1,7.43,4.37,412.8,96.0,3.61,0.025,0.106,4.24,*,*,正常
广东省,珠江流域,官坦,04-02 16:00,Ⅲ,24.8,7.55,5.57,--,42.2,2.86,0.196,0.070,4.11,*,*,维护
广东省,珠江流域,官坦,04-02 20:00,Ⅳ,24.8,7.86,4.15,--,324.1,6.55,0.033,0.180,8.14,*,*,维护
