省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
广东省,珠江流域,封开城上,04-01 04:00,Ⅰ,20.7,7.77,8.62,265.2,2.5,0.66,0.025,0.005,1.74,*,*,正常
广东省,珠江流域,封开城上,04-01 08:00,Ⅰ,21.0,7.82,8.56,267.1,3.3,0.72,0.025,0.005,1.74,*,*,正常
广东省,珠江流域,封开城上,04-01 12:00,Ⅰ,22.4,7.79,8.43,276.7,3.8,0.68,0.025,0.010,1.82,*,*,正常
广东省,珠江流域,封开城上,04-01 16:00,Ⅰ,22.9,7.85,8.53,279.8,1.9,0.78,0.025,0.006,1.81,*,*,正常
广东省,珠江流域,封开城上,04-01 20:00,Ⅰ,22.1,7.83,8.62,274.2,2.1,0.68,0.025,0.005,1.75,*,*,正常
广东省,珠江流域,封开城上,04-01 20:00,Ⅰ,22.1,7.83,8.62,274.2,2.1,0.68,0.025,0.005,1.75,*,*,正常
广东省,珠江流域,封开城上,04-02 04:00,Ⅰ,21.4,7.79,8.58,268.7,2.5,0.71,0.025,0.005,1.72,*,*,正常
广东省,珠江流域,封开城上,04-02 08:00,Ⅰ,21.4,7.80,8.54,268.2,2.2,0.82,0.025,0.006,1.75,*,*,正常
广东省,珠江流域,封开城上,04-02 12:00,Ⅰ,22.8,7.86,8.64,276.8,2.5,0.78,0.025,0.006,1.73,*,*,正常
广东省,珠江流域,封开城上,04-02 16:00,Ⅰ,22.8,7.86,8.67,277.2,3.5,0.70,0.025,0.006,1.67,*,*,正常
广东省,珠江流域,封开城上,04-02 20:00,Ⅰ,22.0,7.74,8.58,273.0,3.2,0.70,0.025,0.008,1.72,*,*,正常
广东省,珠江流域,封开城上,04-02 20:00,Ⅰ,22.0,7.74,8.58,273.0,3.2,0.70,0.025,0.008,1.72,*,*,正常
广东省,珠江流域,封开城上,04-03 04:00,Ⅰ,21.5,7.80,8.57,267.6,2.6,0.70,0.025,0.005,1.72,*,*,正常
广东省,珠江流域,封开城上,04-03 08:00,Ⅰ,21.5,7.83,8.56,268.4,2.0,0.75,0.025,0.005,1.68,*,*,正常
广东省,珠江流域,封开城上,04-03 12:00,Ⅰ,23.1,7.87,8.50,278.6,2.6,0.68,0.025,0.005,1.69,*,*,正常
广东省,珠江流域,封开城上,04-03 16:00,Ⅰ,22.2,7.82,8.64,274.5,2.9,0.60,0.025,0.005,1.70,*,*,正常
广东省,珠江流域,封开城上,04-03 20:00,Ⅰ,21.7,7.77,8.67,272.2,2.7,0.72,0.025,0.005,1.69,*,*,正常
广东省,珠江流域,封开城上,04-03 20:00,Ⅰ,21.7,7.77,8.67,272.2,2.7,0.72,0.025,0.005,1.69,*,*,正常
广东省,珠江流域,封开城上,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
广东省,珠江流域,封开城上,04-04 08:00,Ⅰ,20.4,7.70,8.74,265.6,3.0,0.79,0.025,0.006,1.72,*,*,正常
广东省,珠江流域,封开城上,04-04 08:00,Ⅰ,20.4,7.70,8.74,265.6,3.0,0.79,0.025,0.006,1.72,*,*,正常
广东省,珠江流域,封开城上,04-04 16:00,Ⅰ,21.0,7.72,8.79,272.4,1.9,0.64,0.025,0.005,1.72,*,*,正常
