省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
广东省,珠江流域,洪奇沥,04-01 04:00,Ⅱ,23.9,7.65,6.49,2265.8,74.7,2.56,0.117,0.079,3.30,*,*,正常
广东省,珠江流域,洪奇沥,04-01 12:00,Ⅱ,23.9,7.62,6.87,2957.2,174.2,3.43,0.116,0.082,4.31,*,*,正常
广东省,珠江流域,洪奇沥,04-01 12:00,Ⅱ,23.9,7.62,6.87,2957.2,174.2,3.43,0.116,0.082,4.31,*,*,正常
广东省,珠江流域,洪奇沥,04-01 16:00,Ⅱ,24.0,7.75,7.19,4078.6,70.6,2.60,0.098,0.074,3.29,*,*,正常
广东省,珠江流域,洪奇沥,04-01 20:00,Ⅲ,23.9,7.97,7.26,836.0,185.9,4.01,0.083,0.081,4.74,*,*,正常
广东省,珠江流域,洪奇沥,04-01 20:00,Ⅲ,23.9,7.97,7.26,836.0,185.9,4.01,0.083,0.081,4.74,*,*,正常
广东省,珠江流域,洪奇沥,04-02 04:00,Ⅱ,23.8,7.87,7.21,1370.0,43.8,2.39,0.142,0.072,3.06,*,*,正常
广东省,珠江流域,洪奇沥,04-02 08:00,Ⅱ,23.7,7.78,6.67,559.3,97.1,2.91,0.084,0.082,3.72,*,*,正常
广东省,珠江流域,洪奇沥,04-02 12:00,Ⅱ,23.9,7.70,6.88,1160.8,190.4,3.81,0.104,0.061,4.75,*,*,正常
广东省,珠江流域,洪奇沥,04-02 16:00,Ⅱ,24.6,7.84,7.50,3523.4,50.0,2.36,0.097,0.067,3.06,*,*,正常
广东省,珠江流域,洪奇沥,04-02 20:00,Ⅱ,24.0,7.90,7.06,1148.4,141.9,3.36,0.071,0.077,4.14,*,*,正常
广东省,珠江流域,洪奇沥,04-02 20:00,Ⅱ,24.0,7.90,7.06,1148.4,141.9,3.36,0.071,0.077,4.14,*,*,正常
广东省,珠江流域,洪奇沥,04-03 04:00,Ⅱ,23.8,7.89,7.48,581.8,54.8,2.38,0.202,0.076,3.21,*,*,正常
广东省,珠江流域,洪奇沥,04-03 08:00,Ⅱ,23.9,7.84,6.78,543.4,68.0,2.59,0.080,0.085,3.44,*,*,正常
广东省,珠江流域,洪奇沥,04-03 12:00,Ⅱ,24.2,7.69,6.67,951.8,117.1,2.96,0.108,0.079,3.83,*,*,正常
广东省,珠江流域,洪奇沥,04-03 16:00,Ⅱ,24.5,7.89,7.67,4342.7,39.0,2.24,0.141,0.068,2.94,*,*,正常
广东省,珠江流域,洪奇沥,04-03 20:00,*,23.5,8.14,8.85,2948.1,22.0,1.01,--,0.005,--,*,*,维护
广东省,珠江流域,洪奇沥,04-03 20:00,*,23.5,8.14,8.85,2948.1,22.0,1.01,--,0.005,--,*,*,维护
广东省,珠江流域,洪奇沥,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
广东省,珠江流域,洪奇沥,04-04 08:00,*,24.0,7.58,8.80,700.9,42.4,2.24,--,0.005,--,*,*,维护
广东省,珠江流域,洪奇沥,04-04 12:00,Ⅲ,24.0,7.68,5.96,1166.4,61.6,2.22,0.096,0.078,3.00,*,*,正常
广东省,珠江流域,洪奇沥,04-04 16:00,Ⅱ,24.3,7.74,6.89,4186.5,32.0,1.98,0.132,0.068,2.75,*,*,正常
广东省,珠江流域,洪奇沥,04-04 20:00,Ⅱ,24.3,7.69,6.35,5408.1,67.7,2.42,0.173,0.076,3.17,*,*,正常
