省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
广东省,珠江流域,海丰西闸,04-01 08:00,Ⅲ,26.5,7.56,5.56,1439.8,66.6,4.55,0.025,0.036,0.81,*,*,正常
广东省,珠江流域,海丰西闸,04-01 12:00,Ⅲ,27.2,8.86,8.14,1497.8,70.1,5.65,0.025,0.044,0.75,*,*,正常
广东省,珠江流域,海丰西闸,04-01 16:00,Ⅲ,28.6,8.72,7.58,1439.0,90.1,5.65,0.025,0.044,0.75,*,*,正常
广东省,珠江流域,海丰西闸,04-01 20:00,Ⅲ,28.0,8.19,5.63,1439.5,98.7,5.37,0.025,0.038,0.78,*,*,正常
广东省,珠江流域,海丰西闸,04-02 00:00,Ⅲ,27.4,8.21,6.21,1438.4,93.9,5.17,0.025,0.035,0.74,*,*,正常
广东省,珠江流域,海丰西闸,04-02 00:00,Ⅲ,27.4,8.21,6.21,1438.4,93.9,5.17,0.025,0.032,0.79,*,*,正常
广东省,珠江流域,海丰西闸,04-02 08:00,Ⅳ,26.9,8.01,4.99,1493.8,72.4,4.76,0.025,0.036,0.87,*,*,正常
广东省,珠江流域,海丰西闸,04-02 12:00,Ⅲ,28.6,8.69,7.62,1500.8,79.5,4.86,0.025,0.035,0.77,*,*,正常
广东省,珠江流域,海丰西闸,04-02 16:00,Ⅲ,29.6,8.65,7.61,1484.2,100.8,5.23,0.025,0.041,0.69,*,*,正常
广东省,珠江流域,海丰西闸,04-02 20:00,Ⅲ,28.5,8.67,7.22,1452.4,109.7,5.31,0.025,0.038,0.72,*,*,正常
广东省,珠江流域,海丰西闸,04-03 00:00,Ⅲ,27.7,8.07,5.23,1452.0,100.3,4.71,0.025,0.037,0.79,*,*,正常
广东省,珠江流域,海丰西闸,04-03 00:00,Ⅲ,27.7,8.07,5.23,1452.0,100.3,4.71,0.025,0.035,0.77,*,*,正常
广东省,珠江流域,海丰西闸,04-03 08:00,Ⅲ,27.0,7.61,5.87,1440.8,92.1,4.39,0.025,0.037,0.73,*,*,正常
广东省,珠江流域,海丰西闸,04-03 12:00,Ⅲ,27.6,8.92,9.87,1464.4,89.9,4.95,0.025,0.040,0.81,*,*,正常
广东省,珠江流域,海丰西闸,04-03 16:00,Ⅳ,30.0,8.66,9.17,1466.4,65.4,6.10,0.025,0.055,0.88,*,*,正常
广东省,珠江流域,海丰西闸,04-03 20:00,Ⅲ,28.8,8.09,6.95,1445.2,71.1,5.42,0.025,0.040,0.73,*,*,正常
广东省,珠江流域,海丰西闸,04-04 00:00,Ⅲ,28.4,7.97,6.65,1439.7,51.7,4.72,0.025,0.037,0.70,*,*,正常
