省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
广东省,珠江流域,马安大桥下,04-01 04:00,Ⅱ,26.3,7.21,6.81,170.8,6.6,2.29,0.034,0.035,2.23,*,*,正常
广东省,珠江流域,马安大桥下,04-01 12:00,Ⅱ,27.3,7.46,6.98,169.2,5.6,1.80,0.025,0.027,2.39,*,*,正常
广东省,珠江流域,马安大桥下,04-01 12:00,Ⅱ,27.3,7.46,6.98,169.2,5.6,1.80,0.025,0.027,2.39,*,*,正常
广东省,珠江流域,马安大桥下,04-01 16:00,Ⅱ,27.9,8.20,7.23,169.8,10.6,2.25,0.025,0.033,2.43,*,*,正常
广东省,珠江流域,马安大桥下,04-01 20:00,Ⅱ,27.5,7.71,6.88,170.8,8.2,1.79,0.025,0.029,2.38,*,*,正常
广东省,珠江流域,马安大桥下,04-01 20:00,Ⅱ,27.5,7.71,6.88,170.8,8.2,1.79,0.025,0.029,2.38,*,*,正常
广东省,珠江流域,马安大桥下,04-02 04:00,Ⅱ,27.0,7.44,6.49,172.5,9.8,1.95,0.025,0.028,2.35,*,*,正常
广东省,珠江流域,马安大桥下,04-02 08:00,Ⅱ,26.6,7.40,7.20,175.3,9.5,2.23,0.031,0.033,2.40,*,*,正常
广东省,珠江流域,马安大桥下,04-02 12:00,Ⅱ,27.9,7.69,7.69,173.5,4.7,2.11,0.026,0.030,2.37,*,*,正常
广东省,珠江流域,马安大桥下,04-02 16:00,Ⅱ,29.0,8.18,8.25,173.7,3.7,1.95,0.025,0.031,2.37,*,*,正常
