省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
广东省,珠江流域,黄岗,04-01 04:00,Ⅰ,20.8,7.60,8.11,295.2,3.1,0.93,0.025,0.016,1.85,*,*,正常
广东省,珠江流域,黄岗,04-01 12:00,Ⅰ,21.1,7.65,8.37,283.0,5.5,0.97,0.025,0.016,1.87,*,*,正常
广东省,珠江流域,黄岗,04-01 12:00,Ⅰ,21.1,7.65,8.37,283.0,5.5,0.97,0.025,0.016,1.87,*,*,正常
广东省,珠江流域,黄岗,04-01 16:00,Ⅰ,21.1,7.64,8.35,281.4,4.1,0.95,0.025,0.015,1.90,*,*,正常
广东省,珠江流域,黄岗,04-01 20:00,Ⅰ,20.9,7.62,8.33,281.1,2.5,0.75,0.025,0.015,1.87,*,*,正常
广东省,珠江流域,黄岗,04-01 20:00,Ⅰ,20.9,7.62,8.33,281.1,2.5,0.75,0.025,0.015,1.87,*,*,正常
广东省,珠江流域,黄岗,04-02 04:00,Ⅰ,20.9,7.66,8.18,275.7,4.8,1.11,0.025,0.016,1.89,*,*,正常
广东省,珠江流域,黄岗,04-02 08:00,Ⅰ,20.9,7.62,8.19,274.7,3.6,0.96,0.025,0.017,1.89,*,*,正常
广东省,珠江流域,黄岗,04-02 12:00,Ⅰ,21.4,7.64,8.38,274.2,8.3,0.93,0.025,0.018,1.87,*,*,正常
广东省,珠江流域,黄岗,04-02 16:00,Ⅰ,21.4,7.65,8.43,272.2,5.1,1.01,0.025,0.016,1.86,*,*,正常
广东省,珠江流域,黄岗,04-02 20:00,Ⅰ,21.2,7.65,8.31,272.6,4.4,0.95,0.025,0.014,1.86,*,*,正常
广东省,珠江流域,黄岗,04-02 20:00,Ⅰ,21.2,7.65,8.31,272.6,4.4,0.95,0.025,0.014,1.86,*,*,正常
广东省,珠江流域,黄岗,04-03 04:00,Ⅰ,21.1,7.69,8.25,271.5,10.6,0.97,0.025,0.017,1.91,*,*,正常
广东省,珠江流域,黄岗,04-03 08:00,Ⅱ,21.4,7.72,8.38,271.9,19.5,1.32,0.025,0.021,1.97,*,*,正常
广东省,珠江流域,黄岗,04-03 12:00,Ⅰ,21.9,7.69,8.32,273.4,19.3,1.13,0.025,0.019,1.98,*,*,正常
广东省,珠江流域,黄岗,04-03 16:00,Ⅰ,21.8,7.72,8.50,276.3,5.7,1.09,0.025,0.018,1.85,*,*,正常
广东省,珠江流域,黄岗,04-03 20:00,Ⅰ,21.4,7.70,8.25,274.7,9.0,1.18,0.025,0.016,1.87,*,*,正常
广东省,珠江流域,黄岗,04-03 20:00,Ⅰ,21.4,7.70,8.25,274.7,9.0,1.18,0.025,0.016,1.87,*,*,正常
广东省,珠江流域,黄岗,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
广东省,珠江流域,黄岗,04-04 04:00,Ⅰ,21.4,7.69,8.25,271.5,17.5,0.96,0.025,0.017,1.87,*,*,正常
广东省,珠江流域,黄岗,04-04 12:00,Ⅰ,21.4,7.73,8.40,270.3,5.5,0.89,0.025,0.016,1.80,*,*,正常
广东省,珠江流域,黄岗,04-04 16:00,Ⅰ,21.3,7.73,8.36,269.5,22.7,0.95,0.025,0.018,1.91,*,*,正常
广东省,珠江流域,黄岗,04-04 20:00,Ⅰ,21.3,7.71,8.24,272.4,3.1,1.11,0.025,0.014,1.80,*,*,正常
