省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
广西壮族自治区,珠江流域,东边埇,04-01 08:00,Ⅲ,24.2,6.92,5.60,117.2,8.9,2.64,0.025,0.068,2.36,*,*,正常
广西壮族自治区,珠江流域,东边埇,04-01 12:00,Ⅲ,25.2,6.73,5.42,118.4,9.5,2.62,0.025,0.068,2.37,*,*,正常
广西壮族自治区,珠江流域,东边埇,04-01 16:00,Ⅱ,26.4,6.79,7.24,117.0,10.1,2.62,0.025,0.068,2.37,*,*,正常
广西壮族自治区,珠江流域,东边埇,04-01 20:00,Ⅱ,25.6,6.85,7.98,116.4,9.4,2.66,0.025,0.068,2.34,*,*,正常
广西壮族自治区,珠江流域,东边埇,04-02 00:00,Ⅱ,25.2,6.81,7.13,117.5,10.3,2.71,0.025,0.068,2.31,*,*,正常
广西壮族自治区,珠江流域,东边埇,04-02 00:00,Ⅱ,25.2,6.81,7.13,117.5,10.3,2.71,0.025,0.068,2.31,*,*,正常
广西壮族自治区,珠江流域,东边埇,04-02 08:00,Ⅱ,24.9,6.75,6.24,117.3,10.3,2.74,0.025,0.063,2.28,*,*,正常
广西壮族自治区,珠江流域,东边埇,04-02 12:00,Ⅱ,25.5,6.73,6.35,117.4,9.5,2.67,0.025,0.062,2.30,*,*,正常
广西壮族自治区,珠江流域,东边埇,04-02 16:00,Ⅱ,26.2,6.75,7.13,116.9,9.9,2.78,0.025,0.063,2.23,*,*,正常
广西壮族自治区,珠江流域,东边埇,04-02 20:00,Ⅱ,25.6,6.74,7.53,116.3,8.2,2.61,0.025,0.061,2.20,*,*,正常
广西壮族自治区,珠江流域,东边埇,04-03 00:00,Ⅱ,25.5,6.75,7.63,116.4,9.2,2.64,0.025,0.059,2.18,*,*,正常
广西壮族自治区,珠江流域,东边埇,04-03 00:00,Ⅱ,25.5,6.75,7.63,116.4,9.2,2.64,0.025,0.059,2.18,*,*,正常
广西壮族自治区,珠江流域,东边埇,04-03 08:00,Ⅲ,25.1,6.69,5.74,118.1,9.0,2.70,0.025,0.058,2.14,*,*,正常
广西壮族自治区,珠江流域,东边埇,04-03 12:00,Ⅱ,25.4,6.66,6.07,118.0,10.5,2.60,0.025,0.058,2.17,*,*,正常
广西壮族自治区,珠江流域,东边埇,04-03 16:00,Ⅱ,25.4,6.69,6.59,117.9,8.1,2.66,0.025,0.056,2.15,*,*,正常
广西壮族自治区,珠江流域,东边埇,04-03 20:00,Ⅱ,25.2,6.69,6.76,117.6,9.1,2.69,0.025,0.057,2.10,*,*,正常
